year,week,matchup_id,matchup_number,yahoo_team_id_used,left_team,right_team,left_score,right_score,player_records,roster_tables,url,_score_key
2021,10,2021-W10-M03,3,3,Week 10 Recap (Won),Voldemort,126.64,99.64,32,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=10&mid1=3,"(99.64, 126.64)"
2021,11,2021-W11-M04,4,4,Week 11 Recap (Won),Joe Mantegna,161.38,71.4,32,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=11&mid1=4,"(71.4, 161.38)"
2021,12,2021-W12-M04,4,5,Week 12 Recap (Won),ThreatLevelMidnight,140.18,88.68,32,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=12&mid1=5,"(88.68, 140.18)"
2021,13,2021-W13-M05,5,6,Week 13 Recap (Lost),Pop Lockett Drop it,65.36,96.36,30,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=13&mid1=6,"(65.36, 96.36)"
2021,14,2021-W14-M05,5,7,Week 14 Recap (Won),Post Mahomes,115.22,97.62,32,2,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=14&mid1=7,"(97.62, 115.22)"
2022,1,2022-W01-M05,5,6,Week 1 Recap (Lost),Pop Lockett Drop it,100.0,105.02,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=1&mid1=6,"(100.0, 105.02)"
2022,1,2022-W01-M06,6,9,Week 1 Recap (Won),Big Sack Jack,105.02,100.0,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=1&mid1=9,"(100.0, 105.02)"
2022,2,2022-W02-M01,1,1,Week 2 Recap (Lost),The Big Gronkowski,109.84,145.66,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=2&mid1=1,"(109.84, 145.66)"
2022,2,2022-W02-M06,6,9,Week 2 Recap (Won),Big Sack Jack,145.66,109.84,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=2&mid1=9,"(109.84, 145.66)"
2022,3,2022-W03-M02,2,2,Week 3 Recap (Won),Malle ❤️ 🐸,132.7,85.5,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=3&mid1=2,"(85.5, 132.7)"
2022,3,2022-W03-M06,6,9,Week 3 Recap (Lost),Big Sack Jack,85.5,132.7,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=3&mid1=9,"(85.5, 132.7)"
2022,4,2022-W04-M06,6,9,Week 4 Recap (Won),Big Sack Jack,120.68,102.36,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=4&mid1=9,"(102.36, 120.68)"
2022,5,2022-W05-M06,6,9,Week 5 Recap (Lost),Big Sack Jack,101.58,107.38,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=5&mid1=9,"(101.58, 107.38)"
2022,6,2022-W06-M06,6,9,Week 6 Recap (Lost),Uncle Rico,107.82,115.0,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=6&mid1=9,"(107.82, 115.0)"
2022,7,2022-W07-M03,3,3,Week 7 Recap (Lost),Voldemort,106.98,117.34,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=7&mid1=3,"(106.98, 117.34)"
2022,8,2022-W08-M03,3,5,Week 8 Recap (Won),ThreatLevelMidnight,161.18,128.28,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=8&mid1=5,"(128.28, 161.18)"
2022,9,2022-W09-M04,4,4,Week 9 Recap (Won),Joe Mantegna,100.3,91.84,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=9&mid1=4,"(91.84, 100.3)"
2022,10,2022-W10-M06,6,8,Week 10 Recap (Lost),Ginger FC,74.78,102.12,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=10&mid1=8,"(74.78, 102.12)"
2022,11,2022-W11-M06,6,7,Week 11 Recap (Lost),Post Mahomes,77.48,89.8,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=11&mid1=7,"(77.48, 89.8)"
2022,12,2022-W12-M05,5,6,Week 12 Recap (Lost),Pop Lockett Drop it,112.84,118.6,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=12&mid1=6,"(112.84, 118.6)"
2022,12,2022-W12-M06,6,9,Week 12 Recap (Won),Big Sack Jack,118.6,112.84,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=12&mid1=9,"(112.84, 118.6)"
2022,13,2022-W13-M01,1,1,Week 13 Recap (Lost),The Big Gronkowski,80.62,147.24,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=1,"(80.62, 147.24)"
2022,13,2022-W13-M06,6,9,Week 13 Recap (Won),Big Sack Jack,147.24,80.62,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=9,"(80.62, 147.24)"
2022,14,2022-W14-M02,2,2,Week 14 Recap (Lost),Malle ❤️ 🐸,94.98,113.26,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=2,"(94.98, 113.26)"
2022,14,2022-W14-M06,6,9,Week 14 Recap (Won),Big Sack Jack,113.26,94.98,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=9,"(94.98, 113.26)"
2023,1,2023-W01-M05,5,8,Week 1 Recap (Lost),Ginger FC,85.26,85.42,30,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=1&mid1=8,"(85.26, 85.42)"
2023,1,2023-W01-M06,6,9,Week 1 Recap (Won),You Better Park It,85.42,85.26,30,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=1&mid1=9,"(85.26, 85.42)"
2023,2,2023-W02-M03,3,4,Week 2 Recap (Won),Joe Mantegna,110.0,98.0,32,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=2&mid1=4,"(98.0, 110.0)"
2023,3,2023-W03-M01,1,1,Week 3 Recap (Lost),The Big Gronkowski,105.5,127.76,30,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=3&mid1=1,"(105.5, 127.76)"
2023,3,2023-W03-M06,6,9,Week 3 Recap (Won),You Better Park It,127.76,105.5,30,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=3&mid1=9,"(105.5, 127.76)"
2023,4,2023-W04-M05,5,7,Week 4 Recap (Won),Post Mahomes,141.82,101.44,32,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=4&mid1=7,"(101.44, 141.82)"
2023,5,2023-W05-M02,2,3,Week 5 Recap (Won),Voldemort,78.54,66.72,30,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=5&mid1=3,"(66.72, 78.54)"
2023,5,2023-W05-M06,6,9,Week 5 Recap (Lost),You Better Park It,66.72,78.54,30,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=5&mid1=9,"(66.72, 78.54)"
2023,6,2023-W06-M06,6,9,Week 6 Recap (Won),You Better Park It,124.98,95.86,32,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=6&mid1=9,"(95.86, 124.98)"
2023,7,2023-W07-M04,4,6,Week 7 Recap (Won),Pop Lockett Drop it,123.24,104.56,30,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=7&mid1=6,"(104.56, 123.24)"
2023,8,2023-W08-M02,2,2,Week 8 Recap (Won),Malle ❤️ 🐸,120.66,93.48,30,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=8&mid1=2,"(93.48, 120.66)"
2023,9,2023-W09-M06,6,9,Week 9 Recap (Won),Uncle Rico,120.62,87.16,30,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=9&mid1=9,"(87.16, 120.62)"
2023,10,2023-W10-M04,4,5,Week 10 Recap (Lost),ThreatLevelMidnight,90.22,149.16,30,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=10&mid1=5,"(90.22, 149.16)"
2023,11,2023-W11-M06,6,9,Week 11 Recap (Won),You Better Park It,91.06,90.8,32,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=11&mid1=9,"(90.8, 91.06)"
2023,12,2023-W12-M05,5,8,Week 12 Recap (Lost),Ginger FC,95.3,122.34,32,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=12&mid1=8,"(95.3, 122.34)"
2023,12,2023-W12-M06,6,9,Week 12 Recap (Won),You Better Park It,122.34,95.3,32,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=12&mid1=9,"(95.3, 122.34)"
2023,13,2023-W13-M03,3,4,Week 13 Recap (Won),Joe Mantegna,92.88,91.06,32,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=13&mid1=4,"(91.06, 92.88)"
2023,14,2023-W14-M01,1,1,Week 14 Recap (Won),The Big Gronkowski,103.74,87.34,30,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=1,"(87.34, 103.74)"
2023,14,2023-W14-M06,6,9,Week 14 Recap (Lost),You Better Park It,87.34,103.74,30,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=9,"(87.34, 103.74)"
