trade_id,year,transaction_id,transaction_key,timestamp,date,player,player_key,player_id,action,source_type,destination_type,source_team_yahoo,destination_team_yahoo,source_team,destination_team,status,source
2019-168,2019,168,390.l.322794.tr.168,1571902144,2019-10-24T03:29:04-04:00,Marlon Mack,390.p.30256,30256,trade,team,team,The Big Gronkowski,Post Mahomes,The Big Gronkowski,Post Mahomes,successful,yahoo_fantasy_api
2019-172,2019,172,390.l.322794.tr.172,1572076885,2019-10-26T04:01:25-04:00,Le'Veon Bell,390.p.26671,26671,trade,team,team,Malle ❤️ 🐸,ThreatLevelMidnight,Malle ❤️ 🐸,ThreatLevelMidnight,successful,yahoo_fantasy_api
2019-172,2019,172,390.l.322794.tr.172,1572076885,2019-10-26T04:01:25-04:00,James Conner,390.p.30218,30218,trade,team,team,ThreatLevelMidnight,Malle ❤️ 🐸,ThreatLevelMidnight,Malle ❤️ 🐸,successful,yahoo_fantasy_api
2019-187,2019,187,390.l.322794.tr.187,1572506916,2019-10-31T03:28:36-04:00,Peyton Barber,390.p.29560,29560,trade,team,team,Uncle Rico,malle_dips_pouches,Uncle Rico,malle_dips_pouches,successful,yahoo_fantasy_api
2019-187,2019,187,390.l.322794.tr.187,1572506916,2019-10-31T03:28:36-04:00,Tyler Boyd,390.p.29288,29288,trade,team,team,Uncle Rico,malle_dips_pouches,Uncle Rico,malle_dips_pouches,successful,yahoo_fantasy_api
2019-187,2019,187,390.l.322794.tr.187,1572506916,2019-10-31T03:28:36-04:00,DJ Moore,390.p.30994,30994,trade,team,team,malle_dips_pouches,Uncle Rico,malle_dips_pouches,Uncle Rico,successful,yahoo_fantasy_api
2019-187,2019,187,390.l.322794.tr.187,1572506916,2019-10-31T03:28:36-04:00,LeSean McCoy,390.p.9317,9317,trade,team,team,malle_dips_pouches,Uncle Rico,malle_dips_pouches,Uncle Rico,successful,yahoo_fantasy_api
2020-39,2020,39,399.l.510142.tr.39,1600501178,2020-09-19T03:39:38-04:00,Odell Beckham Jr.,399.p.27540,27540,trade,team,team,Big Sack Jack,The Big Gronkowski,Big Sack Jack,The Big Gronkowski,successful,yahoo_fantasy_api
2020-39,2020,39,399.l.510142.tr.39,1600501178,2020-09-19T03:39:38-04:00,Keenan Allen,399.p.26699,26699,trade,team,team,The Big Gronkowski,Big Sack Jack,The Big Gronkowski,Big Sack Jack,successful,yahoo_fantasy_api
2020-110,2020,110,399.l.510142.tr.110,1602400966,2020-10-11T03:22:46-04:00,Justin Jefferson,399.p.32692,32692,trade,team,team,Pop Lockett Drop it,Voldemort,Pop Lockett Drop it,Voldemort,successful,yahoo_fantasy_api
2020-110,2020,110,399.l.510142.tr.110,1602400966,2020-10-11T03:22:46-04:00,Darrell Henderson Jr.,399.p.31902,31902,trade,team,team,Voldemort,Pop Lockett Drop it,Voldemort,Pop Lockett Drop it,successful,yahoo_fantasy_api
2020-172,2020,172,399.l.510142.tr.172,1603437912,2020-10-23T03:25:12-04:00,Mark Andrews,399.p.31056,31056,trade,team,team,Patty Primetimes,Post Mahomes,Patty Primetimes,Post Mahomes,successful,yahoo_fantasy_api
2020-172,2020,172,399.l.510142.tr.172,1603437912,2020-10-23T03:25:12-04:00,T.Y. Hilton,399.p.25802,25802,trade,team,team,Patty Primetimes,Post Mahomes,Patty Primetimes,Post Mahomes,successful,yahoo_fantasy_api
2020-172,2020,172,399.l.510142.tr.172,1603437912,2020-10-23T03:25:12-04:00,DJ Moore,399.p.30994,30994,trade,team,team,Post Mahomes,Patty Primetimes,Post Mahomes,Patty Primetimes,successful,yahoo_fantasy_api
2020-172,2020,172,399.l.510142.tr.172,1603437912,2020-10-23T03:25:12-04:00,Noah Fant,399.p.31852,31852,trade,team,team,Post Mahomes,Patty Primetimes,Post Mahomes,Patty Primetimes,successful,yahoo_fantasy_api
2020-172,2020,172,399.l.510142.tr.172,1603437912,2020-10-23T03:25:12-04:00,Phillip Lindsay,399.p.31379,31379,trade,team,team,Post Mahomes,Patty Primetimes,Post Mahomes,Patty Primetimes,successful,yahoo_fantasy_api
2020-182,2020,182,399.l.510142.tr.182,1603788336,2020-10-27T04:45:36-04:00,Austin Ekeler,399.p.30423,30423,trade,team,team,Patty Primetimes,Uncle Rico,Patty Primetimes,Uncle Rico,successful,yahoo_fantasy_api
2020-182,2020,182,399.l.510142.tr.182,1603788336,2020-10-27T04:45:36-04:00,Christian Kirk,399.p.31017,31017,trade,team,team,Patty Primetimes,Uncle Rico,Patty Primetimes,Uncle Rico,successful,yahoo_fantasy_api
2020-182,2020,182,399.l.510142.tr.182,1603788336,2020-10-27T04:45:36-04:00,Lamar Jackson,399.p.31002,31002,trade,team,team,Patty Primetimes,Uncle Rico,Patty Primetimes,Uncle Rico,successful,yahoo_fantasy_api
2020-182,2020,182,399.l.510142.tr.182,1603788336,2020-10-27T04:45:36-04:00,D'Andre Swift,399.p.32705,32705,trade,team,team,Uncle Rico,Patty Primetimes,Uncle Rico,Patty Primetimes,successful,yahoo_fantasy_api
2020-182,2020,182,399.l.510142.tr.182,1603788336,2020-10-27T04:45:36-04:00,Josh Allen,399.p.30977,30977,trade,team,team,Uncle Rico,Patty Primetimes,Uncle Rico,Patty Primetimes,successful,yahoo_fantasy_api
2020-182,2020,182,399.l.510142.tr.182,1603788336,2020-10-27T04:45:36-04:00,Travis Fulgham,399.p.32016,32016,trade,team,team,Uncle Rico,Patty Primetimes,Uncle Rico,Patty Primetimes,successful,yahoo_fantasy_api
2020-263,2020,263,399.l.510142.tr.263,1605255933,2020-11-13T03:25:33-05:00,Darrell Henderson Jr.,399.p.31902,31902,trade,team,team,Pop Lockett Drop it,malle_dips_pouches,Pop Lockett Drop it,malle_dips_pouches,successful,yahoo_fantasy_api
2020-263,2020,263,399.l.510142.tr.263,1605255933,2020-11-13T03:25:33-05:00,Devin Singletary,399.p.31906,31906,trade,team,team,malle_dips_pouches,Pop Lockett Drop it,malle_dips_pouches,Pop Lockett Drop it,successful,yahoo_fantasy_api
2020-263,2020,263,399.l.510142.tr.263,1605255933,2020-11-13T03:25:33-05:00,Robbie Chosen,399.p.29785,29785,trade,team,team,malle_dips_pouches,Pop Lockett Drop it,malle_dips_pouches,Pop Lockett Drop it,successful,yahoo_fantasy_api
2021-79,2021,79,406.l.410355.tr.79,1633590615,2021-10-07T03:10:15-04:00,Brandon Aiyuk,406.p.32695,32695,trade,team,team,Post Mahomes,Uncle Rico,Post Mahomes,Uncle Rico,successful,yahoo_fantasy_api
2021-79,2021,79,406.l.410355.tr.79,1633590615,2021-10-07T03:10:15-04:00,Latavius Murray,406.p.26804,26804,trade,team,team,Post Mahomes,Uncle Rico,Post Mahomes,Uncle Rico,successful,yahoo_fantasy_api
2021-79,2021,79,406.l.410355.tr.79,1633590615,2021-10-07T03:10:15-04:00,Odell Beckham Jr.,406.p.27540,27540,trade,team,team,Uncle Rico,Post Mahomes,Uncle Rico,Post Mahomes,successful,yahoo_fantasy_api
2021-104,2021,104,406.l.410355.tr.104,1634234130,2021-10-14T13:55:30-04:00,Dallas Goedert,406.p.31019,31019,trade,team,team,Patty Primetimes,Post Mahomes,Patty Primetimes,Post Mahomes,successful,yahoo_fantasy_api
2021-104,2021,104,406.l.410355.tr.104,1634234130,2021-10-14T13:55:30-04:00,Alex Collins,406.p.29405,29405,trade,team,team,Post Mahomes,Patty Primetimes,Post Mahomes,Patty Primetimes,successful,yahoo_fantasy_api
2022-59,2022,59,414.l.854563.tr.59,1663962407,2022-09-23T15:46:47-04:00,D'Andre Swift,414.p.32705,32705,trade,team,team,Malle ❤️ 🐸,Voldemort,Malle ❤️ 🐸,Voldemort,successful,yahoo_fantasy_api
2022-59,2022,59,414.l.854563.tr.59,1663962407,2022-09-23T15:46:47-04:00,Antonio Gibson,414.p.32736,32736,trade,team,team,Voldemort,Malle ❤️ 🐸,Voldemort,Malle ❤️ 🐸,successful,yahoo_fantasy_api
2022-59,2022,59,414.l.854563.tr.59,1663962407,2022-09-23T15:46:47-04:00,James Robinson,414.p.33138,33138,trade,team,team,Voldemort,Malle ❤️ 🐸,Voldemort,Malle ❤️ 🐸,successful,yahoo_fantasy_api
2022-81,2022,81,414.l.854563.tr.81,1664461127,2022-09-29T10:18:47-04:00,Dameon Pierce,414.p.34063,34063,trade,team,team,Pop Lockett Drop it,Post Mahomes,Pop Lockett Drop it,Post Mahomes,successful,yahoo_fantasy_api
2022-81,2022,81,414.l.854563.tr.81,1664461127,2022-09-29T10:18:47-04:00,Gabe Davis,414.p.32798,32798,trade,team,team,Post Mahomes,Pop Lockett Drop it,Post Mahomes,Pop Lockett Drop it,successful,yahoo_fantasy_api
2022-81,2022,81,414.l.854563.tr.81,1664461127,2022-09-29T10:18:47-04:00,Gerald Everett,414.p.30157,30157,trade,team,team,Post Mahomes,Pop Lockett Drop it,Post Mahomes,Pop Lockett Drop it,successful,yahoo_fantasy_api
2022-112,2022,112,414.l.854563.tr.112,1665060497,2022-10-06T08:48:17-04:00,Christian Kirk,414.p.31017,31017,trade,team,team,Pop Lockett Drop it,Uncle Rico,Pop Lockett Drop it,Uncle Rico,successful,yahoo_fantasy_api
2022-112,2022,112,414.l.854563.tr.112,1665060497,2022-10-06T08:48:17-04:00,Najee Harris,414.p.33412,33412,trade,team,team,Pop Lockett Drop it,Uncle Rico,Pop Lockett Drop it,Uncle Rico,successful,yahoo_fantasy_api
2022-112,2022,112,414.l.854563.tr.112,1665060497,2022-10-06T08:48:17-04:00,Nick Chubb,414.p.31005,31005,trade,team,team,Uncle Rico,Pop Lockett Drop it,Uncle Rico,Pop Lockett Drop it,successful,yahoo_fantasy_api
2022-149,2022,149,414.l.854563.tr.149,1666129431,2022-10-18T17:43:51-04:00,CeeDee Lamb,414.p.32687,32687,trade,team,team,Malle ❤️ 🐸,Post Mahomes,Malle ❤️ 🐸,Post Mahomes,successful,yahoo_fantasy_api
2022-149,2022,149,414.l.854563.tr.149,1666129431,2022-10-18T17:43:51-04:00,Allen Lazard,414.p.31268,31268,trade,team,team,Post Mahomes,Malle ❤️ 🐸,Post Mahomes,Malle ❤️ 🐸,successful,yahoo_fantasy_api
2022-149,2022,149,414.l.854563.tr.149,1666129431,2022-10-18T17:43:51-04:00,Ezekiel Elliott,414.p.29238,29238,trade,team,team,Post Mahomes,Malle ❤️ 🐸,Post Mahomes,Malle ❤️ 🐸,successful,yahoo_fantasy_api
2022-224,2022,224,414.l.854563.tr.224,1667492991,2022-11-03T12:29:51-04:00,Clyde Edwards-Helaire,414.p.32702,32702,trade,team,team,Post Mahomes,Uncle Rico,Post Mahomes,Uncle Rico,successful,yahoo_fantasy_api
2022-224,2022,224,414.l.854563.tr.224,1667492991,2022-11-03T12:29:51-04:00,Tua Tagovailoa,414.p.32675,32675,trade,team,team,Uncle Rico,Post Mahomes,Uncle Rico,Post Mahomes,successful,yahoo_fantasy_api
2022-284,2022,284,414.l.854563.tr.284,1668706630,2022-11-17T12:37:10-05:00,Dalton Schultz,414.p.31107,31107,trade,team,team,Ginger FC,Voldemort,Ginger FC 🏆🏆,Voldemort,successful,yahoo_fantasy_api
2022-284,2022,284,414.l.854563.tr.284,1668706630,2022-11-17T12:37:10-05:00,Curtis Samuel,414.p.30153,30153,trade,team,team,Voldemort,Ginger FC,Voldemort,Ginger FC 🏆🏆,successful,yahoo_fantasy_api
2023-87,2023,87,423.l.684195.tr.87,1695972099,2023-09-29T03:21:39-04:00,Chris Olave,423.p.33966,33966,trade,team,team,Pop Lockett Drop it,ThreatLevelMidnight,Pop Lockett Drop it,ThreatLevelMidnight,successful,yahoo_fantasy_api
2023-87,2023,87,423.l.684195.tr.87,1695972099,2023-09-29T03:21:39-04:00,Raheem Mostert,423.p.28654,28654,trade,team,team,ThreatLevelMidnight,Pop Lockett Drop it,ThreatLevelMidnight,Pop Lockett Drop it,successful,yahoo_fantasy_api
2023-232,2023,232,423.l.684195.tr.232,1700143549,2023-11-16T09:05:49-05:00,Isiah Pacheco,423.p.34207,34207,trade,team,team,Pop Lockett Drop it,Voldemort,Pop Lockett Drop it,Voldemort,successful,yahoo_fantasy_api
2023-232,2023,232,423.l.684195.tr.232,1700143549,2023-11-16T09:05:49-05:00,Tyler Lockett,423.p.28457,28457,trade,team,team,Voldemort,Pop Lockett Drop it,Voldemort,Pop Lockett Drop it,successful,yahoo_fantasy_api
2023-242,2023,242,423.l.684195.tr.242,1700554881,2023-11-21T03:21:21-05:00,Justin Fields,423.p.33399,33399,trade,team,team,Pop Lockett Drop it,Uncle Rico,Pop Lockett Drop it,Uncle Rico,successful,yahoo_fantasy_api
2023-242,2023,242,423.l.684195.tr.242,1700554881,2023-11-21T03:21:21-05:00,Gus Edwards,423.p.31424,31424,trade,team,team,Uncle Rico,Pop Lockett Drop it,Uncle Rico,Pop Lockett Drop it,successful,yahoo_fantasy_api
2024-84,2024,84,449.l.673480.tr.84,1728501887,2024-10-09T15:24:47-04:00,Amari Cooper,449.p.28392,28392,trade,team,team,Ginger FC,Post Mahomes,Ginger FC 🏆🏆,Post Mahomes,successful,yahoo_fantasy_api
2024-84,2024,84,449.l.673480.tr.84,1728501887,2024-10-09T15:24:47-04:00,Deebo Samuel Sr.,449.p.31868,31868,trade,team,team,Ginger FC,Post Mahomes,Ginger FC 🏆🏆,Post Mahomes,successful,yahoo_fantasy_api
2024-84,2024,84,449.l.673480.tr.84,1728501887,2024-10-09T15:24:47-04:00,Kareem Hunt,449.p.30199,30199,trade,team,team,Post Mahomes,Ginger FC,Post Mahomes,Ginger FC 🏆🏆,successful,yahoo_fantasy_api
2024-168,2024,168,449.l.673480.tr.168,1731676085,2024-11-15T08:08:05-05:00,Breece Hall,449.p.33991,33991,trade,team,team,Joe Mantegna,Malle ❤️ 🐸,Joe Mantegna,Malle ❤️ 🐸,successful,yahoo_fantasy_api
2024-168,2024,168,449.l.673480.tr.168,1731676085,2024-11-15T08:08:05-05:00,Brock Purdy,449.p.34218,34218,trade,team,team,Malle ❤️ 🐸,Joe Mantegna,Malle ❤️ 🐸,Joe Mantegna,successful,yahoo_fantasy_api
2024-168,2024,168,449.l.673480.tr.168,1731676085,2024-11-15T08:08:05-05:00,Malik Nabers,449.p.40899,40899,trade,team,team,Malle ❤️ 🐸,Joe Mantegna,Malle ❤️ 🐸,Joe Mantegna,successful,yahoo_fantasy_api
2025-74,2025,74,461.l.637567.tr.74,1759476333,2025-10-03T03:25:33-04:00,Tetairoa McMillan,461.p.41793,41793,trade,team,team,Pop Lockett Drop it,Post Mahomes,Pop Lockett Drop it,Post Mahomes,successful,yahoo_fantasy_api
2025-74,2025,74,461.l.637567.tr.74,1759476333,2025-10-03T03:25:33-04:00,Jordan Mason,461.p.34320,34320,trade,team,team,Post Mahomes,Pop Lockett Drop it,Post Mahomes,Pop Lockett Drop it,successful,yahoo_fantasy_api
2025-74,2025,74,461.l.637567.tr.74,1759476333,2025-10-03T03:25:33-04:00,Tee Higgins,461.p.32703,32703,trade,team,team,Post Mahomes,Pop Lockett Drop it,Post Mahomes,Pop Lockett Drop it,successful,yahoo_fantasy_api
