year,round,pick_in_round,overall_pick,team,player,keeper,position,position_source
2017,12,5,137,Dillon Panthers,Eric Ebron,False,TE,Weekly Lineup
2017,12,6,138,Ginger FC,Jordan Matthews,False,WR,Weekly Lineup
2017,12,7,139,Malle ❤️ 🐸,Carson Wentz,False,QB,Weekly Lineup
2017,12,8,140,malle_dips_pouches,Sebastian Janikowski,False,K,NFLverse Exact
2017,12,9,141,Joe Mantegna,Carson Palmer,False,QB,Weekly Lineup
2017,12,10,142,ThreatLevelMidnight,Mason Crosby,False,K,Weekly Lineup
2017,12,11,143,Pop Lockett Drop it,Danny Amendola,False,WR,NFLverse Exact
2017,12,12,144,Post Mahomes,Coby Fleener,False,TE,Weekly Lineup
2017,13,1,145,Post Mahomes,Panthers,False,DEF,Defense
2017,13,2,146,Pop Lockett Drop it,Kevin White,False,WR,Weekly Lineup
2017,13,3,147,ThreatLevelMidnight,Jason Witten,False,TE,Weekly Lineup
2017,13,4,148,Joe Mantegna,Matt Prater,False,K,Weekly Lineup
2017,13,5,149,malle_dips_pouches,Giants,False,DEF,Defense
2017,13,6,150,Malle ❤️ 🐸,Antonio Gates,False,TE,NFLverse Exact
2017,13,7,151,Ginger FC,Jacquizz Rodgers,False,RB,NFLverse Exact
2017,13,8,152,Dillon Panthers,James White,False,RB,Weekly Lineup
2017,13,9,153,The Big Gronkowski,O.J. Howard,False,TE,Weekly Lineup
2017,13,10,154,Voldemort,Tyrod Taylor,False,QB,Weekly Lineup
2017,13,11,155,Hello Harvard,Cairo Santos,False,K,Weekly Lineup
2017,13,12,156,Big Sack Jack,Latavius Murray,False,RB,Weekly Lineup
2017,14,1,157,Big Sack Jack,C.J. Fiedorowicz,False,TE,Weekly Lineup
2017,14,2,158,Hello Harvard,Jaguars,False,DEF,Defense
2017,14,3,159,Voldemort,Blake Bortles,False,QB,Weekly Lineup
2017,14,4,160,The Big Gronkowski,Kenny Stills,False,WR,Weekly Lineup
2017,14,5,161,Dillon Panthers,Zay Jones,False,WR,NFLverse Exact
2017,14,6,162,Ginger FC,Jay Cutler,False,QB,NFLverse Exact
2017,14,7,163,Malle ❤️ 🐸,Corey Davis,False,WR,Weekly Lineup
2017,14,8,164,malle_dips_pouches,Charles Clay,False,TE,Weekly Lineup
2017,14,9,165,Joe Mantegna,Julius Thomas,False,TE,NFLverse Exact
2017,14,10,166,ThreatLevelMidnight,Sterling Shepard,False,WR,Weekly Lineup
2017,14,11,167,Pop Lockett Drop it,Samaje Perine,False,RB,Weekly Lineup
2017,14,12,168,Post Mahomes,Robbie Chosen,False,WR,Weekly Lineup
2017,15,1,169,Post Mahomes,Wil Lutz,False,K,Weekly Lineup
2017,15,2,170,Pop Lockett Drop it,Cole Beasley,False,WR,NFLverse Exact
2017,15,3,171,ThreatLevelMidnight,C.J. Prosise,False,RB,NFLverse Exact
2017,15,4,172,Joe Mantegna,Darren Sproles,False,RB,NFLverse Exact
2017,15,5,173,malle_dips_pouches,Allen Hurns,False,WR,Weekly Lineup
2017,15,6,174,Malle ❤️ 🐸,Packers,False,DEF,Defense
2017,15,7,175,Ginger FC,Rams,False,DEF,Defense
2017,15,8,176,Dillon Panthers,Ravens,False,DEF,Defense
2017,15,9,177,The Big Gronkowski,Robert Turbin,False,RB,NFLverse Exact
2017,15,10,178,Voldemort,Bills,False,DEF,Defense
2017,15,11,179,Hello Harvard,Tyler Lockett,False,WR,Weekly Lineup
2017,15,12,180,Big Sack Jack,Chris Boswell,False,K,Weekly Lineup
2018,1,1,1,Uncle Rico,Todd Gurley,False,RB,Weekly Lineup
2018,1,2,2,Post Mahomes,Ezekiel Elliott,False,RB,Weekly Lineup
2018,1,3,3,Malle ❤️ 🐸,David Johnson,False,RB,Weekly Lineup
2018,1,4,4,Big Sack Jack,Alvin Kamara,False,RB,Weekly Lineup
2018,1,5,5,Dillon Panthers,Antonio Brown,False,WR,Weekly Lineup
2018,1,6,6,Ginger FC,DeAndre Hopkins,False,WR,Weekly Lineup
2018,1,7,7,Joe Mantegna,Saquon Barkley,False,RB,Weekly Lineup
2018,1,8,8,ThreatLevelMidnight,Melvin Gordon III,False,RB,Weekly Lineup
2018,1,9,9,Voldemort,Le'Veon Bell,False,RB,NFLverse Exact
2018,1,10,10,malle_dips_pouches,Leonard Fournette,False,RB,Weekly Lineup
2018,1,11,11,Pop Lockett Drop it,Kareem Hunt,False,RB,Weekly Lineup
2018,1,12,12,The Big Gronkowski,Christian McCaffrey,False,RB,Weekly Lineup
2018,2,1,13,The Big Gronkowski,Dalvin Cook,False,RB,Weekly Lineup
2018,2,2,14,Pop Lockett Drop it,Odell Beckham Jr.,False,WR,Weekly Lineup
2018,2,3,15,malle_dips_pouches,Davante Adams,False,WR,Weekly Lineup
2018,2,4,16,Voldemort,Devonta Freeman,False,RB,Weekly Lineup
2018,2,5,17,ThreatLevelMidnight,Jordan Howard,False,RB,Weekly Lineup
2018,2,6,18,Joe Mantegna,Julio Jones,False,WR,Weekly Lineup
2018,2,7,19,Ginger FC,Rob Gronkowski,False,TE,Weekly Lineup
2018,2,8,20,Dillon Panthers,A.J. Green,False,WR,Weekly Lineup
2018,2,9,21,Big Sack Jack,Tyreek Hill,False,WR,Weekly Lineup
2018,2,10,22,Malle ❤️ 🐸,Mike Evans,False,WR,Weekly Lineup
2018,2,11,23,Post Mahomes,Michael Thomas,False,WR,Weekly Lineup
2018,2,12,24,Uncle Rico,Keenan Allen,False,WR,Weekly Lineup
2018,3,1,25,Uncle Rico,Aaron Rodgers,False,QB,Weekly Lineup
2018,3,2,26,Post Mahomes,Joe Mixon,False,RB,Weekly Lineup
2018,3,3,27,Malle ❤️ 🐸,Kenyan Drake,False,RB,Weekly Lineup
2018,3,4,28,Big Sack Jack,Travis Kelce,False,TE,Weekly Lineup
2018,3,5,29,Dillon Panthers,Alex Collins,False,RB,Weekly Lineup
2018,3,6,30,Ginger FC,Jay Ajayi,False,RB,Weekly Lineup
2018,3,7,31,Joe Mantegna,Zach Ertz,False,TE,Weekly Lineup
2018,3,8,32,ThreatLevelMidnight,Adam Thielen,False,WR,Weekly Lineup
2018,3,9,33,Voldemort,Stefon Diggs,False,WR,Weekly Lineup
2018,3,10,34,malle_dips_pouches,Amari Cooper,False,WR,Weekly Lineup
2018,3,11,35,Pop Lockett Drop it,Royce Freeman,False,RB,Weekly Lineup
2018,3,12,36,The Big Gronkowski,JuJu Smith-Schuster,False,WR,Weekly Lineup
2018,4,1,37,The Big Gronkowski,Larry Fitzgerald,False,WR,Weekly Lineup
2018,4,2,38,Pop Lockett Drop it,Golden Tate,False,WR,Weekly Lineup
2018,4,3,39,malle_dips_pouches,Lamar Miller,False,RB,Weekly Lineup
2018,4,4,40,Voldemort,Tom Brady,False,QB,Weekly Lineup
2018,4,5,41,ThreatLevelMidnight,LeSean McCoy,False,RB,NFLverse Exact
2018,4,6,42,Joe Mantegna,Deshaun Watson,False,QB,Weekly Lineup
2018,4,7,43,Ginger FC,Russell Wilson,False,QB,Weekly Lineup
2018,4,8,44,Dillon Panthers,Drew Brees,False,QB,Weekly Lineup
2018,4,9,45,Big Sack Jack,Derrick Henry,False,RB,Weekly Lineup
2018,4,10,46,Malle ❤️ 🐸,Cam Newton,False,QB,Weekly Lineup
2018,4,11,47,Post Mahomes,T.Y. Hilton,False,WR,Weekly Lineup
2018,4,12,48,Uncle Rico,Chris Hogan,False,WR,Weekly Lineup
2018,5,1,49,Uncle Rico,Doug Baldwin,False,WR,Weekly Lineup
2018,5,2,50,Post Mahomes,Mark Ingram II,False,RB,Weekly Lineup
2018,5,3,51,Malle ❤️ 🐸,Allen Robinson,False,WR,Weekly Lineup
2018,5,4,52,Big Sack Jack,Jarvis Landry,False,WR,Weekly Lineup
2018,5,5,53,Dillon Panthers,Carlos Hyde,False,RB,Weekly Lineup
2018,5,6,54,Ginger FC,Carson Wentz,False,QB,Weekly Lineup
2018,5,7,55,Joe Mantegna,Corey Davis,False,WR,Weekly Lineup
2018,5,8,56,ThreatLevelMidnight,Marvin Jones Jr.,False,WR,Weekly Lineup
2018,5,9,57,Voldemort,Demaryius Thomas,False,WR,Weekly Lineup
2018,5,10,58,malle_dips_pouches,Dion Lewis,False,RB,Weekly Lineup
2018,5,11,59,Pop Lockett Drop it,Jimmy Graham,False,TE,Weekly Lineup
2018,5,12,60,The Big Gronkowski,Rex Burkhead,False,RB,Weekly Lineup
2018,6,1,61,The Big Gronkowski,Brandin Cooks,False,WR,Weekly Lineup
2018,6,2,62,Pop Lockett Drop it,Josh Gordon,False,WR,Weekly Lineup
2018,6,3,63,malle_dips_pouches,Delanie Walker,False,TE,Weekly Lineup
2018,6,4,64,Voldemort,Marshawn Lynch,False,RB,Weekly Lineup
2018,6,5,65,ThreatLevelMidnight,Greg Olsen,False,TE,Weekly Lineup
2018,6,6,66,Joe Mantegna,Alfred Morris,False,RB,Weekly Lineup
2018,6,7,67,Ginger FC,Jamaal Williams,False,RB,Weekly Lineup
2018,6,8,68,Dillon Panthers,Emmanuel Sanders,False,WR,Weekly Lineup
2018,6,9,69,Big Sack Jack,Matthew Stafford,False,QB,Weekly Lineup
2018,6,10,70,Malle ❤️ 🐸,Tevin Coleman,False,RB,Weekly Lineup
2018,6,11,71,Post Mahomes,Evan Engram,False,TE,Weekly Lineup
2018,6,12,72,Uncle Rico,Chris Carson,False,RB,Weekly Lineup
2018,7,1,73,Uncle Rico,Kyle Rudolph,False,TE,Weekly Lineup
2018,7,2,74,Post Mahomes,Marquise Goodwin,False,WR,NFLverse Exact
2018,7,3,75,Malle ❤️ 🐸,Ben Roethlisberger,False,QB,Weekly Lineup
2018,7,4,76,Big Sack Jack,Robert Woods,False,WR,Weekly Lineup
2018,7,5,77,Dillon Panthers,Trey Burton,False,TE,Weekly Lineup
2018,7,6,78,Ginger FC,Devin Funchess,False,WR,Weekly Lineup
2018,7,7,79,Joe Mantegna,Jamison Crowder,False,WR,NFLverse Exact
2018,7,8,80,ThreatLevelMidnight,Kirk Cousins,False,QB,Weekly Lineup
2018,7,9,81,Voldemort,James Conner,False,RB,Weekly Lineup
2018,7,10,82,malle_dips_pouches,Michael Crabtree,False,WR,Weekly Lineup
2018,7,11,83,Pop Lockett Drop it,Adrian Peterson,False,RB,Weekly Lineup
2018,7,12,84,The Big Gronkowski,Philip Rivers,False,QB,Weekly Lineup
2018,8,1,85,The Big Gronkowski,David Njoku,False,TE,Weekly Lineup
2018,8,2,86,Pop Lockett Drop it,Matt Ryan,False,QB,Weekly Lineup
2018,8,3,87,malle_dips_pouches,Cooper Kupp,False,WR,Weekly Lineup
2018,8,4,88,Voldemort,Jordan Reed,False,TE,Weekly Lineup
2018,8,5,89,ThreatLevelMidnight,Will Fuller V,False,WR,Weekly Lineup
2018,8,6,90,Joe Mantegna,Jaguars,False,DEF,Defense
2018,8,7,91,Ginger FC,Chris Thompson,False,RB,Weekly Lineup
2018,8,8,92,Dillon Panthers,Kerryon Johnson,False,RB,Weekly Lineup
2018,8,9,93,Big Sack Jack,Sony Michel,False,RB,Weekly Lineup
2018,8,10,94,Malle ❤️ 🐸,Cameron Brate,False,TE,Weekly Lineup
2018,8,11,95,Post Mahomes,Sammy Watkins,False,WR,Weekly Lineup
2018,8,12,96,Uncle Rico,Robbie Chosen,False,WR,Weekly Lineup
2018,9,1,97,Uncle Rico,Duke Johnson,False,RB,NFLverse Exact
2018,9,2,98,Post Mahomes,Andrew Luck,False,QB,Weekly Lineup
2018,9,3,99,Malle ❤️ 🐸,Alshon Jeffery,False,WR,Weekly Lineup
2018,9,4,100,Big Sack Jack,Jordy Nelson,False,WR,NFLverse Exact
2018,9,5,101,Dillon Panthers,Jimmy Garoppolo,False,QB,NFLverse Exact
2018,9,6,102,Ginger FC,Pierre Garcon,False,WR,NFLverse Exact
2018,9,7,103,Joe Mantegna,Stephen Gostkowski,False,K,Weekly Lineup
2018,9,8,104,ThreatLevelMidnight,Rashaad Penny,False,RB,NFLverse Exact
2018,9,9,105,Voldemort,Julian Edelman,False,WR,Weekly Lineup
2018,9,10,106,malle_dips_pouches,Jared Goff,False,QB,Weekly Lineup
2018,9,11,107,Pop Lockett Drop it,Nelson Agholor,False,WR,Weekly Lineup
2018,9,12,108,The Big Gronkowski,Jack Doyle,False,TE,Weekly Lineup
2018,10,1,109,The Big Gronkowski,Alex Smith,False,QB,NFLverse Exact
2018,10,2,110,Pop Lockett Drop it,Ronald Jones,False,RB,NFLverse Exact
2018,10,3,111,malle_dips_pouches,Bilal Powell,False,RB,Weekly Lineup
2018,10,4,112,Voldemort,Peyton Barber,False,RB,Weekly Lineup
2018,10,5,113,ThreatLevelMidnight,Dak Prescott,False,QB,NFLverse Exact
2018,10,6,114,Joe Mantegna,Patrick Mahomes,False,QB,Weekly Lineup
2018,10,7,115,Ginger FC,Greg Zuerlein,False,K,Weekly Lineup
2018,10,8,116,Dillon Panthers,Tarik Cohen,False,RB,Weekly Lineup
2018,10,9,117,Big Sack Jack,Latavius Murray,False,RB,Weekly Lineup
2018,10,10,118,Malle ❤️ 🐸,Sterling Shepard,False,WR,Weekly Lineup
2018,10,11,119,Post Mahomes,Isaiah Crowell,False,RB,Weekly Lineup
2018,10,12,120,Uncle Rico,Aaron Jones Sr.,False,RB,Weekly Lineup
2018,11,1,121,Uncle Rico,Kenny Stills,False,WR,Weekly Lineup
2018,11,2,122,Post Mahomes,Marcus Mariota,False,QB,NFLverse Exact
2018,11,3,123,Malle ❤️ 🐸,Marlon Mack,False,RB,Weekly Lineup
2018,11,4,124,Big Sack Jack,Vikings,False,DEF,Defense
2018,11,5,125,Dillon Panthers,Eagles,False,DEF,Defense
2018,11,6,126,Ginger FC,Rishard Matthews,False,WR,NFLverse Exact
2018,11,7,127,Joe Mantegna,George Kittle,False,TE,Weekly Lineup
2018,11,8,128,ThreatLevelMidnight,Justin Tucker,False,K,Weekly Lineup
2018,11,9,129,Voldemort,Matt Breida,False,RB,Weekly Lineup
2018,11,10,130,malle_dips_pouches,Rams,False,DEF,Defense
2018,11,11,131,Pop Lockett Drop it,Texans,False,DEF,Defense
2018,11,12,132,The Big Gronkowski,Chargers,False,DEF,Defense
