table_index,row_index,cell_index,tag,class,data_pos,text
1,9,9,TD,Last Ta-start,,Ravens - DEF Final L 38-42 vs Mia
1,9,10,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,"1 Ret TD, 2 Int, Pts Allow 35+"
1,10,0,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,
1,10,1,TD,Ta-start,,
1,10,2,TD,Alt Ta-end F-shade Va-top,,125.14
1,10,3,TD,Pend-lg Ta-end Fw-b Nowrap Va-top,,95.50
1,10,4,TD,Alt Bg-shade Hidden,,Total
1,10,5,TD,Va-top Bg-shade F-shade Bdrstart Bdrend Ta-c,,TOTAL
1,10,6,TD,Alt Hidden Hidden,,Total
1,10,7,TD,Ta-end Fw-b Nowrap Va-top,,168.52
1,10,8,TD,Alt Pend-med Ta-end F-shade Va-top,,120.96
1,10,9,TD,Last Ta-start,,
1,10,10,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,
2,0,0,TH,Alt Ta-start Pend-sm Fz-xxs Px-lg,,Stats
2,0,1,TH,Ta-start,,Player
2,0,2,TH,Alt Ta-end F-shade Va-top,,Proj
2,0,3,TH,Pend-lg Ta-end Fw-b Nowrap Va-top,,Fan Pts
2,0,4,TH,Alt Hidden,,Pos
2,0,5,TH,Va-top Ta-c Bdrstart Bdrend Fw-b,,Pos
2,0,6,TH,Alt Hidden Hidden,,Pos
2,0,7,TH,No-pstart Ta-end Fw-b Nowrap Va-top,,Fan Pts
2,0,8,TH,Alt Pend-med Ta-end F-shade Va-top,,Proj
2,0,9,TH,Last Ta-start,,Player
2,0,10,TH,Alt Ta-start Pend-sm Fz-xxs Px-lg,,Stats
2,1,0,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,2 Rec
2,1,1,TD,Ta-start,,Kadarius Toney Final L 30-31 vs NYJ
2,1,2,TD,Alt Ta-end F-shade Va-top,,3.76
2,1,3,TD,Pend-lg Ta-end Fw-b Nowrap Va-top,,1.00
2,1,4,TD,Alt Bg-shade Hidden,,BN
2,1,5,TD,Va-top Bg-shade F-shade Bdrstart Bdrend Ta-c,,BN
2,1,6,TD,Alt Hidden Hidden,,BN
2,1,7,TD,Ta-end Fw-b Nowrap Va-top,,11.50
2,1,8,TD,Alt Pend-med Ta-end F-shade Va-top,,8.12
2,1,9,TD,Last Ta-start,,DeVonta Smith Final W 24-7 vs Min
2,1,10,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,"80 Rec Yds, 7 Rec"
2,2,0,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,"23 Rec Yds, 1 Rec"
2,2,1,TD,Ta-start,,George Pickens Final W 20-17 vs Cin
2,2,2,TD,Alt Ta-end F-shade Va-top,,5.70
2,2,3,TD,Pend-lg Ta-end Fw-b Nowrap Va-top,,2.80
2,2,4,TD,Alt Bg-shade Hidden,,BN
2,2,5,TD,Va-top Bg-shade F-shade Bdrstart Bdrend Ta-c,,BN
2,2,6,TD,Alt Hidden Hidden,,BN
2,2,7,TD,Ta-end Fw-b Nowrap Va-top,,7.50
2,2,8,TD,Alt Pend-med Ta-end F-shade Va-top,,10.28
2,2,9,TD,Last Ta-start,,Michael Carter Final L 7-41 @ Buf
2,2,10,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,"27 Rec Yds, 5 Rec, 23 Rush Yds"
2,3,0,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,"95 Rec Yds, 9 Rec"
2,3,1,TD,Ta-start,,Jakobi Meyers Final W 24-0 vs Ind
2,3,2,TD,Alt Ta-end F-shade Va-top,,7.96
2,3,3,TD,Pend-lg Ta-end Fw-b Nowrap Va-top,,14.00
2,3,4,TD,Alt Bg-shade Hidden,,BN
2,3,5,TD,Va-top Bg-shade F-shade Bdrstart Bdrend Ta-c,,BN
2,3,6,TD,Alt Hidden Hidden,,BN
2,3,7,TD,Ta-end Fw-b Nowrap Va-top,,4.70
2,3,8,TD,Alt Pend-med Ta-end F-shade Va-top,,8.79
2,3,9,TD,Last Ta-start,,Tyler Boyd Final L 7-41 @ Buf
2,3,10,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,"1 2-PT, 17 Rec Yds, 2 Rec"
2,4,0,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,6 Rush Yds
2,4,1,TD,Ta-start,,Isiah Pacheco Final W 36-27 vs Was
2,4,2,TD,Alt Ta-end F-shade Va-top,,4.55
2,4,3,TD,Pend-lg Ta-end Fw-b Nowrap Va-top,,0.60
2,4,4,TD,Alt Bg-shade Hidden,,BN
2,4,5,TD,Va-top Bg-shade F-shade Bdrstart Bdrend Ta-c,,BN
2,4,6,TD,Alt Hidden Hidden,,BN
2,4,7,TD,Ta-end Fw-b Nowrap Va-top,,10.20
2,4,8,TD,Alt Pend-med Ta-end F-shade Va-top,,8.90
2,4,9,TD,Last Ta-start,,Pat Freiermuth Final L 14-17 vs NE
2,4,10,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,"1 Rec TD, 22 Rec Yds, 4 Rec"
2,5,0,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,"1 Rec TD, 59 Rec Yds, 4 Rec"
2,5,1,TD,Ta-start,,Jahan Dotson Final L 27-31 @ LAR
2,5,2,TD,Alt Ta-end F-shade Va-top,,7.25
2,5,3,TD,Pend-lg Ta-end Fw-b Nowrap Va-top,,15.90
2,5,4,TD,Alt Bg-shade Hidden,,BN
