year,player,final_owner,ownership_confidence,ownership_evidence,snapshot_owner,snapshot_week
2017,Rex Burkhead,Joe Mantegna,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Joe Mantegna,13.0
2017,Sammy Watkins,Joe Mantegna,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Joe Mantegna,13.0
2017,Travis Kelce,Joe Mantegna,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Joe Mantegna,13.0
2017,Adam Vinatieri,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Malle ❤️ 🐸,13.0
2017,Amari Cooper,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Malle ❤️ 🐸,13.0
2017,Antonio Gates,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Malle ❤️ 🐸,13.0
2017,Carson Wentz,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Malle ❤️ 🐸,13.0
2017,Chiefs,Malle ❤️ 🐸,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Chiefs - DEF,Malle ❤️ 🐸,Snapshot Only,Final regular-season roster snapshot (Week 13),Malle ❤️ 🐸,13.0
2017,Corey Davis,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Malle ❤️ 🐸,13.0
2017,DeSean Jackson,Malle ❤️ 🐸,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Voldemort,Voldemort,13.0
2017,Eric Decker,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Malle ❤️ 🐸,13.0
2017,Josh Lambo,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Malle ❤️ 🐸,13.0
2017,Kyle Rudolph,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Malle ❤️ 🐸,13.0
2017,LeSean McCoy,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Malle ❤️ 🐸,13.0
2017,Packers,Malle ❤️ 🐸,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Packers - DEF,Malle ❤️ 🐸,Snapshot Only,Final regular-season roster snapshot (Week 13),Malle ❤️ 🐸,13.0
2017,Russell Wilson,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Malle ❤️ 🐸,13.0
2017,Thomas Rawls,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Malle ❤️ 🐸,13.0
2017,Torrey Smith,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Malle ❤️ 🐸,13.0
2017,Tyler Lockett,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Malle ❤️ 🐸,13.0
2017,Alshon Jeffery,Pop Lockett Drop it,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Pop Lockett Drop it,13.0
2017,Austin Hooper,Pop Lockett Drop it,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Pop Lockett Drop it,13.0
2017,C.J. Fiedorowicz,Pop Lockett Drop it,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Pop Lockett Drop it,13.0
2017,Danny Amendola,Pop Lockett Drop it,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Pop Lockett Drop it,13.0
2017,Duke Johnson,Pop Lockett Drop it,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Pop Lockett Drop it,13.0
