year,team,player,round_kept_in,pick_in_round,overall_pick,keeper_number,keeper_status,keeper_limit_status,acquisition_basis,waiver_baseline,waiver_acquisition_type,waiver_acquisition_team,waiver_acquisition_date,previous_team,previous_year_round,previous_was_keeper,original_draft_year,original_draft_round,original_draft_team,expected_round,round_matches_rule,known_round_exception,rule_status,next_keeper_round,next_season_status
2023,Pop Lockett Drop it,Justin Fields,14,5,161,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,malle_dips_pouches,15.0,False,2022.0,15.0,malle_dips_pouches,14,True,False,Matches Keeper Rule,13.0,Eligible — Round 13
2023,Post Mahomes,Garrett Wilson,10,11,119,1,1st-Year Keeper,Within Keeper Limit,Waiver / Free Agent,True,Waiver,Post Mahomes,"Nov 9, 2:35 am",,,False,,,,10,True,False,Matches Keeper Rule,9.0,Eligible — Round 9
2023,The Big Gronkowski,Tony Pollard,6,9,69,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,The Big Gronkowski,7.0,False,2022.0,7.0,The Big Gronkowski,6,True,False,Matches Keeper Rule,5.0,Eligible — Round 5
2023,ThreatLevelMidnight,Calvin Ridley,10,3,111,1,1st-Year Keeper,Within Keeper Limit,Waiver / Free Agent,True,Free Agent,ThreatLevelMidnight,"Dec 29, 10:25 am",,,False,2021.0,2.0,Voldemort,10,True,False,Matches Keeper Rule,9.0,Eligible — Round 9
2023,Uncle Rico,Ja'Marr Chase,5,12,60,2,2nd-Year Keeper — Final Year,Final Eligible Keeper Year,Prior Keeper,False,,,,Uncle Rico,6.0,True,2021.0,7.0,Uncle Rico,5,True,False,Matches Keeper Rule,,Must Return to Draft Pool
2023,Voldemort,Christian Watson,10,2,110,1,1st-Year Keeper,Within Keeper Limit,Waiver / Free Agent,True,Waiver,Voldemort,"Nov 16, 2:37 am",,,False,,,,10,True,False,Matches Keeper Rule,9.0,Eligible — Round 9
2023,malle_dips_pouches,Amari Cooper,6,6,66,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,malle_dips_pouches,7.0,False,2022.0,7.0,malle_dips_pouches,6,True,False,Matches Keeper Rule,5.0,Eligible — Round 5
2024,Buttermilk Puuump,Amon-Ra St. Brown,3,2,26,2,2nd-Year Keeper — Final Year,Final Eligible Keeper Year,Prior Keeper,False,,,,Buttermilk Puuump,4.0,True,2022.0,5.0,Big Sack Jack,3,True,False,Matches Keeper Rule,,Must Return to Draft Pool
2024,Ginger FC,De'Von Achane,10,12,120,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Buttermilk Puuump,11.0,False,2023.0,11.0,Buttermilk Puuump,10,True,False,Matches Keeper Rule,9.0,Eligible — Round 9
2024,Joe Mantegna,Breece Hall,2,3,15,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Joe Mantegna,3.0,False,2023.0,3.0,Joe Mantegna,2,True,False,Matches Keeper Rule,1.0,Eligible — Round 1
