year,week,fantasy_team,edge_position,starter_points,starters_used,league_total_points,teams_in_week,other_team_avg_points,positional_edge
2017,2,The Big Gronkowski,TE,12.2,1,83.4,12,6.472727272727273,5.727272727272727
2017,2,Voldemort,QB,36.78,1,262.68,12,20.536363636363635,16.243636363636366
2017,2,Voldemort,RB,36.7,2,275.7,12,21.727272727272727,14.972727272727276
2017,2,Voldemort,WR,17.1,3,245.60000000000002,12,20.772727272727277,-3.6727272727272755
2017,2,Voldemort,TE,4.8,1,83.4,12,7.145454545454546,-2.3454545454545466
2017,2,Malle ❤️ 🐸,QB,17.32,1,262.68,12,22.30545454545455,-4.985454545454548
2017,2,Malle ❤️ 🐸,RB,10.7,2,275.7,12,24.09090909090909,-13.39090909090909
2017,2,Malle ❤️ 🐸,WR,7.6,3,245.60000000000002,12,21.63636363636364,-14.03636363636364
2017,2,Malle ❤️ 🐸,TE,4.5,1,83.4,12,7.172727272727273,-2.672727272727273
2017,2,malle_dips_pouches,QB,27.2,1,262.68,12,21.40727272727273,5.792727272727269
2017,2,malle_dips_pouches,RB,23.6,2,275.7,12,22.918181818181818,0.6818181818181834
2017,2,malle_dips_pouches,WR,42.2,3,245.60000000000002,12,18.490909090909096,23.709090909090907
2017,2,malle_dips_pouches,TE,17.6,1,83.4,12,5.981818181818183,11.618181818181817
2017,2,Big Sack Jack,QB,19.24,1,262.68,12,22.13090909090909,-2.8909090909090907
2017,2,Big Sack Jack,RB,10.399999999999999,2,275.7,12,24.11818181818182,-13.718181818181822
