year,canonical_team,team_weeks,actual_wins,expected_wins,bad_beats,severe_bad_beats,brutal_bad_beats,lucky_wins,severe_lucky_wins,avg_score,actual_win_rate,expected_win_rate,wins_below_expected
2019,Joe Mantegna,13,4,5.818181818181818,3,1,1,2,0,92.5723076923077,0.3076923076923077,0.44755244755244755,1.8181818181818183
2019,malle_dips_pouches,13,4,5.2727272727272725,4,0,0,2,1,88.05384615384615,0.3076923076923077,0.40559440559440557,1.2727272727272725
2019,Ginger FC,13,4,4.7272727272727275,0,0,0,0,0,90.86461538461539,0.3076923076923077,0.36363636363636365,0.7272727272727275
2019,Malle ❤️ 🐸,13,4,4.363636363636363,1,0,0,1,0,86.94615384615385,0.3076923076923077,0.3356643356643356,0.3636363636363633
2019,Big Sack Jack,13,7,7.181818181818182,3,3,3,3,0,100.30307692307693,0.5384615384615384,0.5524475524475524,0.18181818181818166
2019,ThreatLevelMidnight,13,7,6.727272727272727,2,0,0,1,0,98.15076923076923,0.5384615384615384,0.5174825174825174,-0.2727272727272734
2019,Patty Primetimes,13,10,9.636363636363637,1,0,0,1,0,113.31384615384614,0.7692307692307693,0.7412587412587412,-0.3636363636363633
2019,Post Mahomes,13,8,7.545454545454546,0,0,0,1,1,101.75692307692307,0.6153846153846154,0.5804195804195804,-0.45454545454545414
2019,The Big Gronkowski,13,6,4.818181818181818,0,0,0,2,2,89.34,0.46153846153846156,0.3706293706293706,-1.1818181818181817
2019,Pop Lockett Drop it,13,10,8.181818181818182,1,0,0,2,0,104.71538461538461,0.7692307692307693,0.6293706293706294,-1.8181818181818183
2019,Voldemort,13,12,8.636363636363637,0,0,0,2,1,106.26,0.9230769230769231,0.6643356643356644,-3.3636363636363633
2020,ThreatLevelMidnight,13,3,6.818181818181818,3,2,2,0,0,111.07692307692308,0.23076923076923078,0.5244755244755245,3.8181818181818183
2020,Malle ❤️ 🐸,13,8,9.545454545454545,3,1,1,0,0,124.13846153846154,0.6153846153846154,0.7342657342657343,1.545454545454545
2020,Ginger FC,13,5,6.454545454545455,3,1,1,2,0,112.13846153846154,0.38461538461538464,0.49650349650349657,1.454545454545455
2020,Patty Primetimes,13,3,4.2727272727272725,1,0,0,1,0,97.25846153846153,0.23076923076923078,0.32867132867132864,1.2727272727272725
2020,malle_dips_pouches,13,5,5.7272727272727275,0,0,0,1,0,107.69384615384615,0.38461538461538464,0.4405594405594406,0.7272727272727275
2020,Post Mahomes,13,6,5.909090909090909,2,0,0,2,0,110.59538461538462,0.46153846153846156,0.45454545454545453,-0.09090909090909083
2020,Big Sack Jack,13,6,5.363636363636363,2,1,1,2,0,105.43846153846154,0.46153846153846156,0.41258741258741255,-0.6363636363636367
2020,Voldemort,13,9,8.0,1,0,0,2,0,119.95846153846153,0.6923076923076923,0.6153846153846154,-1.0
2020,Joe Mantegna,13,7,5.818181818181818,1,0,0,1,0,106.78,0.5384615384615384,0.44755244755244755,-1.1818181818181817
2020,The Big Gronkowski,13,8,6.545454545454545,1,0,0,2,1,112.03846153846153,0.6153846153846154,0.5034965034965034,-1.454545454545455
2020,Pop Lockett Drop it,13,10,7.818181818181818,0,0,0,0,0,117.2953846153846,0.7692307692307693,0.6013986013986015,-2.1818181818181817
2020,Uncle Rico,13,8,5.7272727272727275,2,2,2,6,2,107.52615384615385,0.6153846153846154,0.4405594405594406,-2.2727272727272725
2021,Ginger FC,14,5,7.545454545454545,3,0,0,0,0,116.1,0.35714285714285715,0.538961038961039,2.545454545454545
2021,The Big Gronkowski,14,7,9.454545454545455,3,2,2,0,0,121.18142857142857,0.5,0.6753246753246753,2.454545454545455
2021,Uncle Rico,14,4,6.181818181818182,2,0,0,0,0,107.57000000000001,0.2857142857142857,0.44155844155844154,2.1818181818181817
2021,Big Sack Jack,14,3,5.0,3,1,1,2,0,100.41857142857143,0.21428571428571427,0.35714285714285715,2.0
2021,malle_dips_pouches,14,4,5.090909090909091,1,0,0,0,0,98.19285714285715,0.2857142857142857,0.36363636363636365,1.0909090909090908
2021,Patty Primetimes,14,6,6.090909090909091,3,0,0,2,1,104.44142857142857,0.42857142857142855,0.43506493506493504,0.09090909090909083
2021,Voldemort,14,9,8.727272727272727,1,0,0,2,0,120.21428571428571,0.6428571428571429,0.6233766233766234,-0.2727272727272734
2021,Post Mahomes,14,8,7.454545454545454,2,0,0,1,0,113.78,0.5714285714285714,0.5324675324675324,-0.5454545454545459
2021,Pop Lockett Drop it,14,7,5.545454545454545,0,0,0,3,2,103.07571428571428,0.5,0.39610389610389607,-1.454545454545455
2021,Joe Mantegna,14,9,7.181818181818182,1,0,0,4,0,112.41142857142857,0.6428571428571429,0.512987012987013,-1.8181818181818183
2021,ThreatLevelMidnight,14,11,8.090909090909092,0,0,0,1,0,115.59142857142857,0.7857142857142857,0.577922077922078,-2.9090909090909083
2021,Malle ❤️ 🐸,14,11,7.636363636363637,0,0,0,4,1,113.30285714285715,0.7857142857142857,0.5454545454545455,-3.3636363636363633
2022,Uncle Rico,14,5,8.727272727272727,4,1,1,0,0,115.28857142857143,0.35714285714285715,0.6233766233766234,3.7272727272727266
2022,Malle ❤️ 🐸,14,4,5.7272727272727275,1,1,1,1,0,103.16999999999999,0.2857142857142857,0.4090909090909091,1.7272727272727275
2022,Patty Primetimes,14,3,4.636363636363637,1,0,0,1,0,96.36571428571429,0.21428571428571427,0.33116883116883117,1.6363636363636367
2022,malle_dips_pouches,14,8,8.636363636363637,2,0,0,0,0,118.36571428571428,0.5714285714285714,0.6168831168831169,0.6363636363636367
2022,Voldemort,14,10,10.227272727272727,2,0,0,1,0,124.64,0.7142857142857143,0.7305194805194805,0.22727272727272663
2022,Pop Lockett Drop it,14,4,3.6363636363636362,1,0,0,2,1,93.97142857142856,0.2857142857142857,0.2597402597402597,-0.36363636363636376
2022,Joe Mantegna,14,8,7.363636363636363,4,0,0,3,1,105.76857142857143,0.5714285714285714,0.525974025974026,-0.6363636363636367
2022,ThreatLevelMidnight,14,8,7.2727272727272725,2,1,1,2,1,106.80142857142857,0.5714285714285714,0.5194805194805194,-0.7272727272727275
2022,The Big Gronkowski,14,9,8.136363636363637,2,0,0,2,0,113.21714285714286,0.6428571428571429,0.5811688311688312,-0.8636363636363633
2022,Ginger FC,14,8,6.818181818181818,0,0,0,2,2,110.51,0.5714285714285714,0.487012987012987,-1.1818181818181817
2022,Big Sack Jack,14,10,8.272727272727273,1,0,0,2,0,112.99428571428572,0.7142857142857143,0.5909090909090909,-1.7272727272727266
2022,Post Mahomes,14,7,4.545454545454546,0,0,0,4,1,98.62285714285714,0.5,0.32467532467532473,-2.454545454545454
2023,Post Mahomes,14,8,10.09090909090909,4,0,0,1,0,119.40714285714286,0.5714285714285714,0.7207792207792207,2.09090909090909
2023,Pop Lockett Drop it,14,5,6.545454545454545,1,0,0,1,0,105.58428571428571,0.35714285714285715,0.4675324675324675,1.545454545454545
2023,Malle ❤️ 🐸,14,7,8.09090909090909,4,0,0,0,0,110.48428571428572,0.5,0.5779220779220778,1.09090909090909
2023,Patty Primetimes,14,5,6.0,1,0,0,2,1,102.88857142857144,0.35714285714285715,0.42857142857142855,1.0
2023,Uncle Rico,14,4,4.818181818181818,0,0,0,1,0,98.17142857142858,0.2857142857142857,0.34415584415584416,0.8181818181818183
2023,Voldemort,14,7,7.818181818181818,3,2,2,1,1,110.48857142857142,0.5,0.5584415584415584,0.8181818181818183
2023,Ginger FC,14,4,4.0,0,0,0,1,0,90.57857142857142,0.2857142857142857,0.2857142857142857,0.0
2023,The Big Gronkowski,14,7,7.0,2,0,0,1,0,110.90285714285714,0.5,0.5,0.0
2023,ThreatLevelMidnight,14,10,9.727272727272728,1,0,0,1,0,119.46142857142857,0.7142857142857143,0.6948051948051949,-0.2727272727272716
2023,Buttermilk Puuump,14,6,5.7272727272727275,1,0,0,2,0,102.17714285714285,0.42857142857142855,0.4090909090909091,-0.2727272727272725
2023,malle_dips_pouches,14,8,5.2727272727272725,1,0,0,5,3,99.73714285714286,0.5714285714285714,0.3766233766233766,-2.7272727272727275
2023,Joe Mantegna,14,13,8.909090909090908,0,0,0,2,1,117.12857142857142,0.9285714285714286,0.6363636363636364,-4.090909090909092
2024,Voldemort,14,4,6.2727272727272725,3,0,0,1,0,107.68857142857144,0.2857142857142857,0.44805194805194803,2.2727272727272725
2024,Ginger FC,14,4,5.818181818181818,2,0,0,1,0,103.01571428571428,0.2857142857142857,0.4155844155844156,1.8181818181818183
2024,Buttermilk Puuump,14,5,6.181818181818182,1,1,1,1,1,103.01714285714286,0.35714285714285715,0.44155844155844154,1.1818181818181817
2024,Pop Lockett Drop it,14,6,7.181818181818182,2,2,2,1,0,111.45142857142856,0.42857142857142855,0.512987012987013,1.1818181818181817
2024,Joe Mantegna,14,5,5.545454545454545,1,0,0,2,0,100.61285714285714,0.35714285714285715,0.39610389610389607,0.545454545454545
2024,Uncle Rico,14,6,6.272727272727273,2,0,0,1,1,106.16,0.42857142857142855,0.4480519480519481,0.2727272727272734
2024,Patty Primetimes,14,8,7.636363636363637,2,0,0,2,0,113.27142857142857,0.5714285714285714,0.5454545454545455,-0.3636363636363633
2024,ThreatLevelMidnight,14,9,8.181818181818182,1,1,1,1,0,112.88714285714286,0.6428571428571429,0.5844155844155844,-0.8181818181818183
2024,Post Mahomes,14,10,9.045454545454545,0,0,0,2,0,121.23,0.7142857142857143,0.6461038961038961,-0.954545454545455
2024,malle_dips_pouches,14,8,7.0,3,0,0,3,2,109.71142857142857,0.5714285714285714,0.5,-1.0
2024,The Big Gronkowski,14,9,7.363636363636363,1,0,0,1,0,106.70428571428572,0.6428571428571429,0.525974025974026,-1.6363636363636367
2024,Malle ❤️ 🐸,14,10,7.5,1,0,0,3,1,109.33857142857143,0.7142857142857143,0.5357142857142857,-2.5
2025,Buttermilk Puuump,14,4,6.363636363636363,2,0,0,0,0,105.37,0.2857142857142857,0.45454545454545453,2.3636363636363633
2025,Malle ❤️ 🐸,14,3,4.2727272727272725,2,0,0,2,1,94.83714285714287,0.21428571428571427,0.3051948051948052,1.2727272727272725
2025,The Big Gronkowski,14,4,5.181818181818182,1,0,0,1,0,99.00285714285714,0.2857142857142857,0.37012987012987014,1.1818181818181817
2025,Uncle Rico,14,7,8.181818181818182,0,0,0,1,0,115.20714285714287,0.5,0.5844155844155844,1.1818181818181817
2025,Pop Lockett Drop it,14,8,8.363636363636363,1,0,0,0,0,114.48,0.5714285714285714,0.5974025974025974,0.3636363636363633
2025,Post Mahomes,14,9,9.363636363636363,4,0,0,0,0,119.68142857142857,0.6428571428571429,0.6688311688311688,0.3636363636363633
2025,ThreatLevelMidnight,14,9,9.363636363636363,3,1,1,0,0,117.74142857142856,0.6428571428571429,0.6688311688311688,0.3636363636363633
2025,Voldemort,14,6,6.181818181818182,3,0,0,3,0,100.14285714285714,0.42857142857142855,0.44155844155844154,0.18181818181818166
2025,Joe Mantegna,14,6,5.818181818181818,1,0,0,1,1,104.17714285714285,0.42857142857142855,0.4155844155844156,-0.18181818181818166
2025,Ginger FC,14,10,8.09090909090909,2,0,0,3,1,111.31142857142856,0.7142857142857143,0.5779220779220778,-1.90909090909091
2025,malle_dips_pouches,14,6,3.6363636363636362,0,0,0,5,1,91.84571428571428,0.42857142857142855,0.2597402597402597,-2.3636363636363638
2025,Patty Primetimes,14,12,9.181818181818182,0,0,0,3,0,117.55714285714285,0.8571428571428571,0.6558441558441558,-2.8181818181818183
