year,week,fantasy_team,opponent,team_score,opponent_score,margin,result,win,starting_qb,qb_nfl_team,qb_points,starting_qb_count,starting_wrs,starting_wr_count,starting_wr_points,stack_pairs,stack_nfl_teams,stacked_wr_count,stacked_wr_points,has_qb_wr_stack,team_avg_score,score_vs_team_average,season_team_avg_score,score_vs_season_team_average,season_score_percentile,top_quartile_score,canonical_team
2018,3,Pop Lockett Drop it,Ginger FC 🏆🏆,127.26,56.9,70.36000000000001,W,1,Matt Ryan,ATL,50.16,1,Golden Tate | Nelson Agholor | Odell Beckham Jr.,3,20.2,,,0,0.0,False,108.5572972972973,18.70270270270271,113.86153846153846,13.398461538461547,0.9166666666666666,True,Pop Lockett Drop it
2018,3,Post Mahomes,malle_dips_pouches,72.76,93.16,-20.39999999999999,L,0,Andrew Luck,IND,15.86,1,Kenny Golladay | T.Y. Hilton,2,16.3,Andrew Luck + T.Y. Hilton,IND,1,5.0,True,111.91063063063064,-39.15063063063063,111.17384615384616,-38.41384615384615,0.057692307692307696,False,Post Mahomes
2018,3,The Big Gronkowski,Joe Mantegna,87.74,108.16,-20.42,L,0,Philip Rivers,LAC,21.04,1,Brandin Cooks | JuJu Smith-Schuster,2,20.6,,,0,0.0,False,106.0845045045045,-18.3445045045045,97.10769230769232,-9.367692307692323,0.21794871794871795,False,The Big Gronkowski
2018,3,ThreatLevelMidnight,Uncle Rico,98.84,86.6,12.240000000000009,W,1,Kirk Cousins,MIN,13.04,1,Adam Thielen | John Brown | Will Fuller V,3,35.2,Kirk Cousins + Adam Thielen,MIN,1,10.5,True,110.93585585585585,-12.095855855855845,104.14,-5.299999999999997,0.48717948717948717,False,ThreatLevelMidnight
2018,3,Uncle Rico,ThreatLevelMidnight,86.6,98.84,-12.240000000000009,L,0,Aaron Rodgers,GB,23.9,1,Chris Hogan | Keenan Allen | Kenny Stills,3,17.6,,,0,0.0,False,104.54612612612614,-17.946126126126146,96.79076923076923,-10.190769230769234,0.1794871794871795,False,Uncle Rico
2018,3,Voldemort,Malle ❤️ 🐸,82.22,96.5,-14.280000000000001,L,0,Tom Brady,NE,10.52,1,DeSean Jackson | Stefon Diggs,2,5.4,,,0,0.0,False,111.55117117117118,-29.331171171171178,102.02461538461537,-19.804615384615374,0.1282051282051282,False,Voldemort
2018,3,malle_dips_pouches,Post Mahomes,93.16,72.76,20.39999999999999,W,1,Jared Goff,LA,32.56,1,Amari Cooper | Davante Adams,2,12.899999999999999,,,0,0.0,False,102.96270270270271,-9.802702702702717,104.62923076923077,-11.469230769230776,0.3108974358974359,False,malle_dips_pouches
2018,4,Big Sack Jack,ThreatLevelMidnight,130.98,154.38,-23.400000000000006,L,0,Matthew Stafford,DET,24.78,1,Jarvis Landry | Robert Woods | Tyreek Hill,3,31.1,,,0,0.0,False,105.14716417910448,25.83283582089551,106.34153846153846,24.638461538461527,0.9294871794871795,True,Big Sack Jack
2018,4,Dillon Panthers,The Big Gronkowski,93.18,98.5,-5.319999999999993,L,0,Drew Brees,NO,8.58,1,A.J. Green | Antonio Brown | Emmanuel Sanders,3,32.3,,,0,0.0,False,101.96615384615384,-8.786153846153837,101.96615384615384,-8.786153846153837,0.32051282051282054,False,Dillon Panthers
2018,4,Ginger FC 🏆🏆,Post Mahomes,110.52,152.36,-41.84000000000002,L,0,Carson Wentz,PHI,24.72,1,Antonio Callaway | DeAndre Hopkins | Geronimo Allison,3,36.3,,,0,0.0,False,103.91405405405405,6.6059459459459475,91.21846153846153,19.30153846153847,0.7051282051282052,False,Ginger FC 🏆🏆
2018,4,Joe Mantegna,Malle ❤️ 🐸,131.56,77.46,54.10000000000001,W,1,Patrick Mahomes,KC,24.86,1,Corey Davis | Julio Jones | Keelan Cole Sr.,3,40.900000000000006,,,0,0.0,False,105.7209009009009,25.8390990990991,104.84461538461538,26.71538461538462,0.9358974358974359,True,Joe Mantegna
2018,4,Malle ❤️ 🐸,Joe Mantegna,77.46,131.56,-54.10000000000001,L,0,Ben Roethlisberger,PIT,17.86,1,Allen Robinson | Mike Evans,2,14.200000000000001,,,0,0.0,False,104.92054054054054,-27.46054054054055,92.8876923076923,-15.427692307692311,0.07692307692307693,False,Malle ❤️ 🐸
2018,4,Pop Lockett Drop it,Uncle Rico,158.96,84.62,74.34,W,1,Matt Ryan,ATL,35.26,1,Golden Tate | Odell Beckham Jr.,2,32.2,,,0,0.0,False,108.5572972972973,50.40270270270271,113.86153846153846,45.09846153846155,1.0,True,Pop Lockett Drop it
2018,4,Post Mahomes,Ginger FC 🏆🏆,152.36,110.52,41.84000000000002,W,1,Andrew Luck,IND,43.66,1,Kenny Golladay | T.Y. Hilton,2,18.9,Andrew Luck + T.Y. Hilton,IND,1,11.5,True,111.91063063063064,40.44936936936938,111.17384615384616,41.18615384615386,0.9807692307692307,True,Post Mahomes
2018,4,The Big Gronkowski,Dillon Panthers,98.5,93.18,5.319999999999993,W,1,Philip Rivers,LAC,28.7,1,Brandin Cooks | Calvin Ridley | JuJu Smith-Schuster,3,42.1,,,0,0.0,False,106.0845045045045,-7.584504504504494,97.10769230769232,1.392307692307682,0.44871794871794873,False,The Big Gronkowski
2018,4,ThreatLevelMidnight,Big Sack Jack,154.38,130.98,23.400000000000006,W,1,Kirk Cousins,MIN,37.68,1,Adam Thielen | John Brown | Will Fuller V,3,48.3,Kirk Cousins + Adam Thielen,MIN,1,19.5,True,110.93585585585585,43.44414414414415,104.14,50.239999999999995,0.9935897435897436,True,ThreatLevelMidnight
2018,4,Uncle Rico,Pop Lockett Drop it,84.62,158.96,-74.34,L,0,Aaron Rodgers,GB,18.02,1,Keenan Allen | Kenny Stills | Tyler Boyd,3,20.3,,,0,0.0,False,104.54612612612614,-19.926126126126135,96.79076923076923,-12.170769230769224,0.16666666666666666,False,Uncle Rico
2018,4,Voldemort,malle_dips_pouches,93.16,112.2,-19.040000000000006,L,0,Tom Brady,NE,26.96,1,Demaryius Thomas | Stefon Diggs,2,14.700000000000001,,,0,0.0,False,111.55117117117118,-18.39117117117118,102.02461538461537,-8.864615384615377,0.3108974358974359,False,Voldemort
2018,4,malle_dips_pouches,Voldemort,112.2,93.16,19.040000000000006,W,1,Jared Goff,LA,49.3,1,Amari Cooper | Davante Adams,2,26.9,,,0,0.0,False,102.96270270270271,9.237297297297289,104.62923076923077,7.57076923076923,0.7564102564102564,True,malle_dips_pouches
2018,5,Big Sack Jack,Pop Lockett Drop it,102.22,100.88,1.3400000000000034,W,1,Matthew Stafford,DET,19.22,1,Jarvis Landry | Robert Woods | Tyreek Hill,3,30.1,,,0,0.0,False,105.14716417910448,-2.92716417910448,106.34153846153846,-4.121538461538464,0.5576923076923077,False,Big Sack Jack
2018,5,Dillon Panthers,Malle ❤️ 🐸,108.52,100.6,7.920000000000002,W,1,Drew Brees,NO,32.72,1,A.J. Green | Antonio Brown,2,33.3,,,0,0.0,False,101.96615384615384,6.553846153846152,101.96615384615384,6.553846153846152,0.6858974358974359,False,Dillon Panthers
2018,5,Ginger FC 🏆🏆,malle_dips_pouches,88.24,95.54,-7.300000000000011,L,0,Carson Wentz,PHI,25.04,1,DeAndre Hopkins | Devin Funchess,2,18.4,,,0,0.0,False,103.91405405405405,-15.674054054054054,91.21846153846153,-2.9784615384615307,0.22756410256410256,False,Ginger FC 🏆🏆
2018,5,Joe Mantegna,Voldemort,100.92,122.04,-21.120000000000005,L,0,Patrick Mahomes,KC,17.82,1,Corey Davis | Julio Jones | Keelan Cole Sr.,3,18.1,,,0,0.0,False,105.7209009009009,-4.800900900900899,104.84461538461538,-3.924615384615379,0.5256410256410257,False,Joe Mantegna
2018,5,Malle ❤️ 🐸,Dillon Panthers,100.6,108.52,-7.920000000000002,L,0,Ben Roethlisberger,PIT,28.6,1,Alshon Jeffery | Sterling Shepard,2,11.4,,,0,0.0,False,104.92054054054054,-4.320540540540549,92.8876923076923,7.712307692307689,0.5064102564102564,False,Malle ❤️ 🐸
2018,5,Pop Lockett Drop it,Big Sack Jack,100.88,102.22,-1.3400000000000034,L,0,Matt Ryan,ATL,16.4,1,Golden Tate | Odell Beckham Jr.,2,29.58,,,0,0.0,False,108.5572972972973,-7.677297297297301,113.86153846153846,-12.981538461538463,0.5192307692307693,False,Pop Lockett Drop it
2018,5,Post Mahomes,Uncle Rico,114.6,94.98,19.61999999999999,W,1,Andrew Luck,IND,30.6,1,Kenny Golladay,1,15.8,,,0,0.0,False,111.91063063063064,2.689369369369359,111.17384615384616,3.426153846153838,0.7692307692307693,True,Post Mahomes
2018,5,The Big Gronkowski,ThreatLevelMidnight,93.86,86.94,6.920000000000002,W,1,Philip Rivers,LAC,25.36,1,Brandin Cooks | Calvin Ridley | JuJu Smith-Schuster,3,13.200000000000001,,,0,0.0,False,106.0845045045045,-12.224504504504495,97.10769230769232,-3.2476923076923185,0.3333333333333333,False,The Big Gronkowski
2018,5,ThreatLevelMidnight,The Big Gronkowski,86.94,93.86,-6.920000000000002,L,0,Kirk Cousins,MIN,16.14,1,Adam Thielen | John Brown | Will Fuller V,3,24.900000000000002,Kirk Cousins + Adam Thielen,MIN,1,17.6,True,110.93585585585585,-23.99585585585585,104.14,-17.200000000000003,0.1987179487179487,False,ThreatLevelMidnight
2018,5,Uncle Rico,Post Mahomes,94.98,114.6,-19.61999999999999,L,0,Aaron Rodgers,GB,34.68,1,Doug Baldwin | Keenan Allen | Tyler Boyd,3,14.0,,,0,0.0,False,104.54612612612614,-9.566126126126136,96.79076923076923,-1.8107692307692247,0.3525641025641026,False,Uncle Rico
2018,5,Voldemort,Joe Mantegna,122.04,100.92,21.120000000000005,W,1,Tom Brady,NE,35.54,1,Julian Edelman | Stefon Diggs,2,17.3,Tom Brady + Julian Edelman,NE,1,5.7,True,111.55117117117118,10.48882882882883,102.02461538461537,20.015384615384633,0.8589743589743589,True,Voldemort
2018,5,malle_dips_pouches,Ginger FC 🏆🏆,95.54,88.24,7.300000000000011,W,1,Jared Goff,LA,18.34,1,Amari Cooper | Cooper Kupp | Davante Adams,3,36.0,Jared Goff + Cooper Kupp,LA,1,15.0,True,102.96270270270271,-7.422702702702708,104.62923076923077,-9.089230769230767,0.3782051282051282,False,malle_dips_pouches
2018,6,Big Sack Jack,Post Mahomes,122.68,118.9,3.780000000000001,W,1,Derek Carr,OAK,4.78,1,Jarvis Landry | Robert Woods | Tyreek Hill,3,45.400000000000006,,,0,0.0,False,105.14716417910448,17.532835820895528,106.34153846153846,16.338461538461544,0.8782051282051282,True,Big Sack Jack
2018,6,Dillon Panthers,Voldemort,106.52,95.7,10.819999999999993,W,1,Joe Flacco,BAL,14.92,1,A.J. Green | Antonio Brown | Emmanuel Sanders,3,42.5,,,0,0.0,False,101.96615384615384,4.553846153846152,101.96615384615384,4.553846153846152,0.6346153846153846,False,Dillon Panthers
2018,6,Ginger FC 🏆🏆,Uncle Rico,81.08,124.1,-43.019999999999996,L,0,Russell Wilson,SEA,27.88,1,DeAndre Hopkins | Devin Funchess,2,25.700000000000003,,,0,0.0,False,103.91405405405405,-22.83405405405405,91.21846153846153,-10.138461538461527,0.11858974358974358,False,Ginger FC 🏆🏆
2018,6,Joe Mantegna,malle_dips_pouches,116.08,70.24,45.84,W,1,Patrick Mahomes,KC,36.98,1,Corey Davis | Julio Jones | Keelan Cole Sr.,3,18.900000000000002,,,0,0.0,False,105.7209009009009,10.359099099099097,104.84461538461538,11.235384615384618,0.7756410256410257,True,Joe Mantegna
2018,6,Malle ❤️ 🐸,ThreatLevelMidnight,95.06,92.92,2.1400000000000006,W,1,Ben Roethlisberger,PIT,22.56,1,Alshon Jeffery | Mike Evans | Sterling Shepard,3,28.9,,,0,0.0,False,104.92054054054054,-9.86054054054054,92.8876923076923,2.1723076923076974,0.358974358974359,False,Malle ❤️ 🐸
2018,6,Pop Lockett Drop it,The Big Gronkowski,125.6,88.58,37.019999999999996,W,1,Matt Ryan,ATL,33.5,1,Odell Beckham Jr. | Robbie Chosen,2,8.3,,,0,0.0,False,108.5572972972973,17.042702702702698,113.86153846153846,11.738461538461536,0.9038461538461539,True,Pop Lockett Drop it
2018,6,Post Mahomes,Big Sack Jack,118.9,122.68,-3.780000000000001,L,0,Cam Newton,CAR,28.3,1,Allen Robinson | Sammy Watkins,2,14.1,,,0,0.0,False,111.91063063063064,6.989369369369371,111.17384615384616,7.726153846153849,0.8012820512820513,True,Post Mahomes
2018,6,The Big Gronkowski,Pop Lockett Drop it,88.58,125.6,-37.019999999999996,L,0,Philip Rivers,LAC,19.28,1,Brandin Cooks | Calvin Ridley | JuJu Smith-Schuster,3,23.099999999999998,,,0,0.0,False,106.0845045045045,-17.504504504504496,97.10769230769232,-8.52769230769232,0.23717948717948717,False,The Big Gronkowski
2018,6,ThreatLevelMidnight,Malle ❤️ 🐸,92.92,95.06,-2.1400000000000006,L,0,Kirk Cousins,MIN,19.62,1,Adam Thielen | John Brown | Will Fuller V,3,24.400000000000002,Kirk Cousins + Adam Thielen,MIN,1,18.3,True,110.93585585585585,-18.015855855855847,104.14,-11.219999999999999,0.2948717948717949,False,ThreatLevelMidnight
