player,player_position,missed_start_count,total_fantasy_points,avg_fantasy_points,max_fantasy_points
Parker Washington,WR,3,46.5,15.5,16.8
Jordy Nelson,WR,3,46.400000000000006,15.466666666666669,23.3
Cam Skattebo,RB,3,46.0,15.333333333333334,21.1
Quentin Johnston,WR,3,45.0,15.0,19.8
Evan McPherson,K,3,44.0,14.666666666666666,24.0
LeGarrette Blount,RB,3,43.0,14.333333333333334,22.3
Keelan Cole Sr.,WR,3,42.2,14.066666666666668,19.2
Rashaad Penny,RB,3,40.1,13.366666666666667,22.7
Breece Hall,RB,3,39.9,13.299999999999999,15.2
Trey Burton,TE,3,39.8,13.266666666666666,18.6
Commanders,DEF,3,37.0,12.333333333333334,17.0
Cade Otton,TE,3,36.5,12.166666666666666,15.3
Trey McBride,TE,3,36.0,12.0,18.9
Damien Williams,RB,3,35.8,11.933333333333332,18.8
O.J. Howard,TE,3,35.6,11.866666666666667,15.6
Miles Sanders,RB,3,35.5,11.833333333333334,17.5
Dameon Pierce,RB,3,35.4,11.799999999999999,17.1
Tevin Coleman,RB,3,35.0,11.666666666666666,15.7
Corey Clement,RB,3,34.8,11.6,14.5
RJ Harvey,RB,3,34.8,11.6,17.8
Kenny Stills,WR,3,34.300000000000004,11.433333333333335,22.6
Zay Jones,WR,3,34.1,11.366666666666667,14.0
Isaiah McKenzie,WR,3,34.099999999999994,11.366666666666665,17.7
Packers,DEF,3,34.0,11.333333333333334,12.0
Xavier Worthy,WR,3,33.7,11.233333333333334,14.8
Treylon Burks,WR,3,33.1,11.033333333333333,15.0
Alshon Jeffery,WR,3,33.0,11.0,19.7
Matthew Golden,WR,3,33.0,11.0,12.5
Tyler Warren,TE,3,32.5,10.833333333333334,15.8
Laviska Shenault Jr.,WR,3,32.2,10.733333333333334,14.0
Anthony Miller,WR,3,31.1,10.366666666666667,15.6
David Moore,WR,3,30.0,10.0,15.1
Carlos Hyde,RB,3,29.5,9.833333333333334,12.0
Jacory Croskey-Merritt,RB,3,29.5,9.833333333333334,14.2
Randall Cobb,WR,3,28.7,9.566666666666666,20.2
Michael Crabtree,WR,3,28.0,9.333333333333334,15.3
Jayden Reed,WR,3,27.9,9.299999999999999,16.5
Chris Thompson,RB,3,27.2,9.066666666666666,10.8
Dion Lewis,RB,3,26.9,8.966666666666667,18.2
Marvin Harrison Jr.,WR,3,26.5,8.833333333333334,13.0
Juwan Johnson,TE,3,26.3,8.766666666666667,12.9
Jaguars,DEF,3,26.0,8.666666666666666,17.0
A.J. Green,WR,3,25.299999999999997,8.433333333333332,13.6
Frank Gore,RB,3,24.5,8.166666666666666,10.2
Giovani Bernard,RB,3,22.700000000000003,7.566666666666667,18.1
Jets,DEF,3,22.0,7.333333333333333,9.0
Quincy Enunwa,WR,3,21.5,7.166666666666667,9.2
Darren Waller,TE,3,21.1,7.033333333333334,14.1
Robert Tonyan,TE,3,20.2,6.733333333333333,9.2
Ka'imi Fairbairn,K,3,20.0,6.666666666666667,12.0
Chris Ivory,RB,3,19.4,6.466666666666666,10.6
Geronimo Allison,WR,3,19.2,6.3999999999999995,11.9
Tre Tucker,WR,3,19.1,6.366666666666667,9.5
Dawson Knox,TE,3,14.9,4.966666666666667,8.5
Jacoby Brissett,QB,2,59.68,29.84,35.64
Kyle Allen,QB,2,57.46,28.73,29.14
Daniel Jones,QB,2,54.44,27.22,35.74
Justin Herbert,QB,2,47.72,23.86,35.36
Cordarrelle Patterson,WR,2,45.3,22.65,32.1
Andy Dalton,QB,2,43.239999999999995,21.619999999999997,22.08
