year,canonical_team,rated_picks,avg_draft_value,median_draft_value,total_draft_value,avg_actual_percentile,avg_expected_percentile,steals,elite_steals,busts,major_busts,avg_capture_rate,steal_rate,bust_rate,net_hits,draft_class_rank
2018,Dillon Panthers,13,11.814269686281172,17.812479145812475,153.58550592165523,73.64794464794464,61.833674961663476,3,1,1,0,1.0,0.23076923076923078,0.07692307692307693,2,1
2018,Ginger FC,13,-19.827579320310118,-19.013781223083555,-257.7585311640315,41.793854293854295,61.62143361416441,0,0,4,2,0.7550225632904607,0.0,0.3076923076923077,-4,12
2018,Joe Mantegna,12,9.075966669538266,6.529739813739049,108.91160003445918,70.86111111111111,61.78514444157284,3,3,2,0,0.897627724814232,0.25,0.16666666666666666,1,2
2018,Malle ❤️ 🐸,12,7.222354582306789,6.580357142857146,86.66825498768146,71.33201058201058,64.10965599970379,1,0,0,0,0.8094740404526019,0.08333333333333333,0.0,1,4
2018,Pop Lockett Drop it,13,-0.21946567438993506,-1.4761904761904816,-2.853053767069156,63.4029304029304,63.62239607732034,1,1,2,1,0.922290231510369,0.07692307692307693,0.15384615384615385,-1,6
2018,Post Mahomes,13,0.02234762893857414,4.761904761904773,0.29051917620146384,62.221001221001224,62.19865359206264,3,0,3,1,0.8194859285560027,0.23076923076923078,0.23076923076923078,0,5
2018,The Big Gronkowski,13,-5.58086326360294,-0.6104951958610414,-72.55122242683822,57.88726088726089,63.46812415086382,1,0,3,1,0.8644963427582335,0.07692307692307693,0.23076923076923078,-2,8
2018,ThreatLevelMidnight,13,-11.023664505592762,-14.193798449612402,-143.3076385727059,51.58180708180708,62.60547158739985,0,0,3,1,0.7450609565639558,0.0,0.23076923076923078,-3,11
2018,Uncle Rico,13,-0.8619904606270017,5.641025641025642,-11.205875988151021,61.529914529914535,62.39190499054153,2,0,3,0,0.869676877362724,0.15384615384615385,0.23076923076923078,-1,7
2018,Voldemort,12,-10.552220672934059,-1.163941480206546,-126.6266480752087,53.778880070546734,64.3311007434808,2,0,3,2,0.8228436710108867,0.16666666666666666,0.25,-1,10
2018,malle_dips_pouches,13,-7.272699019392854,-6.745098039215684,-94.5450872521071,55.949938949938954,63.22263796933181,1,0,2,1,0.9654869844983913,0.07692307692307693,0.15384615384615385,-1,9
2019,Big Sack Jack,13,-5.23941458875064,-5.128205128205117,-68.11238965375833,56.471284371736864,61.710698960487505,0,0,3,0,0.9736669580419581,0.0,0.23076923076923078,-3,10
2019,Ginger FC,12,-1.6254637757155603,-1.0712655235981856,-19.505565308586725,61.161639014580196,62.787102790295755,1,1,2,0,0.7540187964979359,0.08333333333333333,0.16666666666666666,-1,6
2019,Joe Mantegna,11,-1.6303042342555107,3.252458108295258,-17.933346576810617,62.93226381461675,64.56256804887227,1,0,2,0,0.906336030261637,0.09090909090909091,0.18181818181818182,-1,7
2019,Malle ❤️ 🐸,13,-0.35676035055370814,1.5974208017942289,-4.6378845571982055,61.932822833275324,62.28958318382903,2,1,2,1,0.8849275724275725,0.15384615384615385,0.15384615384615385,0,5
2019,Patty Primetimes,13,3.1894171317818305,5.4600301659124995,41.4624227131638,65.23587423134934,62.04645709956752,3,2,3,1,0.9240030973287988,0.23076923076923078,0.23076923076923078,0,3
2019,Pop Lockett Drop it,12,12.910541395361491,14.007715053692074,154.9264967443379,76.51533433886375,63.60479294350227,2,1,0,0,0.8646789765454389,0.16666666666666666,0.0,2,1
2019,Post Mahomes,13,-3.3837781777386207,-10.102296077905834,-43.98911631060207,59.11184592180067,62.49562409953929,3,0,2,1,0.6913482452724947,0.23076923076923078,0.15384615384615385,1,9
2019,The Big Gronkowski,13,1.8971207520152984,11.052166224580013,24.66256977619888,62.670147348880384,60.77302659686508,1,0,2,1,0.800829004777803,0.07692307692307693,0.15384615384615385,-1,4
