year,team,actual_wins,actual_losses,actual_ties,games,average_schedule_wins,best_schedule_wins,worst_schedule_wins,schedule_win_std,schedules_tested,actual_win_equivalent,schedule_luck,schedule_range,best_schedule_team,best_schedule_record_wins,worst_schedule_team,worst_schedule_record_wins,schedule_luck_rank,schedule_difficulty_rank
2020,Uncle Rico,8.0,5.0,0.0,13,5.916666666666667,8.0,3.0,1.3113721705515067,12,8.0,2.083333333333333,5.0,Uncle Rico,8.0,ThreatLevelMidnight,3.0,1,12
2020,Voldemort,9.0,4.0,0.0,13,8.083333333333334,10.0,5.0,1.4433756729740643,12,9.0,0.9166666666666661,5.0,Pop Lockett Drop it,10.0,ThreatLevelMidnight,5.0,5,8
2020,malle_dips_pouches,5.0,8.0,0.0,13,5.666666666666667,9.0,2.0,2.1461734799546393,12,5.0,-0.666666666666667,7.0,Post Mahomes,9.0,ThreatLevelMidnight,2.0,8,5
2021,Big Sack Jack,3.0,11.0,0.0,14,4.833333333333333,8.0,2.0,1.8504708655481241,12,3.0,-1.833333333333333,6.0,Malle ❤️ 🐸,8.0,Ginger FC,2.0,9,4
2021,Ginger FC,5.0,9.0,0.0,14,7.333333333333333,9.0,5.0,1.3706888336846839,12,5.0,-2.333333333333333,4.0,Joe Mantegna,9.0,Ginger FC,5.0,12,1
2021,Joe Mantegna,9.0,5.0,0.0,14,7.333333333333333,10.0,5.0,1.6143297699232975,12,9.0,1.666666666666667,5.0,Malle ❤️ 🐸,10.0,Big Sack Jack,5.0,3,10
2021,Malle ❤️ 🐸,11.0,3.0,0.0,14,7.916666666666667,11.0,5.0,2.0652243256245835,12,11.0,3.083333333333333,6.0,Malle ❤️ 🐸,11.0,The Big Gronkowski,5.0,1,12
2021,Patty Primetimes,6.0,8.0,0.0,14,6.083333333333333,9.0,3.0,1.8809249819912508,12,6.0,-0.08333333333333304,6.0,Joe Mantegna,9.0,malle_dips_pouches,3.0,7,6
2021,Pop Lockett Drop it,7.0,7.0,0.0,14,5.666666666666667,8.0,3.0,1.3706888336846839,12,7.0,1.333333333333333,5.0,Malle ❤️ 🐸,8.0,ThreatLevelMidnight,3.0,4,9
2021,Post Mahomes,8.0,6.0,0.0,14,7.5,10.0,4.0,2.0225995873897262,12,8.0,0.5,6.0,Malle ❤️ 🐸,10.0,Uncle Rico,4.0,5,8
2021,The Big Gronkowski,7.0,7.0,0.0,14,9.25,11.0,7.0,1.3568010505999362,12,7.0,-2.25,4.0,Malle ❤️ 🐸,11.0,The Big Gronkowski,7.0,11,2
2021,ThreatLevelMidnight,11.0,3.0,0.0,14,8.333333333333334,11.0,5.0,2.015094553763188,12,11.0,2.666666666666666,6.0,Malle ❤️ 🐸,11.0,Ginger FC,5.0,2,11
2021,Uncle Rico,4.0,10.0,0.0,14,6.0,8.0,4.0,1.2792042981336627,12,4.0,-2.0,4.0,Joe Mantegna,8.0,Ginger FC,4.0,10,3
2021,Voldemort,9.0,5.0,0.0,14,8.75,12.0,7.0,1.602554778527654,12,9.0,0.25,5.0,Malle ❤️ 🐸,12.0,Big Sack Jack,7.0,6,7
2021,malle_dips_pouches,4.0,10.0,0.0,14,5.0,8.0,3.0,1.8586407545691706,12,4.0,-1.0,5.0,Joe Mantegna,8.0,Ginger FC,3.0,8,5
2022,Big Sack Jack,10.0,4.0,0.0,14,8.416666666666666,10.0,5.0,1.6764862244009224,12,10.0,1.583333333333334,5.0,Big Sack Jack,10.0,Uncle Rico,5.0,2,11
2022,Ginger FC,8.0,6.0,0.0,14,6.916666666666667,9.0,4.0,1.5050420310248867,12,8.0,1.083333333333333,5.0,Joe Mantegna,9.0,Uncle Rico,4.0,3,10
2022,Joe Mantegna,8.0,6.0,0.0,14,7.416666666666667,10.0,4.0,1.8809249819912512,12,8.0,0.583333333333333,6.0,Big Sack Jack,10.0,Uncle Rico,4.0,6,7
2022,Malle ❤️ 🐸,4.0,10.0,0.0,14,5.583333333333333,8.0,3.0,1.4433756729740643,12,4.0,-1.583333333333333,5.0,Big Sack Jack,8.0,Uncle Rico,3.0,11,2
2022,Patty Primetimes,3.0,11.0,0.0,14,4.5,8.0,1.0,1.834021909257456,12,3.0,-1.5,7.0,Big Sack Jack,8.0,Uncle Rico,1.0,10,3
2022,Pop Lockett Drop it,4.0,10.0,0.0,14,3.6666666666666665,5.0,2.0,0.7784989441615229,12,4.0,0.3333333333333335,3.0,ThreatLevelMidnight,5.0,Uncle Rico,2.0,7,6
2022,Post Mahomes,7.0,7.0,0.0,14,4.75,7.0,2.0,1.2880570286640685,12,7.0,2.25,5.0,Post Mahomes,7.0,Uncle Rico,2.0,1,12
2022,The Big Gronkowski,9.0,5.0,0.0,14,8.208333333333334,10.0,5.0,1.5293839124023607,12,9.0,0.7916666666666661,5.0,ThreatLevelMidnight,10.0,Uncle Rico,5.0,4,9
2022,ThreatLevelMidnight,8.0,6.0,0.0,14,7.333333333333333,9.0,5.0,1.2309149097933274,12,8.0,0.666666666666667,4.0,Big Sack Jack,9.0,Uncle Rico,5.0,5,8
2022,Uncle Rico,5.0,9.0,0.0,14,8.416666666666666,11.0,5.0,1.729862492345632,12,5.0,-3.416666666666666,6.0,Joe Mantegna,11.0,Uncle Rico,5.0,12,1
2022,Voldemort,10.0,4.0,0.0,14,10.208333333333334,13.0,7.0,1.5588214273688448,12,10.0,-0.20833333333333393,6.0,malle_dips_pouches,13.0,Uncle Rico,7.0,8,5
2022,malle_dips_pouches,8.0,6.0,0.0,14,8.583333333333334,10.0,6.0,1.1645001528813146,12,8.0,-0.5833333333333339,4.0,Patty Primetimes,10.0,Uncle Rico,6.0,9,4
2023,Buttermilk Puuump,6.0,8.0,0.0,14,5.75,8.0,2.0,1.9128750375000738,12,6.0,0.25,6.0,ThreatLevelMidnight,8.0,Voldemort,2.0,3,9
2023,Ginger FC,4.0,10.0,0.0,14,4.0,6.0,2.0,1.1281521496355327,12,4.0,0.0,4.0,Joe Mantegna,6.0,Patty Primetimes,2.0,5,7
2023,Joe Mantegna,13.0,1.0,0.0,14,9.25,13.0,5.0,2.2207697273283835,12,13.0,3.75,8.0,Joe Mantegna,13.0,malle_dips_pouches,5.0,1,12
2023,Malle ❤️ 🐸,7.0,7.0,0.0,14,8.0,11.0,5.0,1.7580981459830654,12,7.0,-1.0,6.0,Buttermilk Puuump,11.0,Voldemort,5.0,10,3
2023,Patty Primetimes,5.0,9.0,0.0,14,5.916666666666667,8.0,3.0,1.4433756729740645,12,5.0,-0.916666666666667,5.0,Joe Mantegna,8.0,Voldemort,3.0,9,4
2023,Pop Lockett Drop it,5.0,9.0,0.0,14,6.416666666666667,9.0,5.0,1.378954368902449,12,5.0,-1.416666666666667,4.0,Buttermilk Puuump,9.0,Pop Lockett Drop it,5.0,11,2
2023,Post Mahomes,8.0,6.0,0.0,14,9.916666666666666,12.0,8.0,1.443375672974064,12,8.0,-1.916666666666666,4.0,Buttermilk Puuump,12.0,Post Mahomes,8.0,12,1
2023,The Big Gronkowski,7.0,7.0,0.0,14,7.0,9.0,5.0,1.044465935734187,12,7.0,0.0,4.0,Joe Mantegna,9.0,malle_dips_pouches,5.0,5,7
2023,ThreatLevelMidnight,10.0,4.0,0.0,14,9.75,12.0,6.0,1.712255291076124,12,10.0,0.25,6.0,Patty Primetimes,12.0,Voldemort,6.0,3,9
2023,Uncle Rico,4.0,10.0,0.0,14,4.75,6.0,3.0,1.0552897060221726,12,4.0,-0.75,3.0,Buttermilk Puuump,6.0,Pop Lockett Drop it,3.0,7,5
2023,Voldemort,7.0,7.0,0.0,14,7.75,10.0,7.0,1.0552897060221724,12,7.0,-0.75,3.0,Ginger FC,10.0,Malle ❤️ 🐸,7.0,7,5
2023,malle_dips_pouches,8.0,6.0,0.0,14,5.5,9.0,2.0,2.195035721390843,12,8.0,2.5,7.0,Joe Mantegna,9.0,Pop Lockett Drop it,2.0,2,11
2024,Buttermilk Puuump,5.0,9.0,0.0,14,6.083333333333333,9.0,3.0,1.6213537179739277,12,5.0,-1.083333333333333,6.0,Patty Primetimes,9.0,Pop Lockett Drop it,3.0,9,3
2024,Ginger FC,4.0,10.0,0.0,14,5.666666666666667,8.0,4.0,1.3706888336846839,12,4.0,-1.666666666666667,4.0,The Big Gronkowski,8.0,Ginger FC,4.0,11,2
2024,Joe Mantegna,5.0,9.0,0.0,14,5.5,9.0,2.0,1.7837651700316892,12,5.0,-0.5,7.0,The Big Gronkowski,9.0,Pop Lockett Drop it,2.0,8,5
2024,Malle ❤️ 🐸,10.0,4.0,0.0,14,7.708333333333333,11.0,6.0,1.484133253839262,12,10.0,2.291666666666667,5.0,The Big Gronkowski,11.0,Pop Lockett Drop it,6.0,1,12
2024,Patty Primetimes,8.0,6.0,0.0,14,7.666666666666667,9.0,6.0,1.1547005383792515,12,8.0,0.33333333333333304,3.0,Ginger FC,9.0,ThreatLevelMidnight,6.0,6,7
2024,Pop Lockett Drop it,6.0,8.0,0.0,14,7.083333333333333,9.0,5.0,1.4433756729740645,12,6.0,-1.083333333333333,4.0,Buttermilk Puuump,9.0,Post Mahomes,5.0,9,3
2024,Post Mahomes,10.0,4.0,0.0,14,9.125,11.0,7.0,1.5094399924836668,12,10.0,0.875,4.0,Malle ❤️ 🐸,11.0,Joe Mantegna,7.0,4,9
