year,team,games,wins,points_for,points_against,losses,win_pct,points_per_game,scoring_rank,win_rank,actual_points,optimal_points,points_left_on_bench,avg_weekly_points_left,avoidable_starts,season_efficiency_pct,efficiency_rank,rated_picks,avg_draft_value,total_draft_value,steals,elite_steals,busts,major_busts,draft_class_rank,meaningful_acquisitions,avg_waiver_value,total_positive_value,good_rate,elite_finds,bust_rate,production_points,waiver_rank,is_champion,scoring_percentile,winning_percentile,efficiency_percentile,bench_management_percentile,draft_percentile,waiver_percentile
2017,Voldemort,13,9.0,1343.02,1164.22,4.0,0.6923076923076923,103.30923076923077,1,2,1343.02,1514.94,171.92,13.22,21,88.65,3,14,-15.560460357666711,-217.84644500733395,0,0,4,1,12,11.0,5.730648139739048,192.46020646020645,45.45454545454545,1.0,9.090909090909092,392.1,9.0,False,100.0,87.5,83.33333333333334,66.66666666666666,8.333333333333332,33.33333333333333
2017,malle_dips_pouches,13,7.0,1228.02,1106.42,6.0,0.5384615384615384,94.46307692307693,4,5,1228.02,1410.04,182.02,14.0,25,87.09,6,13,3.552986405174846,46.188823267272994,1,0,1,0,3,3.0,34.07342657342658,102.22027972027972,100.0,0.0,0.0,227.34,1.0,False,75.0,62.5,58.333333333333336,50.0,83.33333333333334,100.0
2018,Big Sack Jack,13,8.0,1382.44,1392.16,5.0,0.6153846153846154,106.34153846153846,3,2,1382.44,1580.88,198.44,15.26,25,87.45,7,13,7.672191394734373,99.73848813154684,1,0,0,0,3,,,,,,,,,False,83.33333333333334,87.5,50.0,33.33333333333333,83.33333333333334,
2018,Dillon Panthers,13,6.0,1325.56,1357.8799999999999,7.0,0.46153846153846156,101.96615384615384,8,7,1325.56,1465.72,140.16,10.78,26,90.44,3,13,11.814269686281172,153.58550592165523,3,1,1,0,1,,,,,,,,,False,41.66666666666667,41.66666666666667,83.33333333333334,91.66666666666666,100.0,
2018,Ginger FC,13,4.0,1185.84,1446.08,9.0,0.3076923076923077,91.21846153846153,12,10,1185.84,1339.94,154.1,11.85,21,88.5,5,13,-19.82757932031012,-257.7585311640315,0,0,4,2,12,,,,,,,,,False,8.333333333333332,16.666666666666664,66.66666666666666,66.66666666666666,8.333333333333332,
2018,Joe Mantegna,13,4.0,1362.98,1331.04,9.0,0.3076923076923077,104.84461538461538,4,10,1362.98,1650.08,287.1,22.08,33,82.6,12,12,9.075966669538266,108.91160003445918,3,3,2,0,2,,,,,,,,,False,75.0,16.666666666666664,8.333333333333332,8.333333333333332,91.66666666666666,
2018,Malle ❤️ 🐸,13,4.0,1207.54,1364.8400000000001,9.0,0.3076923076923077,92.8876923076923,11,10,1207.54,1409.88,202.34,15.56,31,85.65,11,12,7.222354582306789,86.66825498768146,1,0,0,0,4,,,,,,,,,False,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,75.0,
2018,Pop Lockett Drop it,13,8.0,1480.2,1358.9,5.0,0.6153846153846154,113.86153846153846,1,2,1480.2,1535.8,55.6,4.28,14,96.38,1,13,-0.219465674389935,-2.853053767069156,1,1,2,1,6,,,,,,,,,True,100.0,87.5,100.0,100.0,58.333333333333336,
2018,Post Mahomes,13,6.0,1445.26,1344.48,7.0,0.46153846153846156,111.17384615384616,2,7,1445.26,1593.62,148.36,11.41,19,90.69,2,13,0.0223476289385741,0.2905191762014638,3,0,3,1,5,,,,,,,,,False,91.66666666666666,41.66666666666667,91.66666666666666,75.0,66.66666666666666,
2018,The Big Gronkowski,13,7.0,1262.4,1301.6,6.0,0.5384615384615384,97.10769230769232,9,4,1262.4,1455.06,192.66,14.82,24,86.76,9,13,-5.58086326360294,-72.55122242683822,1,0,3,1,8,,,,,,,,,False,33.33333333333333,66.66666666666666,33.33333333333333,41.66666666666667,41.66666666666667,
