year,team,schedule_team,wins,losses,ties,games,win_equivalent,is_actual_schedule
2017,Voldemort,Joe Mantegna,10.0,3.0,0.0,13,10.0,False
2017,Voldemort,Malle ❤️ 🐸,8.0,5.0,0.0,13,8.0,False
2017,Voldemort,Pop Lockett Drop it,9.0,4.0,0.0,13,9.0,False
2017,Voldemort,Post Mahomes,10.0,3.0,0.0,13,10.0,False
2017,Voldemort,The Big Gronkowski,9.0,4.0,0.0,13,9.0,False
2017,Voldemort,ThreatLevelMidnight,8.0,5.0,0.0,13,8.0,False
2017,Voldemort,Voldemort,9.0,4.0,0.0,13,9.0,True
2017,Voldemort,malle_dips_pouches,11.0,2.0,0.0,13,11.0,False
2017,malle_dips_pouches,Big Sack Jack,9.0,4.0,0.0,13,9.0,False
2017,malle_dips_pouches,Dillon Panthers,7.0,6.0,0.0,13,7.0,False
2017,malle_dips_pouches,Ginger FC,8.0,5.0,0.0,13,8.0,False
2017,malle_dips_pouches,Hello Harvard,8.0,5.0,0.0,13,8.0,False
2017,malle_dips_pouches,Joe Mantegna,8.0,5.0,0.0,13,8.0,False
2017,malle_dips_pouches,Malle ❤️ 🐸,6.0,7.0,0.0,13,6.0,False
2017,malle_dips_pouches,Pop Lockett Drop it,8.0,5.0,0.0,13,8.0,False
2017,malle_dips_pouches,Post Mahomes,5.0,8.0,0.0,13,5.0,False
2017,malle_dips_pouches,The Big Gronkowski,5.0,8.0,0.0,13,5.0,False
2017,malle_dips_pouches,ThreatLevelMidnight,6.0,7.0,0.0,13,6.0,False
2017,malle_dips_pouches,Voldemort,7.0,6.0,0.0,13,7.0,False
2017,malle_dips_pouches,malle_dips_pouches,7.0,6.0,0.0,13,7.0,True
2018,Big Sack Jack,Big Sack Jack,8.0,5.0,0.0,13,8.0,True
2018,Big Sack Jack,Dillon Panthers,7.0,6.0,0.0,13,7.0,False
2018,Big Sack Jack,Ginger FC,6.0,7.0,0.0,13,6.0,False
2018,Big Sack Jack,Joe Mantegna,8.0,5.0,0.0,13,8.0,False
2018,Big Sack Jack,Malle ❤️ 🐸,7.0,6.0,0.0,13,7.0,False
2018,Big Sack Jack,Pop Lockett Drop it,8.0,5.0,0.0,13,8.0,False
2018,Big Sack Jack,Post Mahomes,10.0,3.0,0.0,13,10.0,False
2018,Big Sack Jack,The Big Gronkowski,8.0,5.0,0.0,13,8.0,False
2018,Big Sack Jack,ThreatLevelMidnight,9.0,4.0,0.0,13,9.0,False
2018,Big Sack Jack,Uncle Rico,8.0,5.0,0.0,13,8.0,False
2018,Big Sack Jack,Voldemort,10.0,3.0,0.0,13,10.0,False
2018,Big Sack Jack,malle_dips_pouches,12.0,1.0,0.0,13,12.0,False
2018,Dillon Panthers,Big Sack Jack,7.0,6.0,0.0,13,7.0,False
2018,Dillon Panthers,Dillon Panthers,6.0,7.0,0.0,13,6.0,True
2018,Dillon Panthers,Ginger FC,3.0,10.0,0.0,13,3.0,False
2018,Dillon Panthers,Joe Mantegna,8.0,5.0,0.0,13,8.0,False
2018,Dillon Panthers,Malle ❤️ 🐸,7.0,6.0,0.0,13,7.0,False
2018,Dillon Panthers,Pop Lockett Drop it,8.0,5.0,0.0,13,8.0,False
2018,Dillon Panthers,Post Mahomes,6.0,7.0,0.0,13,6.0,False
2018,Dillon Panthers,The Big Gronkowski,5.0,8.0,0.0,13,5.0,False
2018,Dillon Panthers,ThreatLevelMidnight,7.0,6.0,0.0,13,7.0,False
2018,Dillon Panthers,Uncle Rico,8.0,5.0,0.0,13,8.0,False
2018,Dillon Panthers,Voldemort,7.0,6.0,0.0,13,7.0,False
2018,Dillon Panthers,malle_dips_pouches,9.0,4.0,0.0,13,9.0,False
2018,Ginger FC,Big Sack Jack,3.0,10.0,0.0,13,3.0,False
2018,Ginger FC,Dillon Panthers,4.0,9.0,0.0,13,4.0,False
2018,Ginger FC,Ginger FC,4.0,9.0,0.0,13,4.0,True
2018,Ginger FC,Joe Mantegna,5.0,8.0,0.0,13,5.0,False
2018,Ginger FC,Malle ❤️ 🐸,2.0,11.0,0.0,13,2.0,False
2018,Ginger FC,Pop Lockett Drop it,3.0,10.0,0.0,13,3.0,False
2018,Ginger FC,Post Mahomes,2.0,11.0,0.0,13,2.0,False
2018,Ginger FC,The Big Gronkowski,5.0,8.0,0.0,13,5.0,False
2018,Ginger FC,ThreatLevelMidnight,4.0,9.0,0.0,13,4.0,False
2018,Ginger FC,Uncle Rico,4.0,9.0,0.0,13,4.0,False
2018,Ginger FC,Voldemort,4.0,9.0,0.0,13,4.0,False
2018,Ginger FC,malle_dips_pouches,7.0,6.0,0.0,13,7.0,False
2018,Joe Mantegna,Big Sack Jack,4.0,9.0,0.0,13,4.0,False
2018,Joe Mantegna,Dillon Panthers,6.0,7.0,0.0,13,6.0,False
2018,Joe Mantegna,Ginger FC,6.0,7.0,0.0,13,6.0,False
2018,Joe Mantegna,Joe Mantegna,4.0,9.0,0.0,13,4.0,True
2018,Joe Mantegna,Malle ❤️ 🐸,7.0,6.0,0.0,13,7.0,False
2018,Joe Mantegna,Pop Lockett Drop it,4.0,9.0,0.0,13,4.0,False
2018,Joe Mantegna,Post Mahomes,7.0,6.0,0.0,13,7.0,False
2018,Joe Mantegna,The Big Gronkowski,7.0,6.0,0.0,13,7.0,False
2018,Joe Mantegna,ThreatLevelMidnight,7.0,6.0,0.0,13,7.0,False
2018,Joe Mantegna,Uncle Rico,6.0,7.0,0.0,13,6.0,False
2018,Joe Mantegna,Voldemort,8.0,5.0,0.0,13,8.0,False
2018,Joe Mantegna,malle_dips_pouches,11.0,2.0,0.0,13,11.0,False
2018,Malle ❤️ 🐸,Big Sack Jack,4.0,9.0,0.0,13,4.0,False
2018,Malle ❤️ 🐸,Dillon Panthers,4.0,9.0,0.0,13,4.0,False
2018,Malle ❤️ 🐸,Ginger FC,5.0,8.0,0.0,13,5.0,False
2018,Malle ❤️ 🐸,Joe Mantegna,4.0,9.0,0.0,13,4.0,False
2018,Malle ❤️ 🐸,Malle ❤️ 🐸,4.0,9.0,0.0,13,4.0,True
2018,Malle ❤️ 🐸,Pop Lockett Drop it,3.0,10.0,0.0,13,3.0,False
2018,Malle ❤️ 🐸,Post Mahomes,5.0,8.0,0.0,13,5.0,False
2018,Malle ❤️ 🐸,The Big Gronkowski,4.0,9.0,0.0,13,4.0,False
2018,Malle ❤️ 🐸,ThreatLevelMidnight,5.0,8.0,0.0,13,5.0,False
2018,Malle ❤️ 🐸,Uncle Rico,6.0,7.0,0.0,13,6.0,False
2018,Malle ❤️ 🐸,Voldemort,5.0,8.0,0.0,13,5.0,False
2018,Malle ❤️ 🐸,malle_dips_pouches,5.0,8.0,0.0,13,5.0,False
2018,Pop Lockett Drop it,Big Sack Jack,9.0,4.0,0.0,13,9.0,False
2018,Pop Lockett Drop it,Dillon Panthers,9.0,4.0,0.0,13,9.0,False
2018,Pop Lockett Drop it,Ginger FC,9.0,4.0,0.0,13,9.0,False
2018,Pop Lockett Drop it,Joe Mantegna,7.0,6.0,0.0,13,7.0,False
2018,Pop Lockett Drop it,Malle ❤️ 🐸,6.0,7.0,0.0,13,6.0,False
2018,Pop Lockett Drop it,Pop Lockett Drop it,8.0,5.0,0.0,13,8.0,True
2018,Pop Lockett Drop it,Post Mahomes,9.0,4.0,0.0,13,9.0,False
2018,Pop Lockett Drop it,The Big Gronkowski,10.0,3.0,0.0,13,10.0,False
2018,Pop Lockett Drop it,ThreatLevelMidnight,10.0,3.0,0.0,13,10.0,False
2018,Pop Lockett Drop it,Uncle Rico,10.0,3.0,0.0,13,10.0,False
2018,Pop Lockett Drop it,Voldemort,9.0,4.0,0.0,13,9.0,False
2018,Pop Lockett Drop it,malle_dips_pouches,10.0,3.0,0.0,13,10.0,False
2018,Post Mahomes,Big Sack Jack,9.0,4.0,0.0,13,9.0,False
2018,Post Mahomes,Dillon Panthers,8.0,5.0,0.0,13,8.0,False
2018,Post Mahomes,Ginger FC,7.0,6.0,0.0,13,7.0,False
2018,Post Mahomes,Joe Mantegna,7.0,6.0,0.0,13,7.0,False
2018,Post Mahomes,Malle ❤️ 🐸,9.0,4.0,0.0,13,9.0,False
2018,Post Mahomes,Pop Lockett Drop it,6.0,7.0,0.0,13,6.0,False
2018,Post Mahomes,Post Mahomes,6.0,7.0,0.0,13,6.0,True
2018,Post Mahomes,The Big Gronkowski,8.0,5.0,0.0,13,8.0,False
2018,Post Mahomes,ThreatLevelMidnight,9.0,4.0,0.0,13,9.0,False
2018,Post Mahomes,Uncle Rico,8.0,5.0,0.0,13,8.0,False
2018,Post Mahomes,Voldemort,9.0,4.0,0.0,13,9.0,False
2018,Post Mahomes,malle_dips_pouches,11.0,2.0,0.0,13,11.0,False
2018,The Big Gronkowski,Big Sack Jack,6.0,7.0,0.0,13,6.0,False
2018,The Big Gronkowski,Dillon Panthers,4.0,9.0,0.0,13,4.0,False
2018,The Big Gronkowski,Ginger FC,3.0,10.0,0.0,13,3.0,False
2018,The Big Gronkowski,Joe Mantegna,3.0,10.0,0.0,13,3.0,False
2018,The Big Gronkowski,Malle ❤️ 🐸,6.0,7.0,0.0,13,6.0,False
2018,The Big Gronkowski,Pop Lockett Drop it,3.0,10.0,0.0,13,3.0,False
