year,fantasy_team,stack_weeks,nonstack_weeks,stack_avg_score,nonstack_avg_score,score_difference,stack_win_rate,nonstack_win_rate,win_rate_difference,stack_avg_margin,nonstack_avg_margin,margin_difference,stack_top_quartile_rate,nonstack_top_quartile_rate,top_quartile_difference
2021,Malle ❤️ 🐸,13,1,115.6353846153846,82.98,32.65538461538459,0.7692307692307693,1.0,-0.23076923076923073,15.926153846153843,7.740000000000009,8.186153846153834,0.38461538461538464,0.0,0.38461538461538464
2021,Post Mahomes,1,13,85.74,115.93692307692308,-30.196923076923085,0.0,0.6153846153846154,-0.6153846153846154,-15.66000000000001,0.1507692307692303,-15.81076923076924,0.0,0.23076923076923078,-0.23076923076923078
2021,The Big Gronkowski,13,1,123.07846153846154,96.52,26.558461538461543,0.5384615384615384,0.0,0.5384615384615384,5.3015384615384615,-7.439999999999998,12.74153846153846,0.46153846153846156,0.0,0.46153846153846156
2021,Uncle Rico,1,13,102.4,107.96769230769232,-5.567692307692312,0.0,0.3076923076923077,-0.3076923076923077,-25.25999999999999,-5.327692307692307,-19.932307692307685,0.0,0.23076923076923078,-0.23076923076923078
2021,malle_dips_pouches,10,4,107.232,75.595,31.637,0.4,0.0,0.4,-7.114000000000002,-38.895,31.781000000000002,0.1,0.0,0.1
2022,Joe Mantegna,2,12,84.75999999999999,109.27000000000002,-24.510000000000034,1.0,0.5,0.5,5.269999999999996,2.898333333333331,2.371666666666665,0.0,0.0,0.0
2022,Pop Lockett Drop it,1,13,82.84,94.8276923076923,-11.9876923076923,0.0,0.3076923076923077,-0.3076923076923077,-60.74000000000001,-8.481538461538461,-52.258461538461546,0.0,0.07692307692307693,-0.07692307692307693
2023,Buttermilk Puuump,2,12,99.02000000000001,102.70333333333332,-3.6833333333333087,0.0,0.5,-0.5,-22.929999999999993,1.8250000000000017,-24.754999999999995,0.0,0.3333333333333333,-0.3333333333333333
2023,Patty Primetimes,12,2,102.665,104.22999999999999,-1.5649999999999835,0.25,1.0,-0.75,-4.363333333333331,8.589999999999996,-12.953333333333326,0.08333333333333333,0.5,-0.4166666666666667
2023,ThreatLevelMidnight,7,7,125.09714285714287,113.8257142857143,11.271428571428572,0.7142857142857143,0.7142857142857143,0.0,25.377142857142854,5.211428571428574,20.16571428571428,0.42857142857142855,0.2857142857142857,0.14285714285714285
2023,Uncle Rico,9,5,97.6888888888889,99.04,-1.3511111111111092,0.3333333333333333,0.2,0.1333333333333333,-8.257777777777775,-9.199999999999998,0.9422222222222221,0.1111111111111111,0.0,0.1111111111111111
2023,Voldemort,4,10,102.845,113.546,-10.701000000000008,0.25,0.6,-0.35,-27.755000000000006,7.494000000000004,-35.24900000000001,0.5,0.4,0.09999999999999998
2024,Buttermilk Puuump,13,1,104.84461538461538,79.26,25.584615384615375,0.3076923076923077,1.0,-0.6923076923076923,-6.250769230769231,0.21999999999999886,-6.47076923076923,0.23076923076923078,0.0,0.23076923076923078
2024,Patty Primetimes,10,4,113.63000000000002,112.37500000000001,1.2550000000000097,0.6,0.5,0.09999999999999998,3.2079999999999984,17.525000000000006,-14.317000000000007,0.5,0.5,0.0
2024,ThreatLevelMidnight,1,13,139.9,110.80923076923077,29.09076923076924,1.0,0.6153846153846154,0.3846153846153846,45.30000000000001,-2.0492307692307725,47.349230769230786,1.0,0.3076923076923077,0.6923076923076923
2024,Voldemort,4,10,131.31500000000003,98.238,33.07700000000003,0.75,0.1,0.65,17.15000000000001,-12.600000000000003,29.750000000000014,0.5,0.0,0.5
2025,Buttermilk Puuump,10,4,108.07000000000001,98.61999999999999,9.450000000000017,0.3,0.25,0.04999999999999999,-9.693999999999999,3.4300000000000033,-13.124000000000002,0.2,0.25,-0.04999999999999999
2025,Joe Mantegna,1,13,91.22,105.17384615384614,-13.953846153846143,0.0,0.46153846153846156,-0.46153846153846156,-34.36,0.5569230769230754,-34.91692307692308,0.0,0.23076923076923078,-0.23076923076923078
2025,Malle ❤️ 🐸,2,12,86.31,96.25833333333333,-9.948333333333323,0.5,0.16666666666666666,0.33333333333333337,-7.870000000000008,-30.049999999999994,22.179999999999986,0.0,0.08333333333333333,-0.08333333333333333
2025,ThreatLevelMidnight,2,12,126.96000000000001,116.205,10.75500000000001,0.5,0.6666666666666666,-0.16666666666666663,14.509999999999998,9.56166666666667,4.948333333333329,1.0,0.5,0.5
2025,Uncle Rico,1,13,101.84,116.23538461538462,-14.395384615384614,0.0,0.5384615384615384,-0.5384615384615384,-31.939999999999998,11.146153846153844,-43.08615384615384,0.0,0.38461538461538464,-0.38461538461538464
2025,Voldemort,4,10,96.78999999999999,101.484,-4.694000000000003,0.75,0.3,0.45,-2.5699999999999985,-8.482,5.912000000000001,0.25,0.1,0.15
