year,week,fantasy_team,opponent,score,opponent_score,canonical_team,canonical_opponent,margin,win,loss,tie,all_play_wins,all_play_losses,all_play_ties,expected_win_rate,weekly_score_rank,teams_that_week,bad_beat_value,bad_beat,severe_bad_beat,brutal_bad_beat,lucky_win,severe_lucky_win
2020,7,Malle ❤️ 🐸,Post Mahomes,135.56,127.1,Malle ❤️ 🐸,Post Mahomes,8.460000000000008,1,0,0,9.0,2.0,0.0,0.8181818181818182,3.0,12.0,-0.18181818181818177,0,0,0,0,0
2024,13,malle_dips_pouches,Patty Primetimes,137.1,122.14,malle_dips_pouches,Patty Primetimes,14.959999999999994,1,0,0,9.0,2.0,0.0,0.8181818181818182,3.0,12.0,-0.18181818181818177,0,0,0,0,0
2021,1,ThreatLevelMidnight,Big Sack Jack,138.26,129.38,ThreatLevelMidnight,Big Sack Jack,8.879999999999995,1,0,0,9.0,2.0,0.0,0.8181818181818182,3.0,12.0,-0.18181818181818177,0,0,0,0,0
2021,13,Post Mahomes,Ginger FC,138.32,117.96,Post Mahomes,Ginger FC,20.36,1,0,0,9.0,2.0,0.0,0.8181818181818182,3.0,12.0,-0.18181818181818177,0,0,0,0,0
2021,14,Patty Primetimes,Ginger FC,138.52,136.14,Patty Primetimes,Ginger FC,2.380000000000024,1,0,0,9.0,2.0,0.0,0.8181818181818182,3.0,12.0,-0.18181818181818177,0,0,0,0,0
2021,12,ThreatLevelMidnight,Big Sack Jack,140.18,88.68,ThreatLevelMidnight,Big Sack Jack,51.5,1,0,0,9.0,2.0,0.0,0.8181818181818182,3.0,12.0,-0.18181818181818177,0,0,0,0,0
2022,8,Ginger FC,Uncle Rico,142.54,122.64,Ginger FC,Uncle Rico,19.89999999999999,1,0,0,9.0,2.0,0.0,0.8181818181818182,3.0,12.0,-0.18181818181818177,0,0,0,0,0
2021,5,Voldemort,Joe Mantegna,142.98,101.52,Voldemort,Joe Mantegna,41.459999999999994,1,0,0,9.0,2.0,0.0,0.8181818181818182,3.0,12.0,-0.18181818181818177,0,0,0,0,0
2025,7,Uncle Rico,Post Mahomes,145.02,124.54,Uncle Rico,Post Mahomes,20.480000000000004,1,0,0,9.0,2.0,0.0,0.8181818181818182,3.0,12.0,-0.18181818181818177,0,0,0,0,0
2020,2,Ginger FC,Post Mahomes,145.92,126.44,Ginger FC,Post Mahomes,19.47999999999999,1,0,0,9.0,2.0,0.0,0.8181818181818182,3.0,12.0,-0.18181818181818177,0,0,0,0,0
2023,11,Joe Mantegna,Post Mahomes,148.34,112.18,Joe Mantegna,Post Mahomes,36.16,1,0,0,9.0,2.0,0.0,0.8181818181818182,3.0,12.0,-0.18181818181818177,0,0,0,0,0
2018,4,Post Mahomes,Ginger FC,152.36,110.52,Post Mahomes,Ginger FC,41.84000000000002,1,0,0,9.0,2.0,0.0,0.8181818181818182,3.0,12.0,-0.18181818181818177,0,0,0,0,0
2022,4,The Big Gronkowski,Ginger FC,130.82,113.98,The Big Gronkowski,Ginger FC,16.83999999999999,1,0,0,9.0,1.0,1.0,0.8636363636363636,2.0,12.0,-0.13636363636363635,0,0,0,0,0
2022,4,Voldemort,Patty Primetimes,130.82,107.04,Voldemort,Patty Primetimes,23.779999999999987,1,0,0,9.0,1.0,1.0,0.8636363636363636,2.0,12.0,-0.13636363636363635,0,0,0,0,0
2017,9,Voldemort,Little Red Fournette,98.54,83.92,Voldemort,Post Mahomes,14.620000000000005,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2017,5,Malle ❤️ 🐸,Dillon Panthers,100.16,72.54,Malle ❤️ 🐸,Dillon Panthers,27.61999999999999,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2017,13,Ginger FC,Pop Lockett Drop it,103.18,85.92,Ginger FC,Pop Lockett Drop it,17.260000000000005,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2019,13,Pop Lockett Drop it,Post Mahomes,105.6,80.32,Pop Lockett Drop it,Post Mahomes,25.28,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2017,4,Little Red Fournette,Ginger FC,106.42,100.46,Post Mahomes,Ginger FC,5.960000000000008,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2018,2,Big Sack Jack,Joe Mantegna,107.4,97.6,Big Sack Jack,Joe Mantegna,9.800000000000011,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2017,1,The Big Gronkowski,Malle ❤️ 🐸,108.02,78.62,The Big Gronkowski,Malle ❤️ 🐸,29.39999999999999,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2017,6,Big Sack Jack,Little Red Fournette,108.7,100.64,Big Sack Jack,Post Mahomes,8.060000000000002,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2019,4,Pop Lockett Drop it,Big Sack Jack,110.4,107.7,Pop Lockett Drop it,Big Sack Jack,2.700000000000003,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2017,10,The Big Gronkowski,Big Sack Jack,110.94,98.78,The Big Gronkowski,Big Sack Jack,12.159999999999997,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2018,13,Uncle Rico,Dillon Panthers,111.32,74.62,Uncle Rico,Dillon Panthers,36.69999999999999,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
