year,fantasy_team,edge_position,player,starts,starter_points,player_edge_contribution,team_position_points,team_positional_edge,share_of_position_points,edge_contribution_per_start
2018,Ginger FC 🏆🏆,RB,Peyton Barber,6,51.400000000000006,-16.29685452576171,312.3,-82.74181818181818,0.16458533461415306,-2.716142420960285
2018,Ginger FC 🏆🏆,RB,T.J. Yeldon,6,73.3,-41.11061683072903,312.3,-82.74181818181818,0.23471021453730387,-6.851769471788171
2018,Ginger FC 🏆🏆,TE,Rob Gronkowski,4,27.3,-0.009090909090909705,72.3,-17.645454545454548,0.37759336099585067,-0.002272727272727426
2018,Ginger FC 🏆🏆,TE,Jordan Reed,9,45.0,-17.636363636363637,72.3,-17.645454545454548,0.6224066390041494,-1.9595959595959596
2018,Ginger FC 🏆🏆,WR,Antonio Callaway,1,5.4,0.9831705484598049,261.70000000000005,-67.96181818181819,0.020634314100114633,0.9831705484598049
2018,Ginger FC 🏆🏆,WR,Pierre Garcon,1,1.1,-0.020982142857142966,261.70000000000005,-67.96181818181819,0.004203286205578907,-0.020982142857142966
2018,Ginger FC 🏆🏆,WR,Tyrell Williams,2,6.8,-0.8034680134680141,261.70000000000005,-67.96181818181819,0.025983951089033237,-0.40173400673400705
2018,Ginger FC 🏆🏆,WR,DJ Moore,2,16.3,-1.8573733208372385,261.70000000000005,-67.96181818181819,0.062285059228123794,-0.9286866604186192
2018,Ginger FC 🏆🏆,WR,Allen Robinson,4,15.9,-2.204938648390171,261.70000000000005,-67.96181818181819,0.060756591517004195,-0.5512346620975428
2018,Ginger FC 🏆🏆,WR,Danny Amendola,1,4.7,-3.2584702194357367,261.70000000000005,-67.96181818181819,0.017959495605655327,-3.2584702194357367
2018,Ginger FC 🏆🏆,WR,Geronimo Allison,2,9.4,-4.042593406385702,261.70000000000005,-67.96181818181819,0.035918991211310654,-2.021296703192851
