acquisition_id,year,canonical_team,player,player_position,acquisition_type,acquisition_datetime,drop_datetime,acquisition_week,candidate_weeks,roster_weeks,stint_points,primary_eligible,roster_match,roster_capture_rate
A00753,2020,Voldemort,Jamaal Williams,RB,Free Agent,2020-10-04 17:03:00,2020-10-07 08:49:00,4,2,1,14.5,True,True,0.5
A00754,2020,Ginger FC,Rex Burkhead,RB,Waiver,2020-10-07 03:52:00,2020-10-22 13:42:00,5,3,2,1.4,True,True,0.6666666666666666
A00755,2020,Ginger FC,Chase Edmonds,RB,Waiver,2020-10-07 03:52:00,,5,9,9,83.1,True,True,1.0
A00756,2020,Pop Lockett Drop it,Cardinals,,Waiver,2020-10-07 03:52:00,2020-10-15 05:17:00,5,2,0,0.0,False,False,0.0
A00757,2020,Pop Lockett Drop it,Stephen Gostkowski,,Waiver,2020-10-07 03:52:00,2020-10-08 16:22:00,5,1,0,0.0,False,False,0.0
A00758,2020,Pop Lockett Drop it,Gardner Minshew II,QB,Waiver,2020-10-07 03:52:00,2020-10-23 17:07:00,5,3,2,44.46,True,True,0.6666666666666666
A00759,2020,Uncle Rico,Scotty Miller,WR,Waiver,2020-10-07 03:52:00,2020-10-20 12:15:00,5,3,2,1.1,True,True,0.6666666666666666
A00760,2020,Uncle Rico,Robert Tonyan,TE,Waiver,2020-10-07 03:52:00,,5,9,9,64.4,True,True,1.0
A00761,2020,Uncle Rico,D'Ernest Johnson,,Waiver,2020-10-07 03:52:00,2020-10-15 08:07:00,5,2,1,4.1,False,True,0.5
A00762,2020,malle_dips_pouches,Justin Jackson,RB,Waiver,2020-10-07 03:52:00,2020-10-18 12:13:00,5,2,1,11.9,True,True,0.5
A00763,2020,Post Mahomes,Jason Myers,,Free Agent,2020-10-07 05:11:00,2020-10-15 07:26:00,5,2,1,3.0,False,True,0.5
A00764,2020,Post Mahomes,Chiefs,,Free Agent,2020-10-07 05:12:00,2020-11-28 17:12:00,5,8,0,0.0,False,False,0.0
A00765,2020,ThreatLevelMidnight,Laviska Shenault Jr.,,Free Agent,2020-10-07 07:50:00,2020-10-25 18:24:00,5,3,2,14.0,False,True,0.6666666666666666
A00766,2020,ThreatLevelMidnight,Teddy Bridgewater,QB,Free Agent,2020-10-07 07:50:00,2020-10-15 13:50:00,5,2,1,24.82,True,True,0.5
A00767,2020,ThreatLevelMidnight,Chargers,,Free Agent,2020-10-07 07:50:00,2020-10-13 07:53:00,5,1,0,0.0,False,False,0.0
A00768,2020,Patty Primetimes,Malcolm Brown,RB,Free Agent,2020-10-07 08:17:00,2020-10-23 14:24:00,5,3,2,6.6,True,True,0.6666666666666666
A00769,2020,Voldemort,Mecole Hardman Jr.,,Free Agent,2020-10-08 15:34:00,2020-10-19 18:59:00,5,2,1,6.0,False,True,0.5
A00770,2020,Pop Lockett Drop it,Younghoe Koo,,Free Agent,2020-10-08 16:22:00,2020-11-11 05:04:00,5,6,5,60.0,False,True,0.8333333333333334
A00771,2020,Pop Lockett Drop it,James Robinson,RB,Waiver,2020-09-10 02:19:00,,1,13,13,202.8,True,True,1.0
A00772,2020,Voldemort,Younghoe Koo,,Free Agent,2020-09-10 05:43:00,2020-09-30 06:08:00,1,4,3,34.0,False,True,0.75
A00773,2020,Post Mahomes,Eagles,,Free Agent,2020-09-13 11:52:00,2020-09-16 04:03:00,1,2,0,0.0,False,False,0.0
A00774,2020,Voldemort,Jerick McKinnon,RB,Free Agent,2020-09-13 12:57:00,2020-09-20 08:27:00,1,2,1,11.9,True,True,0.5
A00775,2020,ThreatLevelMidnight,Malcolm Brown,RB,Free Agent,2020-09-13 17:44:00,2020-10-03 10:06:00,1,4,3,31.1,True,True,0.75
A00776,2020,Post Mahomes,Joshua Kelley,RB,Free Agent,2020-09-16 10:00:00,2020-11-10 09:43:00,2,9,8,42.8,True,True,0.8888888888888888
A00777,2020,ThreatLevelMidnight,Jalen Reagor,,Free Agent,2020-09-16 10:06:00,2020-09-23 19:07:00,2,2,1,6.1,False,True,0.5
A00778,2020,Post Mahomes,Titans,,Free Agent,2020-09-16 04:03:00,2020-09-30 09:35:00,2,3,0,0.0,False,False,0.0
A00779,2020,Joe Mantegna,Logan Thomas,TE,Waiver,2020-09-16 04:08:00,,2,12,12,84.02,True,True,1.0
A00780,2020,Patty Primetimes,Nyheim Miller-Hines,RB,Waiver,2020-09-16 04:08:00,,2,12,12,104.4,True,True,1.0
A00781,2020,Uncle Rico,Benny Snell Jr.,RB,Waiver,2020-09-16 04:08:00,2020-10-01 06:57:00,2,3,2,-0.2999999999999998,True,True,0.6666666666666666
A00782,2020,malle_dips_pouches,Frank Gore,RB,Waiver,2020-09-16 04:08:00,2020-10-07 03:52:00,2,4,3,17.1,True,True,0.75
A00783,2020,malle_dips_pouches,Robbie Chosen,WR,Waiver,2020-09-16 04:08:00,,2,12,8,89.0,True,True,0.6666666666666666
A00784,2020,malle_dips_pouches,Peyton Barber,,Free Agent,2020-09-16 07:31:00,2020-09-23 04:25:00,2,2,1,0.1,False,True,0.5
A00785,2020,Ginger FC,Duke Johnson,RB,Free Agent,2020-09-17 11:09:00,2020-10-28 03:57:00,2,7,6,16.7,True,True,0.8571428571428571
A00786,2020,Uncle Rico,Corey Davis,WR,Free Agent,2020-09-19 14:17:00,2020-10-02 15:13:00,2,3,2,20.5,True,True,0.6666666666666666
A00787,2020,Voldemort,Scotty Miller,WR,Free Agent,2020-09-20 08:28:00,2020-09-23 04:25:00,2,2,1,2.2,True,True,0.5
A00788,2020,Post Mahomes,Parris Campbell,,Free Agent,2020-09-20 09:32:00,2020-09-23 04:25:00,2,2,1,0.7,False,True,0.5
A00789,2020,Big Sack Jack,Dion Lewis,,Free Agent,2020-09-23 14:35:00,2020-10-04 11:19:00,3,2,1,1.5,False,True,0.5
A00790,2020,Ginger FC,Jerick McKinnon,RB,Waiver,2020-09-23 04:25:00,2020-11-01 10:52:00,3,6,5,39.6,True,True,0.8333333333333334
A00791,2020,Joe Mantegna,Gardner Minshew II,QB,Waiver,2020-09-23 04:25:00,2020-10-03 14:28:00,3,2,1,10.2,True,True,0.5
A00792,2020,Pop Lockett Drop it,Giants,,Waiver,2020-09-23 04:25:00,2020-09-30 03:46:00,3,2,0,0.0,False,False,0.0
A00793,2020,Post Mahomes,Devonta Freeman,RB,Waiver,2020-09-23 04:25:00,2020-11-15 11:06:00,3,8,7,32.5,True,True,0.875
A00794,2020,ThreatLevelMidnight,Mike Davis,RB,Waiver,2020-09-23 04:25:00,,3,11,11,125.8,True,True,1.0
A00795,2020,Voldemort,Darrell Henderson Jr.,RB,Waiver,2020-09-23 04:25:00,,3,11,2,22.7,True,True,0.18181818181818182
A00796,2020,malle_dips_pouches,Myles Gaskin,RB,Waiver,2020-09-23 04:25:00,,3,11,11,76.8,True,True,1.0
A00797,2020,Voldemort,Chargers,,Free Agent,2020-09-23 07:05:00,2020-09-30 03:46:00,3,2,0,0.0,False,False,0.0
A00798,2020,ThreatLevelMidnight,N'Keal Harry,,Free Agent,2020-09-23 19:07:00,2020-09-24 15:59:00,3,1,0,0.0,False,False,0.0
A00799,2020,ThreatLevelMidnight,Dalton Schultz,TE,Free Agent,2020-09-23 19:16:00,2020-10-30 21:24:00,3,6,5,31.8,True,True,0.8333333333333334
A00800,2020,ThreatLevelMidnight,Buccaneers,,Free Agent,2020-09-23 07:50:00,2020-10-15 06:14:00,3,4,0,0.0,False,False,0.0
A00801,2020,ThreatLevelMidnight,Laviska Shenault Jr.,,Free Agent,2020-09-24 15:59:00,2020-09-25 09:00:00,3,1,0,0.0,False,False,0.0
A00802,2020,ThreatLevelMidnight,Jeff Wilson Jr.,,Free Agent,2020-09-25 09:00:00,2020-10-05 14:39:00,3,2,1,20.4,False,True,0.5
A00803,2020,ThreatLevelMidnight,Joey Slye,,Free Agent,2020-09-30 13:41:00,2020-10-21 15:13:00,4,4,3,29.0,False,True,0.75
A00804,2020,Patty Primetimes,Carlos Hyde,RB,Waiver,2020-09-30 03:46:00,2020-10-15 08:05:00,4,3,2,0.0,True,True,0.6666666666666666
A00805,2020,Pop Lockett Drop it,Cowboys,,Waiver,2020-09-30 03:46:00,2020-10-07 03:52:00,4,2,0,0.0,False,False,0.0
A00806,2020,Pop Lockett Drop it,Tee Higgins,WR,Waiver,2020-09-30 03:46:00,,4,10,10,106.7,True,True,1.0
A00807,2020,Pop Lockett Drop it,Nick Foles,,Waiver,2020-09-30 03:46:00,2020-10-07 03:52:00,4,2,1,14.86,False,True,0.5
A00808,2020,Voldemort,Broncos,,Waiver,2020-09-30 03:46:00,2020-10-10 18:20:00,4,2,0,0.0,False,False,0.0
A00809,2020,Voldemort,Ka'imi Fairbairn,,Free Agent,2020-09-30 06:08:00,2020-10-15 05:17:00,4,3,2,26.0,False,True,0.6666666666666666
A00810,2020,Post Mahomes,Saints,,Free Agent,2020-09-30 09:35:00,2020-10-07 05:12:00,4,2,0,0.0,False,False,0.0
A00811,2020,Post Mahomes,Joe Burrow,QB,Free Agent,2020-09-30 09:35:00,2020-10-10 02:37:00,4,2,1,18.1,True,True,0.5
A00812,2021,The Big Gronkowski,Chiefs,,Free Agent,2021-12-01 12:41:00,,13,2,0,0.0,False,False,0.0
A00813,2021,Ginger FC,Van Jefferson,WR,Waiver,2021-12-01 03:25:00,,13,2,2,26.9,True,True,1.0
A00814,2021,Ginger FC,Cardinals,,Waiver,2021-12-01 03:25:00,2021-12-08 10:17:00,13,2,0,0.0,False,False,0.0
A00815,2021,Pop Lockett Drop it,Vikings,,Waiver,2021-12-01 03:25:00,2021-12-08 02:16:00,13,2,0,0.0,False,False,0.0
A00816,2021,Voldemort,Kendrick Bourne,,Waiver,2021-12-01 03:25:00,2021-12-28 17:47:00,13,2,2,0.3,False,True,1.0
A00817,2021,Post Mahomes,Matt Gay,,Free Agent,2021-12-01 03:48:00,,13,2,2,29.0,False,True,1.0
A00818,2021,Pop Lockett Drop it,Russell Gage Jr.,,Free Agent,2021-12-01 17:34:00,2021-12-26 15:25:00,13,2,2,24.9,False,True,1.0
A00819,2021,Malle ❤️ 🐸,Raiders,,Free Agent,2021-12-01 18:07:00,,13,2,0,0.0,False,False,0.0
A00820,2021,ThreatLevelMidnight,Colts,,Free Agent,2021-12-01 06:56:00,2021-12-07 07:03:00,13,2,0,0.0,False,False,0.0
A00821,2021,ThreatLevelMidnight,Taysom Hill,QB,Free Agent,2021-12-01 07:55:00,2021-12-23 11:59:00,13,2,2,54.96,True,True,1.0
A00822,2021,Malle ❤️ 🐸,Browns,,Free Agent,2021-12-10 15:31:00,2021-12-23 17:20:00,14,1,0,0.0,False,False,0.0
A00823,2021,Voldemort,Jeff Wilson Jr.,,Free Agent,2021-12-10 18:28:00,2021-12-15 03:03:00,14,1,1,5.6,False,True,1.0
A00824,2021,Malle ❤️ 🐸,Marquez Valdes-Scantling,,Free Agent,2021-12-12 11:16:00,,14,1,0,0.0,False,False,0.0
A00825,2021,Malle ❤️ 🐸,Jared Cook,TE,Free Agent,2021-12-12 11:17:00,,14,1,1,7.8,True,True,1.0
A00826,2021,Joe Mantegna,Christian Kirk,,Free Agent,2021-12-12 11:22:00,,14,1,0,0.0,False,False,0.0
A00827,2021,Joe Mantegna,Ty Johnson,RB,Free Agent,2021-12-12 11:23:00,,14,1,1,7.7,True,True,1.0
A00828,2021,ThreatLevelMidnight,Samaje Perine,,Free Agent,2021-12-12 11:52:00,2021-12-16 22:08:00,14,1,1,5.3,False,True,1.0
A00829,2021,Big Sack Jack,Emmanuel Sanders,WR,Free Agent,2021-12-12 14:54:00,,14,1,1,3.0,True,True,1.0
A00830,2021,Voldemort,Christian Kirk,,Free Agent,2021-12-12 16:47:00,,14,1,1,10.1,False,True,1.0
A00831,2021,Pop Lockett Drop it,Jermar Jefferson,RB,Free Agent,2021-12-12 09:51:00,,14,1,1,0.0,True,True,1.0
A00870,2021,Joe Mantegna,Nyheim Miller-Hines,,Waiver,2021-12-04 02:12:00,2021-12-08 02:16:00,13,2,1,7.1,False,True,0.5
A00871,2021,Uncle Rico,A.J. Green,WR,Free Agent,2021-12-05 10:01:00,,13,2,2,15.6,True,True,1.0
A00872,2021,Uncle Rico,Boston Scott,RB,Free Agent,2021-12-05 10:02:00,,13,2,2,0.0,True,True,1.0
A00873,2021,Uncle Rico,Ravens,,Free Agent,2021-12-05 10:03:00,,13,2,0,0.0,False,False,0.0
A00874,2021,Big Sack Jack,Kenyan Drake,RB,Free Agent,2021-12-05 11:45:00,,13,2,2,1.3,True,True,1.0
A00875,2021,Post Mahomes,Dontrell Hilliard,RB,Free Agent,2021-12-05 14:39:00,2021-12-14 09:53:00,13,2,2,1.3,True,True,1.0
A00876,2021,Post Mahomes,Packers,,Free Agent,2021-12-06 15:20:00,2021-12-15 09:08:00,13,2,0,0.0,False,False,0.0
A00877,2021,Post Mahomes,Julio Jones,WR,Free Agent,2021-12-06 15:21:00,2021-12-20 04:21:00,13,2,2,5.3,True,True,1.0
A00878,2021,Ginger FC,Saints,,Free Agent,2021-12-08 10:17:00,2021-12-15 03:03:00,14,1,0,0.0,False,False,0.0
A00879,2021,Patty Primetimes,Pat Freiermuth,TE,Free Agent,2021-12-08 10:18:00,,14,1,1,10.2,True,True,1.0
A00880,2021,Patty Primetimes,Chargers,,Free Agent,2021-12-08 10:19:00,,14,1,0,0.0,False,False,0.0
A00881,2021,Joe Mantegna,Matt Breida,,Waiver,2021-12-08 02:16:00,2021-12-12 11:22:00,14,1,0,0.0,False,False,0.0
A00882,2021,Joe Mantegna,David Johnson,RB,Waiver,2021-12-08 02:16:00,,14,1,1,0.0,True,True,1.0
A00883,2021,Joe Mantegna,Broncos,,Waiver,2021-12-08 02:16:00,2021-12-16 19:00:00,14,1,0,0.0,False,False,0.0
A00884,2021,Pop Lockett Drop it,Titans,,Waiver,2021-12-08 02:16:00,,14,1,0,0.0,False,False,0.0
A00885,2021,Pop Lockett Drop it,Teddy Bridgewater,QB,Waiver,2021-12-08 02:16:00,2021-12-26 15:24:00,14,1,1,19.16,True,True,1.0
A00886,2021,Voldemort,Greg Zuerlein,,Free Agent,2021-12-08 15:45:00,2021-12-15 03:03:00,14,1,1,13.0,False,True,1.0
A00887,2021,ThreatLevelMidnight,Seahawks,,Free Agent,2021-12-08 07:07:00,2021-12-29 02:14:00,14,1,0,0.0,False,False,0.0
A00888,2021,Post Mahomes,Ameer Abdullah,,Free Agent,2021-12-08 09:16:00,2021-12-15 03:03:00,14,1,1,4.3,False,True,1.0
A00889,2021,Voldemort,Khalil Herbert,RB,Free Agent,2021-12-09 05:03:00,2021-12-10 18:28:00,14,1,0,0.0,True,False,0.0
A00890,2021,Malle ❤️ 🐸,Darnell Mooney,WR,Free Agent,2021-01-02 11:10:00,,1,14,0,0.0,True,False,0.0
A00891,2021,Ginger FC,Carson Wentz,QB,Waiver,2021-11-10 02:18:00,2021-11-17 02:40:00,10,2,1,7.1,True,True,0.5
A00892,2021,Ginger FC,Titans,,Waiver,2021-11-10 02:18:00,2021-11-24 02:21:00,10,3,0,0.0,False,False,0.0
A00893,2021,Voldemort,D'Ernest Johnson,RB,Waiver,2021-11-10 02:18:00,2021-11-24 02:21:00,10,3,2,21.8,True,True,0.6666666666666666
A00894,2021,Voldemort,Dawson Knox,TE,Waiver,2021-11-10 02:18:00,,10,5,5,47.8,True,True,1.0
A00895,2021,Post Mahomes,Rashod Bateman,WR,Free Agent,2021-11-10 03:03:00,2021-12-08 09:16:00,10,5,4,20.5,True,True,0.8
A00896,2021,ThreatLevelMidnight,Browns,,Free Agent,2021-11-10 06:36:00,2021-11-23 12:00:00,10,3,0,0.0,False,False,0.0
A00897,2021,ThreatLevelMidnight,Michael Thomas,,Free Agent,2021-11-10 06:44:00,,10,5,5,0.0,False,True,1.0
A00898,2021,Uncle Rico,Michael Badgley,,Free Agent,2021-11-10 08:28:00,2021-11-17 06:10:00,10,2,1,11.0,False,True,0.5
A00899,2021,Uncle Rico,Brandon Bolden,RB,Free Agent,2021-11-10 08:30:00,2021-11-28 10:36:00,10,3,2,11.1,True,True,0.6666666666666666
