year,round,pick_in_round,overall_pick,team,player,keeper,name_key,canonical_team,season_points,roster_weeks,position,captured_points,captured_weeks,started_points,starts,retention_rate,starter_capture_rate,draft_value_eligible,position_percentile,expected_position_percentile,comparison_sample,draft_value,value_above_expected,capture_rate,starter_utilization_rate,expected_points,value_ratio,captured_value_above_expected,captured_value_ratio,draft_result
2018,1,5,5,Dillon Panthers,Antonio Brown,False,antonio brown,Dillon Panthers,174.79999999999998,13.0,WR,174.79999999999998,13.0,174.79999999999998,12.0,1.0,1.0,True,97.61904761904762,86.81318681318682,133.0,10.805860805860803,10.805860805860803,1.0,1.0,86.81318681318682,1.1244725738396624,10.805860805860803,1.0,Near Expectation
2020,1,5,5,Malle ❤️ 🐸,Alvin Kamara,False,alvin kamara,Malle ❤️ 🐸,245.8,13.0,RB,245.8,13.0,245.8,12.0,1.0,1.0,True,98.80952380952381,88.0,133.0,10.80952380952381,10.80952380952381,1.0,1.0,88.0,1.1228354978354977,10.80952380952381,1.0,Near Expectation
2024,1,5,5,The Big Gronkowski,Justin Jefferson,False,justin jefferson,The Big Gronkowski,197.68,14.0,WR,77.97999999999999,5.0,77.97999999999999,5.0,0.3944759206798866,1.0,True,98.76543209876543,87.89482253337675,134.0,10.870609565388676,10.870609565388676,0.3944759206798866,1.0,87.89482253337675,1.1236774732807582,4.28819371665828,0.3944759206798866,Near Expectation
2024,1,4,4,ThreatLevelMidnight,Ja'Marr Chase,False,jamarr chase,ThreatLevelMidnight,270.9,14.0,WR,121.7,6.0,121.7,6.0,0.4492432631967516,1.0,True,100.0,88.95875591615957,126.0,11.041244083840425,11.041244083840425,0.4492432631967516,1.0,88.95875591615957,1.1241164399179142,4.9602045219763005,0.4492432631967516,Near Expectation
2023,1,8,8,Pop Lockett Drop it,CeeDee Lamb,False,ceedee lamb,Pop Lockett Drop it,235.70000000000002,14.0,WR,235.70000000000002,14.0,235.70000000000002,13.0,1.0,1.0,True,98.9010989010989,87.83783783783784,157.0,11.063261063261066,11.063261063261066,1.0,1.0,87.83783783783784,1.1259509721048182,11.063261063261066,1.0,Near Expectation
2025,1,7,7,Uncle Rico,Christian McCaffrey,False,christian mccaffrey,Uncle Rico,286.0,14.0,RB,23.9,1.0,23.9,1.0,0.08356643356643356,1.0,True,98.64864864864865,87.5053153791637,150.0,11.143333269484941,11.143333269484941,0.08356643356643356,1.0,87.5053153791637,1.1273446443933202,0.9312086193730422,0.08356643356643356,Near Expectation
2018,1,12,12,The Big Gronkowski,Christian McCaffrey,False,christian mccaffrey,The Big Gronkowski,216.6,13.0,RB,216.6,13.0,216.6,12.0,1.0,1.0,True,96.0,84.5679012345679,187.0,11.432098765432102,11.432098765432102,1.0,1.0,84.5679012345679,1.1351824817518248,11.432098765432102,1.0,Near Expectation
2023,1,5,5,Joe Mantegna,Tyreek Hill,False,tyreek hill,Joe Mantegna,274.2,14.0,WR,274.2,14.0,274.2,13.0,1.0,1.0,True,100.0,88.50574712643679,133.0,11.494252873563212,11.494252873563212,1.0,1.0,88.50574712643679,1.1298701298701297,11.494252873563212,1.0,Near Expectation
2024,1,9,9,Uncle Rico,Derrick Henry,False,derrick henry,Uncle Rico,247.7,14.0,RB,25.8,1.0,25.8,1.0,0.10415825595478402,1.0,True,98.61111111111111,86.6260162601626,166.0,11.985094850948514,11.985094850948514,0.10415825595478402,1.0,86.6260162601626,1.1383544501798843,1.2483465771274593,0.10415825595478402,Near Expectation
2022,1,12,12,Joe Mantegna,Davante Adams,False,davante adams,Joe Mantegna,237.6,14.0,WR,237.6,14.0,237.6,13.0,1.0,1.0,True,97.67441860465115,84.97059609730019,188.0,12.703822507350964,12.703822507350964,1.0,1.0,84.97059609730019,1.149508454581203,12.703822507350964,1.0,Near Expectation
2018,1,7,7,Joe Mantegna,Saquon Barkley,False,saquon barkley,Joe Mantegna,229.6,13.0,RB,229.6,13.0,229.6,12.0,1.0,1.0,True,98.66666666666667,85.8974358974359,149.0,12.769230769230774,12.769230769230774,1.0,1.0,85.8974358974359,1.1486567164179105,12.769230769230774,1.0,Near Expectation
2020,1,8,8,Voldemort,Tyreek Hill,False,tyreek hill,Voldemort,237.9,13.0,WR,237.9,13.0,237.9,12.0,1.0,1.0,True,100.0,87.05882352941177,157.0,12.941176470588232,12.941176470588232,1.0,1.0,87.05882352941177,1.1486486486486487,12.941176470588232,1.0,Near Expectation
2021,1,11,11,Pop Lockett Drop it,Austin Ekeler,False,austin ekeler,Pop Lockett Drop it,247.5,14.0,RB,247.5,14.0,247.5,13.0,1.0,1.0,True,98.85057471264368,85.36585365853658,181.0,13.484721054107098,13.484721054107098,1.0,1.0,85.36585365853658,1.1579638752052546,13.484721054107098,1.0,Near Expectation
2021,1,9,9,Post Mahomes,Jonathan Taylor,False,jonathan taylor,Post Mahomes,290.4,14.0,RB,290.4,14.0,290.4,13.0,1.0,1.0,True,100.0,86.24140087554721,166.0,13.758599124452786,13.758599124452786,1.0,1.0,86.24140087554721,1.1595358955765047,13.758599124452786,1.0,Near Expectation
2024,1,12,12,Malle ❤️ 🐸,Saquon Barkley,False,saquon barkley,Malle ❤️ 🐸,285.5,14.0,RB,154.8,7.0,154.8,6.0,0.5422066549912434,1.0,True,100.0,85.54006968641114,188.0,14.459930313588856,14.459930313588856,0.5422066549912434,1.0,85.54006968641114,1.169042769857434,7.840270446737495,0.5422066549912434,Near Expectation
