year,week,fantasy_team,opponent,actual_score,yahoo_team_score,optimal_score,points_left_on_bench,lineup_efficiency_pct,avoidable_start_count,missed_start_count,should_have_benched,should_have_started,opponent_score,canonical_team,canonical_opponent,actual_win,actual_loss,actual_tie,optimal_win,optimal_loss,optimal_tie,manager_caused_loss,manager_caused_nonwin,actual_margin,optimal_margin,loss_margin,optimization_gain,would_have_won_by,bench_points_exceeded_loss_margin
2020,9,Patty Primetimes,Uncle Rico,51.94,51.94,90.6,38.66,57.33,4,4,Matthew Stafford (QB) | Phillip Lindsay (RB) | Rob Gronkowski (TE) | J.K. Dobbins (RB),Adrian Peterson (RB) | Josh Allen (QB) | Noah Fant (TE) | Nyheim Miller-Hines (RB),73.4,Patty Primetimes,Uncle Rico,0,1,0,1,0,0,1,1,-21.460000000000008,17.19999999999999,21.460000000000008,38.66,17.19999999999999,1
2021,5,The Big Gronkowski,Pop Lockett Drop it,104.3,104.3,142.54,38.24,73.17,4,4,Matthew Stafford (QB) | Cole Beasley (WR) | Cooper Kupp (WR) | Tyler Lockett (WR),AJ Dillon (RB) | Chase Claypool (WR) | Joe Burrow (QB) | Michael Pittman Jr. (WR),124.24,The Big Gronkowski,Pop Lockett Drop it,0,1,0,1,0,0,1,1,-19.939999999999998,18.299999999999997,19.939999999999998,38.239999999999995,18.299999999999997,1
2022,7,malle_dips_pouches,Post Mahomes,96.0,96.0,133.8,37.8,71.75,3,3,Christian McCaffrey (RB) | Mark Andrews (TE) | Michael Gallup (WR),Michael Carter (RB) | Pat Freiermuth (TE) | Tyler Boyd (WR),100.72,malle_dips_pouches,Post Mahomes,0,1,0,1,0,0,1,1,-4.719999999999999,33.08000000000001,4.719999999999999,37.80000000000001,33.08000000000001,1
2022,4,Malle ❤️ 🐸,Joe Mantegna,114.66,114.66,152.26,37.6,75.31,2,2,James Robinson (RB) | Diontae Johnson (WR),J.K. Dobbins (RB) | Jamaal Williams (RB),118.9,Malle ❤️ 🐸,Joe Mantegna,0,1,0,1,0,0,1,1,-4.240000000000009,33.359999999999985,4.240000000000009,37.599999999999994,33.359999999999985,1
2023,12,Uncle Rico,malle_dips_pouches,89.68,89.68,127.12,37.44,70.55,3,3,Chiefs - DEF (DEF) | Justin Fields (QB) | Ja'Marr ChaseVideo Forecast (WR),Gabe Davis (WR) | Jordan LoveVideo Forecast (QB) | Seahawks - DEF (DEF),90.26,Uncle Rico,malle_dips_pouches,0,1,0,1,0,0,1,1,-0.5799999999999983,36.86,0.5799999999999983,37.44,36.86,1
2022,2,The Big Gronkowski,Big Sack Jack,109.84,109.84,146.54,36.7,74.96,3,3,Packers - DEF (DEF) | Jeff Wilson Jr. (RB) | JuJu Smith-Schuster (WR),Buccaneers - DEF (DEF) | Damien Harris (RB) | Tony Pollard (RB),145.66,The Big Gronkowski,Big Sack Jack,0,1,0,1,0,0,1,1,-35.81999999999999,0.8799999999999955,35.81999999999999,36.69999999999999,0.8799999999999955,1
2023,5,Pop Lockett Drop it,Post Mahomes,85.46,85.46,121.88,36.42,70.12,2,2,C.J. Stroud (QB) | Rashid Shaheed (WR),Jordan Addison (WR) | Justin Fields (QB),120.84,Pop Lockett Drop it,Post Mahomes,0,1,0,1,0,0,1,1,-35.38000000000001,1.039999999999992,35.38000000000001,36.42,1.039999999999992,1
2019,8,Pop Lockett Drop it,Voldemort,99.68,99.68,135.78,36.1,73.41,3,3,Josh Jacobs (RB) | Courtland Sutton (WR) | Alshon Jeffery (WR),Devin Singletary (RB) | Mike Evans (WR) | Tyrell Williams (WR),122.58,Pop Lockett Drop it,Voldemort,0,1,0,1,0,0,1,1,-22.89999999999999,13.200000000000003,22.89999999999999,36.099999999999994,13.200000000000003,1
2017,10,Big Sack Jack,The Big Gronkowski,98.78,98.78,134.38,35.6,73.51,2,2,Doug Martin (RB) | Marvin Jones Jr. (WR),Robert Woods (WR) | Stefon Diggs (WR),110.94,Big Sack Jack,The Big Gronkowski,0,1,0,1,0,0,1,1,-12.159999999999997,23.439999999999998,12.159999999999997,35.599999999999994,23.439999999999998,1
2019,12,ThreatLevelMidnight,Post Mahomes,97.18,97.18,132.56,35.38,73.31,2,2,Derek Carr (QB) | Aaron Jones Sr. (RB),Jamaal Williams (RB) | Ryan Tannehill (QB),114.62,ThreatLevelMidnight,Post Mahomes,0,1,0,1,0,0,1,1,-17.439999999999998,17.939999999999998,17.439999999999998,35.379999999999995,17.939999999999998,1
2019,13,Post Mahomes,Pop Lockett Drop it,80.32,80.32,115.46,35.14,69.57,3,3,Panthers - DEF (DEF) | Kyler Murray (QB) | Phillip Dorsett II (WR),Bills - DEF (DEF) | Deebo Samuel Sr. (WR) | Deshaun Watson (QB),105.6,Post Mahomes,Pop Lockett Drop it,0,1,0,1,0,0,1,1,-25.28,9.86,25.28,35.14,9.86,1
2021,4,malle_dips_pouches,Post Mahomes,105.64,105.64,140.64,35.0,75.11,4,4,Aaron Jones Sr. (RB) | D'Andre Swift (RB) | Logan Thomas (TE) | Mike Williams (WR),Evan Engram (TE) | James Conner (RB) | Kareem Hunt (RB) | Darrel Williams (RB),129.72,malle_dips_pouches,Post Mahomes,0,1,0,1,0,0,1,1,-24.08,10.919999999999987,24.08,34.999999999999986,10.919999999999987,1
2023,5,You Better Park It,Voldemort,66.72,66.72,101.44,34.72,65.77,2,2,Dak Prescott (QB) | JuJu Smith-Schuster (WR),Cole Kmet (TE) | Jared Goff (QB),78.54,Buttermilk Puuump,Voldemort,0,1,0,1,0,0,1,1,-11.820000000000007,22.89999999999999,11.820000000000007,34.72,22.89999999999999,1
2017,12,Voldemort,Big Sack Jack,91.48,91.48,125.98,34.5,72.61,2,2,Kareem Hunt (RB) | Jerick McKinnon (RB),Marshawn Lynch (RB) | Jamaal Williams (RB),99.28,Voldemort,Big Sack Jack,0,1,0,1,0,0,1,1,-7.799999999999997,26.700000000000003,7.799999999999997,34.5,26.700000000000003,1
2025,5,Joe Mantegna,Voldemort,121.9,121.9,156.24,34.34,78.02,3,3,Kyler Murray (QB) | Alvin Kamara (RB) | Chase Brown (RB),David Montgomery (RB) | Justin Fields (QB) | Michael Carter (RB),122.88,Joe Mantegna,Voldemort,0,1,0,1,0,0,1,1,-0.9799999999999898,33.360000000000014,0.9799999999999898,34.34,33.360000000000014,1
2017,1,Dillon Panthers,Ginger FC,65.24,65.24,99.54,34.3,65.54,3,3,Patriots - DEF (DEF) | Derrick Henry (RB) | Emmanuel Sanders (WR),James White (RB) | Ravens - DEF (DEF) | Theo Riddick (RB),71.94,Dillon Panthers,Ginger FC,0,1,0,1,0,0,1,1,-6.700000000000003,27.60000000000001,6.700000000000003,34.30000000000001,27.60000000000001,1
2019,1,Malle ❤️ 🐸,The Big Gronkowski,108.76,108.76,142.1,33.34,76.54,3,3,Matt Ryan (QB) | David Njoku (TE) | Allen Robinson (WR),Dak Prescott (QB) | Larry Fitzgerald (WR) | T.J. Hockenson (TE),128.42,Malle ❤️ 🐸,The Big Gronkowski,0,1,0,1,0,0,1,1,-19.659999999999982,13.680000000000007,19.659999999999982,33.33999999999999,13.680000000000007,1
2024,8,malle_dips_pouches,The Big Gronkowski,82.36,82.36,114.96,32.6,71.64,4,4,Brandon Aubrey (K) | Joe Burrow (QB) | Jake Ferguson (TE) | DJ Moore (WR),Chris Olave (WR) | Isaiah Likely (TE) | Matthew Stafford (QB) | Cameron Dicker (K),110.34,malle_dips_pouches,The Big Gronkowski,0,1,0,1,0,0,1,1,-27.980000000000004,4.61999999999999,27.980000000000004,32.599999999999994,4.61999999999999,1
2020,1,Big Sack Jack,ThreatLevelMidnight,115.44,115.44,147.94,32.5,78.03,2,2,Evan Engram (TE) | Odell Beckham Jr. (WR),Dallas Goedert (TE) | Sammy Watkins (WR),135.8,Big Sack Jack,ThreatLevelMidnight,0,1,0,1,0,0,1,1,-20.360000000000014,12.139999999999986,20.360000000000014,32.5,12.139999999999986,1
2024,4,Malle ❤️ 🐸,malle_dips_pouches,68.38,68.38,100.78,32.4,67.85,2,2,Kyle Pitts Sr. (TE) | Christian Watson (WR),Josh Downs (WR) | Pat Freiermuth (TE),96.82,Malle ❤️ 🐸,malle_dips_pouches,0,1,0,1,0,0,1,1,-28.439999999999998,3.960000000000008,28.439999999999998,32.400000000000006,3.960000000000008,1
2017,8,PickUpYourBratsMalle,Voldemort,113.12,113.12,145.28,32.16,77.86,3,3,Dak Prescott (QB) | Antonio Brown (WR) | Keenan Allen (WR),Alex Smith (QB) | JuJu Smith-Schuster (WR) | Tyler Lockett (WR),126.62,ThreatLevelMidnight,Voldemort,0,1,0,1,0,0,1,1,-13.5,18.659999999999997,13.5,32.16,18.659999999999997,1
2025,12,The Big Gronkowski,Post Mahomes,108.96,108.96,140.96,32.0,77.3,3,3,Matt Prater (K) | Drake Maye (QB) | Jameson Williams (WR),Dak Prescott (QB) | Darnell Mooney (WR) | Ka'imi Fairbairn (K),112.38,The Big Gronkowski,Post Mahomes,0,1,0,1,0,0,1,1,-3.4200000000000017,28.580000000000013,3.4200000000000017,32.000000000000014,28.580000000000013,1
2018,13,Malle ❤️ 🐸,malle_dips_pouches,54.72,54.72,86.64,31.92,63.16,4,4,Harrison Butker (K) | Andrew Luck (QB) | Tevin Coleman (RB) | Sterling Shepard (WR),Aldrick Rosas (K) | Ben Roethlisberger (QB) | Isaiah Crowell (RB) | Kenyan Drake (RB),72.58,Malle ❤️ 🐸,malle_dips_pouches,0,1,0,1,0,0,1,1,-17.86,14.060000000000002,17.86,31.92,14.060000000000002,1
2018,3,The Big Gronkowski,Joe Mantegna,87.74,87.74,119.4,31.66,73.48,2,2,Philip Rivers (QB) | Rex Burkhead (RB),Alex Smith (QB) | Calvin Ridley (WR),108.16,The Big Gronkowski,Joe Mantegna,0,1,0,1,0,0,1,1,-20.42,11.240000000000009,20.42,31.66000000000001,11.240000000000009,1
2022,6,Uncle Rico,Big Sack Jack,107.82,107.82,139.32,31.5,77.39,4,4,Eno Benjamin (RB) | Will Dissly (TE) | Jakobi Meyers (WR) | Christian Kirk (WR),Alec Pierce (WR) | Kyle Pitts Sr. (TE) | Najee Harris (RB) | Brandon Aiyuk (WR),115.0,Uncle Rico,Big Sack Jack,0,1,0,1,0,0,1,1,-7.180000000000007,24.319999999999993,7.180000000000007,31.5,24.319999999999993,1
2020,10,Ginger FC,Joe Mantegna,76.12,76.12,107.52,31.4,70.8,3,3,Brandin Cooks (WR) | Brandon Aiyuk (WR) | DK Metcalf (WR),Keelan Cole Sr. (WR) | Mike Evans (WR) | Cole Beasley (WR),90.62,Ginger FC,Joe Mantegna,0,1,0,1,0,0,1,1,-14.5,16.89999999999999,14.5,31.39999999999999,16.89999999999999,1
2024,10,Voldemort,The Big Gronkowski,86.6,86.6,117.8,31.2,73.51,2,2,J.K. Dobbins (RB) | DeAndre Hopkins (WR),Calvin Ridley (WR) | Chuba Hubbard (RB),102.62,Voldemort,The Big Gronkowski,0,1,0,1,0,0,1,1,-16.02000000000001,15.179999999999993,16.02000000000001,31.200000000000003,15.179999999999993,1
2019,6,ThreatLevelMidnight,Malle ❤️ 🐸,81.62,81.62,112.72,31.1,72.41,2,2,Aaron Jones Sr. (RB) | Josh Gordon (WR),Golden Tate (WR) | Jamaal Williams (RB),83.62,ThreatLevelMidnight,Malle ❤️ 🐸,0,1,0,1,0,0,1,1,-2.0,29.099999999999994,2.0,31.099999999999994,29.099999999999994,1
2023,11,Uncle Rico,Malle ❤️ 🐸,89.34,89.34,119.88,30.54,74.52,4,4,Seahawks - DEF (DEF) | Joe Burrow (QB) | Josh Jacobs (RB) | A.J. Brown (WR),Alexander Mattison (RB) | Chiefs - DEF (DEF) | Jordan Love (QB) | Romeo Doubs (WR),106.9,Uncle Rico,Malle ❤️ 🐸,0,1,0,1,0,0,1,1,-17.560000000000002,12.97999999999999,17.560000000000002,30.539999999999992,12.97999999999999,1
2021,8,Voldemort,Post Mahomes,99.38,99.38,129.88,30.5,76.52,2,2,Emmanuel Sanders (WR) | Justin Jefferson (WR),Chase Edmonds (RB) | Robert Woods (WR),100.36,Voldemort,Post Mahomes,0,1,0,1,0,0,1,1,-0.980000000000004,29.519999999999996,0.980000000000004,30.5,29.519999999999996,1
2017,13,PickUpYourBratsMalle,Little Red Fournette,97.58,97.58,127.94,30.36,76.27,2,2,Dak Prescott (QB) | Isaiah Crowell (RB),Aaron Jones Sr. (RB) | Alex Smith (QB),100.96,ThreatLevelMidnight,Post Mahomes,0,1,0,1,0,0,1,1,-3.3799999999999955,26.980000000000004,3.3799999999999955,30.36,26.980000000000004,1
2018,3,Voldemort,Malle ❤️ 🐸,82.22,82.22,112.44,30.22,73.12,3,3,Tom Brady (QB) | DeSean Jackson (WR) | Stefon Diggs (WR),Demaryius Thomas (WR) | Quincy Enunwa (WR) | Ryan Fitzpatrick (QB),96.5,Voldemort,Malle ❤️ 🐸,0,1,0,1,0,0,1,1,-14.280000000000001,15.939999999999998,14.280000000000001,30.22,15.939999999999998,1
2019,2,Uncle Rico,Malle ❤️ 🐸,84.12,84.12,114.32,30.2,73.58,4,4,Cam Newton (QB) | Damien Williams (RB) | Michael Gallup (WR) | Davante Adams (WR),Josh Allen (QB) | Matt Breida (RB) | Peyton Barber (RB) | Tyler Boyd (WR),96.4,Uncle Rico,Malle ❤️ 🐸,0,1,0,1,0,0,1,1,-12.280000000000001,17.919999999999987,12.280000000000001,30.19999999999999,17.919999999999987,1
