year,week,fantasy_team,opponent,score,opponent_score,canonical_team,canonical_opponent,margin,win,loss,tie,all_play_wins,all_play_losses,all_play_ties,expected_win_rate,weekly_score_rank,teams_that_week,bad_beat_value,bad_beat,severe_bad_beat,brutal_bad_beat,lucky_win,severe_lucky_win
2024,13,Patty Primetimes,malle_dips_pouches,122.14,137.1,Patty Primetimes,malle_dips_pouches,-14.959999999999994,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2025,5,Voldemort,Joe Mantegna,121.9,122.88,Voldemort,Joe Mantegna,-0.9799999999999898,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2018,1,Voldemort,Big Sack Jack,121.58,123.04,Voldemort,Big Sack Jack,-1.460000000000008,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2021,6,Ginger FC,Uncle Rico,120.6,142.68,Ginger FC,Uncle Rico,-22.080000000000013,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2024,2,Uncle Rico,Malle ❤️ 🐸,120.44,154.42,Uncle Rico,Malle ❤️ 🐸,-33.97999999999999,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2020,4,ThreatLevelMidnight,The Big Gronkowski,119.1,150.1,ThreatLevelMidnight,The Big Gronkowski,-31.0,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2020,10,Patty Primetimes,Pop Lockett Drop it,118.36,121.5,Patty Primetimes,Pop Lockett Drop it,-3.1400000000000006,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2025,14,Post Mahomes,Voldemort,117.7,135.46,Post Mahomes,Voldemort,-17.760000000000005,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2023,1,Post Mahomes,The Big Gronkowski,114.34,148.36,Post Mahomes,The Big Gronkowski,-34.02000000000001,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2021,3,Uncle Rico,ThreatLevelMidnight,114.18,122.22,Uncle Rico,ThreatLevelMidnight,-8.039999999999992,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2020,5,The Big Gronkowski,Pop Lockett Drop it,113.62,121.74,The Big Gronkowski,Pop Lockett Drop it,-8.11999999999999,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2020,12,Ginger FC,Pop Lockett Drop it,112.7,118.94,Ginger FC,Pop Lockett Drop it,-6.239999999999995,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2023,14,ThreatLevelMidnight,malle_dips_pouches,112.36,128.92,ThreatLevelMidnight,malle_dips_pouches,-16.559999999999988,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2023,11,Post Mahomes,Joe Mantegna,112.18,148.34,Post Mahomes,Joe Mantegna,-36.16,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2022,5,Joe Mantegna,malle_dips_pouches,111.52,122.06,Joe Mantegna,malle_dips_pouches,-10.540000000000006,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2023,5,Patty Primetimes,malle_dips_pouches,110.92,112.96,Patty Primetimes,malle_dips_pouches,-2.039999999999992,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2025,10,Pop Lockett Drop it,Ginger FC,110.44,130.8,Pop Lockett Drop it,Ginger FC,-20.360000000000014,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2024,6,Voldemort,Uncle Rico,108.6,127.98,Voldemort,Uncle Rico,-19.38000000000001,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2019,10,ThreatLevelMidnight,Uncle Rico,108.02,134.74,ThreatLevelMidnight,Uncle Rico,-26.720000000000013,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2022,6,Uncle Rico,Big Sack Jack,107.82,115.0,Uncle Rico,Big Sack Jack,-7.180000000000007,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2018,7,Malle ❤️ 🐸,Pop Lockett Drop it,107.34,142.86,Malle ❤️ 🐸,Pop Lockett Drop it,-35.52000000000001,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2018,12,Pop Lockett Drop it,malle_dips_pouches,107.28,153.22,Pop Lockett Drop it,malle_dips_pouches,-45.94,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2024,12,Uncle Rico,Patty Primetimes,106.76,127.5,Uncle Rico,Patty Primetimes,-20.739999999999995,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
