year,week,fantasy_team,opponent,decision_type,player,player_position,lineup_slot,fantasy_points
2020,12,Joe Mantegna,malle_dips_pouches,Should Have Benched,Curtis Samuel,WR,WR,10.2
2020,12,Joe Mantegna,malle_dips_pouches,Should Have Started,Trey Burton,TE,BN,11.7
2020,12,Joe Mantegna,malle_dips_pouches,Should Have Started,Zack Moss,RB,BN,7.8
2020,12,Malle ❤️ 🐸,The Big Gronkowski,Should Have Benched,Ben Roethlisberger,QB,QB,15.54
2020,12,Malle ❤️ 🐸,The Big Gronkowski,Should Have Benched,Alvin Kamara,RB,RB,5.7
2020,12,Malle ❤️ 🐸,The Big Gronkowski,Should Have Benched,Damien Harris,RB,W/R/T,4.7
2020,12,Malle ❤️ 🐸,The Big Gronkowski,Should Have Started,Latavius Murray,RB,BN,25.1
2020,12,Malle ❤️ 🐸,The Big Gronkowski,Should Have Started,Mike Gesicki,TE,BN,10.5
2020,12,Malle ❤️ 🐸,The Big Gronkowski,Should Have Started,Tom Brady,QB,BN,29.7
2020,12,Patty Primetimes,Post Mahomes,Should Have Benched,Josh Allen,QB,QB,18.48
2020,12,Patty Primetimes,Post Mahomes,Should Have Benched,D'Andre Swift,RB,RB,0.0
2020,12,Patty Primetimes,Post Mahomes,Should Have Benched,Travis Fulgham,WR,W/R/T,2.6
2020,12,Patty Primetimes,Post Mahomes,Should Have Started,Adrian Peterson,RB,BN,17.5
2020,12,Patty Primetimes,Post Mahomes,Should Have Started,Jamaal Williams,RB,BN,13.3
2020,12,Patty Primetimes,Post Mahomes,Should Have Started,Matthew Stafford,QB,BN,19.1
2020,12,Pop Lockett Drop it,Ginger FC,Should Have Benched,Josh Jacobs,RB,RB,3.9
2020,12,Pop Lockett Drop it,Ginger FC,Should Have Benched,Stefon Diggs,WR,W/R/T,7.4
2020,12,Pop Lockett Drop it,Ginger FC,Should Have Started,Devin Singletary,RB,BN,9.7
2020,12,Pop Lockett Drop it,Ginger FC,Should Have Started,Will Fuller V,WR,BN,32.1
2020,12,Post Mahomes,Patty Primetimes,Should Have Benched,Kendall Hinton,FLEX,W/R/T,-0.78
2020,12,Post Mahomes,Patty Primetimes,Should Have Started,David Montgomery,RB,BN,22.8
2020,12,The Big Gronkowski,Malle ❤️ 🐸,Should Have Benched,Packers - DEF,DEF,DEF,15.0
2020,12,The Big Gronkowski,Malle ❤️ 🐸,Should Have Benched,Jared Goff,QB,QB,5.02
2020,12,The Big Gronkowski,Malle ❤️ 🐸,Should Have Benched,Darius Slayton,WR,W/R/T,0.0
