year,fantasy_team,games,wins,losses,ties,actual_win_value,expected_wins,points_for,points_against,avg_points_for,strength_of_schedule,all_play_wins,all_play_losses,all_play_ties,opponent_top_3_weeks,opponent_bottom_3_weeks,own_top_3_weeks,own_bottom_3_weeks,close_games_5,close_games_10,close_game_5_win_value,close_game_10_win_value,schedule_luck_wins,actual_win_pct,expected_win_pct,all_play_win_pct,close_game_5_win_pct,close_game_10_win_pct,sos_percentile,sos_rank_hardest,luck_rank,luck_label
2020,Malle ❤️ 🐸,13,8.0,5.0,0.0,8.0,9.545454545454545,1613.8,1498.24,124.13846153846154,115.24923076923076,105,38,0,4,2,8,1,2,5,1.0,3.0,-1.545454545454545,61.53846153846154,73.42657342657343,73.42657342657343,50.0,60.0,75.0,4,11,Unlucky
2020,Patty Primetimes,13,3.0,10.0,0.0,3.0,4.2727272727272725,1264.36,1487.94,97.25846153846153,114.45692307692308,47,96,0,4,1,2,5,1,3,0.0,1.0,-1.2727272727272725,23.076923076923077,32.86713286713287,32.86713286713287,0.0,33.33333333333333,66.66666666666666,5,9,Unlucky
2020,Pop Lockett Drop it,13,10.0,3.0,0.0,10.0,7.818181818181818,1524.84,1454.32,117.2953846153846,111.87076923076923,86,57,0,2,3,4,3,1,4,1.0,4.0,2.1818181818181817,76.92307692307693,60.13986013986015,60.13986013986013,100.0,100.0,58.333333333333336,6,2,Lucky
2020,Post Mahomes,13,6.0,7.0,0.0,6.0,5.909090909090909,1437.74,1303.58,110.59538461538462,100.27538461538461,65,78,0,2,5,2,3,0,4,0.0,1.0,0.09090909090909083,46.15384615384615,45.45454545454545,45.45454545454545,,25.0,16.666666666666664,11,7,Neutral
2020,The Big Gronkowski,13,8.0,5.0,0.0,8.0,6.545454545454545,1456.5,1424.62,112.03846153846153,109.58615384615383,72,71,0,2,5,3,3,2,4,2.0,3.0,1.454545454545455,61.53846153846154,50.34965034965035,50.349650349650354,100.0,75.0,41.66666666666667,8,3,Lucky
2020,ThreatLevelMidnight,13,3.0,10.0,0.0,3.0,6.818181818181818,1444.0,1681.46,111.07692307692308,129.34307692307692,75,68,0,7,0,3,2,2,2,0.0,0.0,-3.8181818181818183,23.076923076923077,52.44755244755245,52.44755244755245,0.0,0.0,100.0,1,12,Cursed
2020,Uncle Rico,13,8.0,5.0,0.0,8.0,5.7272727272727275,1397.84,1289.48,107.52615384615385,99.19076923076923,63,80,0,2,6,2,4,2,4,1.0,1.0,2.2727272727272725,61.53846153846154,44.05594405594406,44.05594405594406,50.0,25.0,8.333333333333332,12,1,Lucky
2020,Voldemort,13,9.0,4.0,0.0,9.0,8.0,1559.46,1341.8,119.95846153846153,103.21538461538461,88,55,0,2,7,4,2,1,4,0.0,1.0,1.0,69.23076923076923,61.53846153846154,61.53846153846154,0.0,25.0,25.0,10,5,Lucky
2020,malle_dips_pouches,13,5.0,8.0,0.0,5.0,5.7272727272727275,1400.02,1525.52,107.69384615384615,117.34769230769231,63,80,0,6,3,2,2,0,2,0.0,1.0,-0.7272727272727275,38.46153846153847,44.05594405594406,44.05594405594406,,50.0,91.66666666666666,2,8,Neutral
2021,Big Sack Jack,14,3.0,11.0,0.0,3.0,5.0,1405.86,1671.22,100.41857142857143,119.37285714285714,55,99,0,6,3,2,5,0,3,0.0,0.0,-2.0,21.428571428571427,35.714285714285715,35.714285714285715,,0.0,91.66666666666666,2,9,Unlucky
2021,Ginger FC,14,5.0,9.0,0.0,5.0,7.545454545454545,1625.3999999999999,1695.5,116.1,121.10714285714286,83,71,0,7,2,4,4,1,2,0.0,1.0,-2.545454545454545,35.714285714285715,53.896103896103895,53.896103896103895,0.0,50.0,100.0,1,12,Cursed
2021,Joe Mantegna,14,9.0,5.0,0.0,9.0,7.181818181818182,1573.76,1410.58,112.41142857142857,100.75571428571428,79,75,0,4,7,4,3,0,3,0.0,3.0,1.8181818181818183,64.28571428571429,51.298701298701296,51.298701298701296,,100.0,25.0,10,3,Lucky
2021,Malle ❤️ 🐸,14,11.0,3.0,0.0,11.0,7.636363636363637,1586.24,1371.46,113.30285714285715,97.96142857142857,84,70,0,1,6,3,2,3,6,3.0,4.0,3.3636363636363633,78.57142857142857,54.545454545454554,54.54545454545454,100.0,66.66666666666666,8.333333333333332,12,1,Extremely Lucky
2021,Patty Primetimes,14,6.0,8.0,0.0,6.0,6.090909090909091,1462.18,1615.56,104.44142857142857,115.39714285714285,67,87,0,4,2,1,6,1,4,1.0,3.0,-0.09090909090909083,42.857142857142854,43.506493506493506,43.506493506493506,100.0,75.0,75.0,4,7,Neutral
2021,Pop Lockett Drop it,14,7.0,7.0,0.0,7.0,5.545454545454545,1443.06,1407.3799999999999,103.07571428571428,100.52714285714285,61,93,0,1,3,3,5,1,3,0.0,2.0,1.454545454545455,50.0,39.6103896103896,39.61038961038961,0.0,66.66666666666666,16.666666666666664,11,4,Lucky
2021,Post Mahomes,14,8.0,6.0,0.0,8.0,7.454545454545454,1592.92,1606.62,113.78,114.75857142857141,82,72,0,5,3,3,2,1,3,1.0,2.0,0.5454545454545459,57.14285714285714,53.246753246753244,53.246753246753244,100.0,66.66666666666666,66.66666666666666,5,5,Neutral
2021,The Big Gronkowski,14,7.0,7.0,0.0,7.0,9.454545454545455,1696.54,1635.06,121.18142857142857,116.78999999999999,104,50,0,4,2,7,2,1,4,0.0,1.0,-2.454545454545455,50.0,67.53246753246754,67.53246753246754,0.0,25.0,83.33333333333334,3,11,Unlucky
2021,ThreatLevelMidnight,14,11.0,3.0,0.0,11.0,8.090909090909092,1618.28,1468.22,115.59142857142857,104.87285714285714,89,65,0,1,4,4,2,1,3,1.0,3.0,2.9090909090909083,78.57142857142857,57.7922077922078,57.7922077922078,100.0,100.0,33.33333333333333,9,2,Extremely Lucky
2021,Uncle Rico,14,4.0,10.0,0.0,4.0,6.181818181818182,1505.98,1600.5,107.57000000000001,114.32142857142857,68,86,0,3,3,3,5,0,4,0.0,0.0,-2.1818181818181817,28.57142857142857,44.15584415584416,44.15584415584416,,0.0,50.0,7,10,Unlucky
2021,Voldemort,14,9.0,5.0,0.0,9.0,8.727272727272727,1683.0,1484.4,120.21428571428571,106.02857142857144,96,58,0,2,5,6,1,2,3,0.0,1.0,0.2727272727272734,64.28571428571429,62.33766233766234,62.33766233766234,0.0,33.33333333333333,41.66666666666667,8,6,Neutral
2021,malle_dips_pouches,14,4.0,10.0,0.0,4.0,5.090909090909091,1374.7,1601.42,98.19285714285715,114.38714285714286,56,98,0,4,2,2,5,1,2,0.0,0.0,-1.0909090909090908,28.57142857142857,36.36363636363637,36.36363636363637,0.0,0.0,58.333333333333336,6,8,Unlucky
2022,Big Sack Jack,14,10.0,4.0,0.0,10.0,8.272727272727273,1581.92,1469.26,112.99428571428572,104.94714285714285,91,63,0,2,4,4,1,0,5,0.0,3.0,1.7272727272727266,71.42857142857143,59.09090909090909,59.09090909090909,,60.0,33.33333333333333,9,2,Lucky
2022,Ginger FC,14,8.0,6.0,0.0,8.0,6.818181818181818,1547.14,1477.58,110.51,105.54142857142857,75,79,0,3,4,4,4,1,5,1.0,4.0,1.1818181818181817,57.14285714285714,48.701298701298704,48.701298701298704,100.0,80.0,41.66666666666667,8,3,Lucky
2022,Joe Mantegna,14,8.0,6.0,0.0,8.0,7.363636363636363,1480.76,1435.44,105.76857142857143,102.53142857142858,81,73,0,3,5,0,2,5,8,3.0,5.0,0.6363636363636367,57.14285714285714,52.5974025974026,52.5974025974026,60.0,62.5,16.666666666666664,11,6,Neutral
2022,Malle ❤️ 🐸,14,4.0,10.0,0.0,4.0,5.7272727272727275,1444.3799999999999,1594.3400000000001,103.16999999999999,113.88142857142859,63,91,0,3,3,3,5,4,5,1.0,2.0,-1.7272727272727275,28.57142857142857,40.909090909090914,40.909090909090914,25.0,40.0,91.66666666666666,2,11,Unlucky
2022,Patty Primetimes,14,3.0,11.0,0.0,3.0,4.636363636363637,1349.1200000000001,1494.0,96.36571428571429,106.71428571428571,51,103,0,4,3,1,5,3,6,0.0,1.0,-1.6363636363636367,21.428571428571427,33.116883116883116,33.116883116883116,0.0,16.666666666666664,58.333333333333336,6,10,Unlucky
2022,Pop Lockett Drop it,14,4.0,10.0,0.0,4.0,3.6363636363636362,1315.6,1486.6,93.97142857142856,106.18571428571428,40,114,0,3,5,1,7,2,7,1.0,3.0,0.36363636363636376,28.57142857142857,25.97402597402597,25.97402597402597,50.0,42.857142857142854,50.0,7,7,Neutral
2022,Post Mahomes,14,7.0,7.0,0.0,7.0,4.545454545454546,1380.72,1418.88,98.62285714285714,101.34857142857143,50,104,0,1,4,1,7,1,4,1.0,3.0,2.454545454545454,50.0,32.46753246753247,32.467532467532465,100.0,75.0,8.333333333333332,12,1,Lucky
2022,The Big Gronkowski,14,9.0,5.0,0.0,9.0,8.136363636363637,1585.04,1542.28,113.21714285714286,110.16285714285713,89,64,1,4,5,4,2,1,2,1.0,1.0,0.8636363636363633,64.28571428571429,58.11688311688312,58.11688311688312,100.0,50.0,75.0,4,4,Neutral
2022,ThreatLevelMidnight,14,8.0,6.0,0.0,8.0,7.2727272727272725,1495.22,1496.62,106.80142857142857,106.90142857142857,80,74,0,4,2,5,5,3,3,2.0,2.0,0.7272727272727275,57.14285714285714,51.94805194805194,51.94805194805194,66.66666666666666,66.66666666666666,66.66666666666666,5,5,Neutral
2022,Uncle Rico,14,5.0,9.0,0.0,5.0,8.727272727272727,1614.04,1769.76,115.28857142857143,126.41142857142857,96,58,0,7,0,5,1,0,3,0.0,0.0,-3.7272727272727266,35.714285714285715,62.33766233766234,62.33766233766234,,0.0,100.0,1,12,Cursed
2022,Voldemort,14,10.0,4.0,0.0,10.0,10.227272727272727,1744.96,1569.98,124.64,112.14142857142858,112,41,1,6,3,8,1,3,3,2.0,2.0,-0.22727272727272663,71.42857142857143,73.05194805194805,73.05194805194806,66.66666666666666,66.66666666666666,83.33333333333334,3,8,Neutral
2022,malle_dips_pouches,14,8.0,6.0,0.0,8.0,8.636363636363637,1657.12,1441.28,118.36571428571428,102.94857142857143,95,59,0,2,4,6,2,3,3,1.0,1.0,-0.6363636363636367,57.14285714285714,61.68831168831169,61.68831168831169,33.33333333333333,33.33333333333333,25.0,10,9,Neutral
2023,Ginger FC,14,4.0,10.0,0.0,4.0,4.0,1268.1,1472.12,90.57857142857142,105.15142857142857,44,110,0,1,2,2,8,2,3,1.0,1.0,0.0,28.57142857142857,28.57142857142857,28.57142857142857,50.0,33.33333333333333,33.33333333333333,9,5,Neutral
2023,Joe Mantegna,14,13.0,1.0,0.0,13.0,8.909090909090908,1639.8,1363.54,117.12857142857142,97.39571428571428,98,56,0,1,7,6,2,4,5,3.0,4.0,4.090909090909092,92.85714285714286,63.63636363636363,63.63636363636363,75.0,80.0,8.333333333333332,12,1,Extremely Lucky
2023,Malle ❤️ 🐸,14,7.0,7.0,0.0,7.0,8.09090909090909,1546.78,1477.0,110.48428571428572,105.5,89,65,0,4,5,2,1,2,4,1.0,2.0,-1.09090909090909,50.0,57.79220779220778,57.7922077922078,50.0,50.0,50.0,7,10,Unlucky
2023,Patty Primetimes,14,5.0,9.0,0.0,5.0,6.0,1440.44,1475.62,102.88857142857144,105.40142857142857,66,88,0,1,2,1,3,3,8,0.0,2.0,-1.0,35.714285714285715,42.857142857142854,42.857142857142854,0.0,25.0,41.66666666666667,8,9,Unlucky
2023,Pop Lockett Drop it,14,5.0,9.0,0.0,5.0,6.545454545454545,1478.18,1600.1,105.58428571428571,114.29285714285713,72,82,0,4,1,4,4,1,2,0.0,0.0,-1.545454545454545,35.714285714285715,46.75324675324675,46.75324675324675,0.0,0.0,100.0,1,11,Unlucky
2023,Post Mahomes,14,8.0,6.0,0.0,8.0,10.09090909090909,1671.7,1547.64,119.40714285714286,110.5457142857143,111,43,0,5,2,6,0,1,3,0.0,1.0,-2.09090909090909,57.14285714285714,72.07792207792207,72.07792207792207,0.0,33.33333333333333,75.0,4,12,Unlucky
2023,The Big Gronkowski,14,7.0,7.0,0.0,7.0,7.0,1552.64,1554.24,110.90285714285714,111.01714285714286,77,77,0,3,2,4,4,2,3,1.0,2.0,0.0,50.0,50.0,50.0,50.0,66.66666666666666,83.33333333333334,3,5,Neutral
2023,ThreatLevelMidnight,14,10.0,4.0,0.0,10.0,9.727272727272728,1672.46,1458.34,119.46142857142857,104.16714285714285,107,47,0,3,4,6,0,3,3,2.0,2.0,0.2727272727272716,71.42857142857143,69.48051948051949,69.48051948051948,66.66666666666666,66.66666666666666,25.0,10,4,Neutral
2023,Uncle Rico,14,4.0,10.0,0.0,4.0,4.818181818181818,1374.4,1494.72,98.17142857142858,106.76571428571428,53,101,0,4,6,2,6,1,2,0.0,0.0,-0.8181818181818183,28.57142857142857,34.41558441558442,34.41558441558442,0.0,0.0,58.333333333333336,6,7,Neutral
2023,Voldemort,14,7.0,7.0,0.0,7.0,7.818181818181818,1546.84,1582.92,110.48857142857142,113.0657142857143,86,68,0,7,3,6,5,2,2,0.0,0.0,-0.8181818181818183,50.0,55.84415584415584,55.84415584415584,0.0,0.0,91.66666666666666,2,7,Neutral
2023,You Better Park It,14,6.0,8.0,0.0,6.0,5.7272727272727275,1430.48,1454.44,102.17714285714285,103.88857142857144,63,91,0,3,4,2,4,3,3,2.0,2.0,0.2727272727272725,42.857142857142854,40.909090909090914,40.909090909090914,66.66666666666666,66.66666666666666,16.666666666666664,11,3,Neutral
2023,malle_dips_pouches,14,8.0,6.0,0.0,8.0,5.2727272727272725,1396.32,1537.46,99.73714285714286,109.81857142857143,58,96,0,6,4,1,5,4,6,4.0,6.0,2.7272727272727275,57.14285714285714,37.662337662337656,37.66233766233766,100.0,100.0,66.66666666666666,5,2,Extremely Lucky
2024,Buttermilk Puuump,14,8.0,6.0,0.0,8.0,7.818181818181818,1545.58,1419.94,110.39857142857143,101.42428571428572,86,68,0,4,5,5,4,1,2,0.0,1.0,0.18181818181818166,57.14285714285714,55.84415584415584,55.84415584415584,0.0,50.0,16.666666666666664,11,6,Neutral
2024,Ginger FC,14,3.0,11.0,0.0,3.0,5.636363636363637,1437.88,1581.1399999999999,102.7057142857143,112.93857142857142,62,92,0,5,2,0,3,2,4,0.0,1.0,-2.6363636363636367,21.428571428571427,40.25974025974026,40.25974025974026,0.0,25.0,83.33333333333334,3,12,Cursed
2024,Joe Mantegna,14,7.0,7.0,0.0,7.0,6.090909090909091,1464.48,1456.04,104.60571428571428,104.00285714285714,67,87,0,2,2,2,4,0,2,0.0,1.0,0.9090909090909092,50.0,43.506493506493506,43.506493506493506,,50.0,33.33333333333333,9,4,Neutral
2024,Malle ❤️ 🐸,14,7.0,7.0,0.0,7.0,5.909090909090909,1404.22,1553.6,100.30142857142857,110.97142857142856,65,89,0,3,5,1,4,0,3,0.0,3.0,1.0909090909090908,50.0,42.20779220779221,42.2077922077922,,100.0,58.333333333333336,6,3,Lucky
2024,Patty Primetimes,14,3.0,11.0,0.0,3.0,5.318181818181818,1399.48,1669.94,99.96285714285715,119.28142857142858,58,95,1,7,2,2,6,1,4,0.0,1.0,-2.3181818181818183,21.428571428571427,37.98701298701299,37.98701298701299,0.0,25.0,100.0,1,11,Unlucky
2024,Pop Lockett Drop it,14,7.0,7.0,0.0,7.0,7.636363636363637,1613.3600000000001,1570.8600000000001,115.24000000000001,112.20428571428572,84,70,0,5,3,6,4,0,1,0.0,0.0,-0.6363636363636367,50.0,54.545454545454554,54.54545454545454,,0.0,75.0,4,9,Neutral
2024,Post Mahomes,14,8.0,6.0,0.0,8.0,8.227272727272727,1605.44,1583.8,114.67428571428572,113.12857142857142,90,63,1,5,4,6,0,1,2,1.0,1.0,-0.22727272727272663,57.14285714285714,58.76623376623377,58.76623376623377,100.0,50.0,91.66666666666666,2,7,Neutral
2024,The Big Gronkowski,14,10.0,4.0,0.0,10.0,7.2727272727272725,1515.6399999999999,1395.72,108.25999999999999,99.69428571428571,80,74,0,1,4,2,2,2,2,2.0,2.0,2.7272727272727275,71.42857142857143,51.94805194805194,51.94805194805194,100.0,100.0,8.333333333333332,12,1,Extremely Lucky
2024,ThreatLevelMidnight,14,7.0,7.0,0.0,7.0,8.545454545454545,1621.18,1521.0,115.79857142857144,108.64285714285714,94,60,0,3,3,5,2,2,3,0.0,0.0,-1.545454545454545,50.0,61.038961038961034,61.038961038961034,0.0,0.0,50.0,7,10,Unlucky
2024,Uncle Rico,14,9.0,5.0,0.0,9.0,8.545454545454545,1668.86,1447.68,119.2042857142857,103.4057142857143,94,60,0,2,5,6,4,0,2,0.0,1.0,0.45454545454545503,64.28571428571429,61.038961038961034,61.038961038961034,,50.0,25.0,10,5,Neutral
2024,Voldemort,14,6.0,8.0,0.0,6.0,6.2727272727272725,1506.14,1566.54,107.58142857142857,111.89571428571428,69,85,0,3,2,2,4,2,3,2.0,2.0,-0.2727272727272725,42.857142857142854,44.8051948051948,44.8051948051948,100.0,66.66666666666666,66.66666666666666,5,8,Neutral
2024,malle_dips_pouches,14,9.0,5.0,0.0,9.0,6.7272727272727275,1488.98,1504.98,106.35571428571428,107.49857142857142,74,80,0,2,5,5,5,1,2,1.0,2.0,2.2727272727272725,64.28571428571429,48.05194805194805,48.05194805194805,100.0,100.0,41.66666666666667,8,2,Lucky
2025,Buttermilk Puuump,14,9.0,5.0,0.0,9.0,8.272727272727273,1574.8,1458.78,112.48571428571428,104.19857142857143,91,63,0,2,4,4,2,3,6,1.0,3.0,0.7272727272727266,64.28571428571429,59.09090909090909,59.09090909090909,33.33333333333333,50.0,25.0,10,3,Neutral
2025,Ginger FC,14,7.0,7.0,0.0,7.0,7.2727272727272725,1515.8,1537.1,108.27142857142857,109.79285714285713,80,74,0,3,3,3,3,1,6,1.0,3.0,-0.2727272727272725,50.0,51.94805194805194,51.94805194805194,100.0,50.0,66.66666666666666,5,8,Neutral
2025,Joe Mantegna,14,7.0,7.0,0.0,7.0,6.909090909090909,1510.76,1433.32,107.91142857142857,102.38,76,78,0,2,4,3,4,3,3,1.0,1.0,0.09090909090909083,50.0,49.35064935064935,49.35064935064935,33.33333333333333,33.33333333333333,16.666666666666664,11,7,Neutral
2025,Malle ❤️ 🐸,14,5.0,9.0,0.0,5.0,6.090909090909091,1447.16,1584.6200000000001,103.36857142857143,113.18714285714286,67,87,0,6,4,3,4,0,0,0.0,0.0,-1.0909090909090908,35.714285714285715,43.506493506493506,43.506493506493506,,,91.66666666666666,2,10,Unlucky
2025,Patty Primetimes,14,4.0,10.0,0.0,4.0,5.363636363636363,1356.06,1614.58,96.86142857142856,115.32714285714285,59,95,0,6,3,1,5,1,4,0.0,1.0,-1.3636363636363633,28.57142857142857,38.31168831168831,38.311688311688314,0.0,25.0,100.0,1,11,Unlucky
2025,Pop Lockett Drop it,14,5.0,9.0,0.0,5.0,7.181818181818182,1553.28,1557.88,110.94857142857143,111.27714285714286,79,75,0,5,2,4,4,1,1,0.0,0.0,-2.1818181818181817,35.714285714285715,51.298701298701296,51.298701298701296,0.0,0.0,83.33333333333334,3,12,Unlucky
2025,Post Mahomes,14,10.0,4.0,0.0,10.0,8.909090909090908,1626.8799999999999,1498.84,116.20571428571428,107.05999999999999,98,56,0,4,4,4,0,3,3,3.0,3.0,1.0909090909090917,71.42857142857143,63.63636363636363,63.63636363636363,100.0,100.0,41.66666666666667,8,2,Lucky
