year,week,fantasy_team,opponent,actual_score,yahoo_team_score,optimal_score,points_left_on_bench,lineup_efficiency_pct,avoidable_start_count,missed_start_count,should_have_benched,should_have_started
2024,12,Pop Lockett Drop it,Ginger FC,102.78,102.78,121.58,18.8,84.54,2,2,Commanders - DEF (DEF) | Jayden Reed (WR),Roschon Johnson (DEF) | Jonnu Smith (TE)
2024,12,Post Mahomes,Joe Mantegna,97.28,97.28,108.08,10.8,90.01,1,1,Cedric Tillman (WR),Michael Pittman Jr. (WR)
2024,12,The Big Gronkowski,ThreatLevelMidnight,109.02,109.02,110.06,1.04,99.06,2,2,Justin Herbert (QB) | Ricky Pearsall (WR),Ja'Marr Chase (WR) | Baker Mayfield (QB)
2024,12,ThreatLevelMidnight,The Big Gronkowski,105.42,105.42,105.42,0.0,100.0,1,1,Isaiah Likely (TE),Jake Ferguson (TE)
2024,12,Uncle Rico,Patty Primetimes,127.5,127.5,140.9,13.4,90.49,1,1,Tyrone Tracy Jr. (RB),Tony Pollard (RB)
2024,12,Voldemort,malle_dips_pouches,88.8,88.8,138.0,49.2,64.35,4,4,Brian Robinson (RB) | Sam LaPorta (TE) | Rhamondre Stevenson (RB) | Josh Downs (WR),Jaylen Waddle (WR) | Courtland Sutton (WR) | Antonio Gibson (RB) | Pat Freiermuth (TE)
2024,12,malle_dips_pouches,Voldemort,99.32,99.32,114.92,15.6,86.43,2,2,Jonathan Taylor (RB) | J.K. Dobbins (RB),DeAndre Hopkins (WR) | Chuba Hubbard (RB)
2024,13,Buttermilk Puuump,Pop Lockett Drop it,158.18,158.18,160.58,2.4,98.51,1,1,David Montgomery (RB),Jonnu Smith (TE)
2024,13,Ginger FC,The Big Gronkowski,105.86,105.86,112.86,7.0,93.8,1,1,Cade Otton (TE),Dallas Goedert (TE)
2024,13,Joe Mantegna,Voldemort,97.62,97.62,104.82,7.2,93.13,2,2,Kenneth Walker III (RB) | Calvin Ridley (WR),Travis Etienne Jr. (RB) | DeAndre Hopkins (WR)
2024,13,Malle ❤️ 🐸,Uncle Rico,88.04,88.04,104.34,16.3,84.38,2,2,Tank Dell (FLEX) | Jauan Jennings (WR),Zach Charbonnet (RB) | Davante Adams (WR)
2024,13,Patty Primetimes,malle_dips_pouches,122.14,122.14,147.48,25.34,82.82,3,3,Jayden Daniels (QB) | CeeDee Lamb (WR) | Cooper Kupp (WR),Xavier Worthy (WR) | Ladd McConkey (WR) | Jameis Winston (QB)
2024,13,Pop Lockett Drop it,Buttermilk Puuump,139.74,139.74,165.94,26.2,84.21,1,1,Amon-Ra St. Brown (WR),Jerry Jeudy (WR)
2024,13,Post Mahomes,ThreatLevelMidnight,113.58,113.58,120.08,6.5,94.59,2,2,Isiah Pacheco (RB) | Deebo Samuel Sr. (WR),Taysom Hill (TE) | Michael Pittman Jr. (WR)
2024,13,The Big Gronkowski,Ginger FC,119.06,119.06,131.36,12.3,90.64,1,1,Jake Ferguson (TE),Isaiah Likely (TE)
2024,13,ThreatLevelMidnight,Post Mahomes,91.3,91.3,100.9,9.6,90.49,2,2,Baker Mayfield (QB) | Gus Edwards (RB),Jaylen Warren (RB) | Kyler Murray (QB)
2024,13,Uncle Rico,Malle ❤️ 🐸,81.22,81.22,111.12,29.9,73.09,3,3,Vikings - DEF (DEF) | George Kittle (TE) | Tyler Lockett (WR),Jaleel McLaughlin (RB) | Ray-Ray McCloud III (WR) | Chargers - DEF (DEF)
2024,13,Voldemort,Joe Mantegna,130.4,130.4,138.8,8.4,93.95,2,2,Evan Engram (TE) | Malik Nabers (WR),Dalton Schultz (TE) | Jakobi Meyers (WR)
2024,13,malle_dips_pouches,Patty Primetimes,137.1,137.1,143.8,6.7,95.34,1,1,A.J. Brown (WR),Pat Freiermuth (TE)
2024,14,Buttermilk Puuump,The Big Gronkowski,105.66,105.66,113.16,7.5,93.37,2,2,Bills - DEF (DEF) | DJ Moore (WR),Christian Watson (WR) | Broncos - DEF (DEF)
2024,14,Ginger FC,Post Mahomes,99.04,99.04,99.04,0.0,100.0,0,0,,
2024,14,Joe Mantegna,malle_dips_pouches,126.18,126.18,126.18,0.0,100.0,0,0,,
2024,14,Malle ❤️ 🐸,Patty Primetimes,124.98,124.98,128.38,3.4,97.35,1,1,Tony Pollard (RB),Tyrone Tracy Jr. (RB)
2024,14,Patty Primetimes,Malle ❤️ 🐸,103.32,103.32,115.42,12.1,89.52,2,2,Cole Kmet (TE) | Tyler Lockett (WR),Ray-Ray McCloud III (WR) | Rashid Shaheed (WR)
2024,14,Pop Lockett Drop it,Uncle Rico,125.8,125.8,125.8,0.0,100.0,0,0,,
2024,14,Post Mahomes,Ginger FC,103.32,103.32,112.52,9.2,91.82,1,1,Tee Higgins (WR),Amari Cooper (WR)
2024,14,The Big Gronkowski,Buttermilk Puuump,133.32,133.32,181.78,48.46,73.34,3,3,Titans - DEF (DEF) | Keenan Allen (WR) | Amon-Ra St. Brown (WR),Jordan Addison (WR) | Aaron Rodgers (DEF) | Jerry Jeudy (WR)
2024,14,ThreatLevelMidnight,Voldemort,176.08,176.08,177.88,1.8,98.99,1,1,Calvin Ridley (WR),DeAndre Hopkins (WR)
2024,14,Uncle Rico,Pop Lockett Drop it,94.02,94.02,116.42,22.4,80.76,3,3,Trey McBride (TE) | Jayden Reed (WR) | Mike Evans (WR),DeVonta Smith (WR) | Rome Odunze (WR) | Jonnu Smith (TE)
2024,14,Voldemort,ThreatLevelMidnight,148.6,148.6,157.8,9.2,94.17,2,2,Jaylen Warren (RB) | DK Metcalf (WR),Gus Edwards (RB) | Adam Thielen (WR)
2024,14,malle_dips_pouches,Joe Mantegna,57.44,57.44,86.44,29.0,66.45,3,3,Bucky Irving (RB) | Demarcus Robinson (FLEX) | George Pickens (WR),Jerome Ford (RB) | Garrett Wilson (WR) | Jakobi Meyers (WR)
2025,1,Buttermilk Puuump,Ginger FC,102.82,102.82,129.62,26.8,79.32,3,3,DeVonta Smith (WR) | Tyreek Hill (WR) | Davante Adams (WR),Travis Etienne Jr. (RB) | Chris Olave (WR) | Michael Pittman Jr. (WR)
2025,1,Ginger FC,Buttermilk Puuump,93.7,93.7,114.32,20.62,81.96,2,2,Jared Goff (QB) | George Pickens (WR),Jordan Love (QB) | Deebo Samuel Sr. (WR)
2025,1,Joe Mantegna,ThreatLevelMidnight,83.04,83.04,104.62,21.58,79.37,4,4,Lions - DEF (DEF) | Bo Nix (QB) | Omarion Hampton (RB) | Ja'Marr Chase (WR),Jacory Croskey-Merritt (RB) | Tyler Warren (TE) | Jayden Higgins (DEF) | Trevor Lawrence (QB)
2025,1,Malle ❤️ 🐸,Patty Primetimes,140.36,140.36,154.66,14.3,90.75,2,2,Ladd McConkey (WR) | DK Metcalf (WR),Keon Coleman (WR) | J.K. Dobbins (RB)
2025,1,Patty Primetimes,Malle ❤️ 🐸,74.72,74.72,78.48,3.76,95.21,2,2,Jayden Daniels (QB) | Rashid Shaheed (WR),Brock Purdy (QB) | Khalil Shakir (WR)
2025,1,Pop Lockett Drop it,malle_dips_pouches,89.68,89.68,96.18,6.5,93.24,2,2,Mike Evans (WR) | Calvin Ridley (WR),Stefon Diggs (WR) | Zach Ertz (TE)
2025,1,Post Mahomes,The Big Gronkowski,125.82,125.82,129.02,3.2,97.52,1,1,Tee Higgins (WR),Jordan Mason (RB)
2025,1,The Big Gronkowski,Post Mahomes,72.68,72.68,83.88,11.2,86.65,2,2,T.J. Hockenson (TE) | A.J. Brown (WR),Hunter Henry (TE) | Braelon Allen (RB)
2025,1,ThreatLevelMidnight,Joe Mantegna,100.88,100.88,108.28,7.4,93.17,1,1,Xavier Worthy (WR),Tony Pollard (RB)
2025,1,Uncle Rico,Voldemort,117.12,117.12,130.62,13.5,89.66,3,3,Kyler Murray (QB) | Chase Brown (RB) | Justin Jefferson (WR),Jaylen Warren (RB) | Keenan Allen (WR) | Justin Fields (QB)
2025,1,Voldemort,Uncle Rico,93.92,93.92,121.42,27.5,77.35,3,3,Joe Burrow (QB) | Terry McLaurin (WR) | Jaylen Waddle (WR),Zach Charbonnet (RB) | J.J. McCarthy (QB) | Jerry Jeudy (WR)
2025,1,malle_dips_pouches,Pop Lockett Drop it,119.26,119.26,123.96,4.7,96.21,2,2,Kenneth Walker III (RB) | Tetairoa McMillan (WR),Cedric Tillman (WR) | Brian Robinson (RB)
2025,2,Buttermilk Puuump,malle_dips_pouches,134.16,134.16,155.16,21.0,86.47,2,2,Breece Hall (RB) | Aaron Jones Sr. (RB),Deebo Samuel Sr. (WR) | Nick Chubb (RB)
2025,2,Ginger FC,Joe Mantegna,98.98,98.98,113.68,14.7,87.07,2,2,Derrick Henry (RB) | DeVonta Smith (WR),Travis Etienne Jr. (RB) | Chris Olave (WR)
2025,2,Joe Mantegna,Ginger FC,157.44,157.44,164.64,7.2,95.63,3,3,Bo Nix (QB) | Jacory Croskey-Merritt (RB) | Zay Flowers (WR),RJ Harvey (RB) | Trevor Lawrence (QB) | Jauan Jennings (WR)
2025,2,Malle ❤️ 🐸,Voldemort,79.4,79.4,83.9,4.5,94.64,1,1,Isiah Pacheco (RB),Jerome Ford (RB)
2025,2,Patty Primetimes,Post Mahomes,92.58,92.58,102.48,9.9,90.34,2,2,Broncos - DEF (DEF) | Garrett Wilson (WR),Buccaneers - DEF (DEF) | Cam Skattebo (RB)
2025,2,Pop Lockett Drop it,Uncle Rico,97.24,97.24,112.54,15.3,86.4,2,2,Terry McLaurin (WR) | Jerry Jeudy (WR),Jaylen Waddle (WR) | Bhayshul Tuten (RB)
2025,2,Post Mahomes,Patty Primetimes,95.22,95.22,119.28,24.06,79.83,2,2,Josh Allen (QB) | Courtland Sutton (WR),J.K. Dobbins (RB) | Caleb Williams (QB)
2025,2,The Big Gronkowski,ThreatLevelMidnight,101.2,101.2,110.7,9.5,91.42,1,1,Tony Pollard (RB),Rhamondre Stevenson (RB)
2025,2,ThreatLevelMidnight,The Big Gronkowski,95.74,95.74,99.3,3.56,96.41,2,2,Cowboys - DEF (DEF) | Dak Prescott (QB),Drake Maye (QB) | Hunter Henry (DEF)
2025,2,Uncle Rico,Pop Lockett Drop it,130.4,130.4,165.4,35.0,78.84,2,2,Brian Robinson (RB) | Cedric Tillman (WR),Kenneth Walker III (RB) | Rome Odunze (WR)
2025,2,Voldemort,Malle ❤️ 🐸,111.0,111.0,125.2,14.2,88.66,3,3,Chase Brown (RB) | David Njoku (TE) | Justin Jefferson (WR),Jaylen Warren (RB) | Keenan Allen (WR) | Harold Fannin Jr. (TE)
2025,2,malle_dips_pouches,Buttermilk Puuump,88.74,88.74,108.64,19.9,81.68,3,3,Ashton Jeanty (RB) | Sam LaPorta (TE) | Calvin Ridley (WR),Josh Downs (WR) | Rachaad White (RB) | Zach Ertz (TE)
2025,3,Buttermilk Puuump,Uncle Rico,141.02,141.02,141.02,0.0,100.0,0,0,,
2025,3,Ginger FC,malle_dips_pouches,79.84,79.84,81.94,2.1,97.44,1,1,Calvin Ridley (WR),Zach Ertz (TE)
2025,3,Joe Mantegna,The Big Gronkowski,107.84,107.84,137.12,29.28,78.65,3,3,Dak Prescott (QB) | T.J. Hockenson (TE) | Jameson Williams (WR),Drake Maye (QB) | Rashod Bateman (WR) | Hunter Henry (TE)
2025,3,Malle ❤️ 🐸,Pop Lockett Drop it,90.98,90.98,100.68,9.7,90.37,2,2,Dalton Schultz (TE) | Rashid Shaheed (WR),Dallas Goedert (TE) | Khalil Shakir (WR)
2025,3,Patty Primetimes,ThreatLevelMidnight,105.82,105.82,117.12,11.3,90.35,2,2,James Conner (RB) | Marvin Harrison Jr. (WR),Darnell Mooney (WR) | Quinshon Judkins (RB)
2025,3,Pop Lockett Drop it,Malle ❤️ 🐸,117.02,117.02,127.92,10.9,91.48,1,1,CeeDee Lamb (WR),Kareem Hunt (RB)
2025,3,Post Mahomes,Voldemort,137.56,137.56,154.16,16.6,89.23,2,2,Kyren Williams (RB) | Tee Higgins (WR),Ricky Pearsall (WR) | Cam Skattebo (RB)
2025,3,The Big Gronkowski,Joe Mantegna,78.32,78.32,90.92,12.6,86.14,2,2,Zay Flowers (WR) | Malik Nabers (WR),Tyler Warren (TE) | Quentin Johnston (WR)
2025,3,ThreatLevelMidnight,Patty Primetimes,115.02,115.02,131.82,16.8,87.26,2,2,Josh Allen (QB) | Ladd McConkey (WR),J.K. Dobbins (RB) | Caleb Williams (QB)
2025,3,Uncle Rico,Buttermilk Puuump,76.28,76.28,87.68,11.4,87.0,1,1,Deebo Samuel Sr. (WR),George Pickens (WR)
2025,3,Voldemort,Post Mahomes,84.06,84.06,120.46,36.4,69.78,4,4,Falcons - DEF (DEF) | Chase Brown (RB) | Alvin Kamara (RB) | Justin Jefferson (WR),David Montgomery (RB) | Jaylen Warren (RB) | Keenan Allen (WR) | Harold Fannin Jr. (DEF)
2025,3,malle_dips_pouches,Ginger FC,103.6,103.6,128.6,25.0,80.56,3,3,Derrick Henry (RB) | Juwan Johnson (TE) | Davante Adams (WR),Mark Andrews (TE) | DeVonta Smith (WR) | Michael Pittman Jr. (WR)
2025,4,Buttermilk Puuump,Malle ❤️ 🐸,144.62,144.62,169.08,24.46,85.53,2,2,Jared Goff (QB) | Nick Chubb (RB),Deebo Samuel Sr. (WR) | Jordan Love (QB)
2025,4,Ginger FC,The Big Gronkowski,97.52,97.52,105.52,8.0,92.42,2,2,Derrick Henry (RB) | Juwan Johnson (TE),Mark Andrews (TE) | Michael Pittman Jr. (WR)
2025,4,Joe Mantegna,Patty Primetimes,131.86,131.86,141.26,9.4,93.35,1,1,Ladd McConkey (WR),J.K. Dobbins (RB)
2025,4,Malle ❤️ 🐸,Buttermilk Puuump,123.26,123.26,148.96,25.7,82.75,3,3,Dalton Schultz (TE) | Rashid Shaheed (WR) | Brian Thomas Jr. (WR),Dallas Goedert (TE) | Jordan Addison (WR) | Khalil Shakir (WR)
2025,4,Patty Primetimes,Joe Mantegna,94.24,94.24,133.14,38.9,70.78,3,3,Jacory Croskey-Merritt (RB) | Ja'Marr Chase (WR) | Malik Nabers (WR),RJ Harvey (RB) | Quentin Johnston (WR) | Tyler Warren (TE)
2025,4,Pop Lockett Drop it,Post Mahomes,93.58,93.58,99.98,6.4,93.6,1,1,Cedric Tillman (WR),Troy Franklin (WR)
2025,4,Post Mahomes,Pop Lockett Drop it,123.5,123.5,149.4,25.9,82.66,3,3,Jordan Mason (RB) | Kyren Williams (RB) | Ricky Pearsall (WR),Cam Skattebo (RB) | Hollywood Brown (WR) | Romeo Doubs (WR)
2025,4,The Big Gronkowski,Ginger FC,90.42,90.42,104.36,13.94,86.64,2,2,Drake Maye (QB) | A.J. Brown (WR),Dak Prescott (QB) | T.J. Hockenson (TE)
2025,4,ThreatLevelMidnight,Voldemort,125.1,125.1,153.34,28.24,81.58,3,3,Kyler Murray (QB) | Chase Brown (RB) | David Njoku (TE),Justin Fields (QB) | Harold Fannin Jr. (TE) | Kenny Gainwell (RB)
2025,4,Uncle Rico,malle_dips_pouches,110.4,110.4,113.0,2.6,97.7,1,1,Calvin Ridley (WR),Rachaad White (RB)
2025,4,Voldemort,ThreatLevelMidnight,144.26,144.26,146.26,2.0,98.63,1,1,Tony Pollard (RB),Tyler Allgeier (RB)
2025,4,malle_dips_pouches,Uncle Rico,103.58,103.58,108.68,5.1,95.31,1,1,Jerry Jeudy (WR),Zach Charbonnet (RB)
2025,5,Buttermilk Puuump,Post Mahomes,120.02,120.02,124.02,4.0,96.77,1,1,Vikings - DEF (DEF),Broncos - DEF (DEF)
