year,date,team,added_player,acquisition_type,dropped_player,raw_text
2019,"Nov 13, 3:57 am",Pop Lockett Drop it,Vikings,Waiver,Saints,"

	
Vikings Min - DEF
Waiver
Saints NO - DEF
To Waivers
	
Pop Lockett Drop it
Nov 13, 3:57 am"
2019,"Nov 13, 3:57 am",Pop Lockett Drop it,Nick Folk,Waiver,Aldrick Rosas,"

	
Nick Folk Atl - K
Waiver
Aldrick Rosas Det - K NA
To Waivers
	
Pop Lockett Drop it
Nov 13, 3:57 am"
2019,"Nov 13, 3:57 am",Pop Lockett Drop it,Kyle Allen,Waiver,Kyle Rudolph,"

	
Kyle Allen Buf - QB
Waiver
Kyle Rudolph TB - TE NA
To Waivers
	
Pop Lockett Drop it
Nov 13, 3:57 am"
2019,"Nov 13, 3:57 am",Patty Primetimes,Hunter Renfrow,Waiver,Trey Edmunds,"

	
Hunter Renfrow Car - WR NA
Waiver
Trey Edmunds Pit - RB NA
To Waivers
	
Patty Primetimes
Nov 13, 3:57 am"
2019,"Nov 13, 3:57 am",Voldemort,Brian Hill,Waiver,,"
	
Brian Hill SF - RB NA
Waiver
	
Voldemort
Nov 13, 3:57 am"
2019,"Nov 12, 9:42 pm",Voldemort,,,Darrell Henderson Jr.,"
	
Darrell Henderson Jr. LAR - RB NA
To Waivers
	
Voldemort
Nov 12, 9:42 pm"
2019,"Nov 12, 9:42 pm",Voldemort,,,Tony Pollard,"
	
Tony Pollard Ten - RB
To Waivers
	
Voldemort
Nov 12, 9:42 pm"
2019,"Nov 12, 3:24 pm",ThreatLevelMidnight,,,Chris Herndon,"
	
Chris Herndon Min - TE NA
To Waivers
	
ThreatLevelMidnight
Nov 12, 3:24 pm"
2019,"Nov 11, 3:33 pm",ThreatLevelMidnight,Dede Westbrook,Free Agent,Josh Gordon,"

	
Dede Westbrook GB - WR NA
Free Agent
Josh Gordon Ten - WR NA
To Waivers
	
ThreatLevelMidnight
Nov 11, 3:33 pm"
2019,"Nov 11, 10:03 am",Post Mahomes,Ross Dwelley,Free Agent,Latavius Murray,"

	
Ross Dwelley Car - TE NA
Free Agent
Latavius Murray Buf - RB NA
To Waivers
	
Post Mahomes
Nov 11, 10:03 am"
2019,"Nov 10, 1:35 pm",Voldemort,Tony Pollard,Free Agent,,"
	
Tony Pollard Ten - RB
Free Agent
	
Voldemort
Nov 10, 1:35 pm"
