year,week,table_index,row_index,side,fantasy_team,opponent,matchup_id,matchup_number,team_score,opponent_score,player,player_position,lineup_slot,is_starter,is_bench,is_ir,projected_points,fantasy_points,stat_summary,raw_player_text,raw_position,raw_cells,player_key,player_id,nfl_team,source
2018,1,,10,api,Dillon Panthers,Ginger FC 🏆🏆,2018-W01-04,4,122.46,127.62,Tarik Cohen,RB,BN,False,True,False,,4.1,,Tarik Cohen,RB,,380.p.30232,30232,Car,yahoo_fantasy_api
2018,1,,11,api,Dillon Panthers,Ginger FC 🏆🏆,2018-W01-04,4,122.46,127.62,Tyler Lockett,WR,BN,False,True,False,,11.9,,Tyler Lockett,WR,,380.p.28457,28457,LV,yahoo_fantasy_api
2018,1,,12,api,Dillon Panthers,Ginger FC 🏆🏆,2018-W01-04,4,122.46,127.62,Austin Hooper,TE,BN,False,True,False,,2.4,,Austin Hooper,TE,,380.p.29315,29315,Atl,yahoo_fantasy_api
2018,1,,13,api,Dillon Panthers,Ginger FC 🏆🏆,2018-W01-04,4,122.46,127.62,Mohamed Sanu,WR,BN,False,True,False,,1.8,,Mohamed Sanu,WR,,380.p.25793,25793,Mia,yahoo_fantasy_api
2018,1,,15,api,Dillon Panthers,Ginger FC 🏆🏆,2018-W01-04,4,122.46,127.62,Eagles,DEF,DEF,True,False,False,,10.0,,Eagles,DEF,,380.p.100021,100021,Phi,yahoo_fantasy_api
2018,1,,14,api,Dillon Panthers,Ginger FC 🏆🏆,2018-W01-04,4,122.46,127.62,Daniel Carlson,K,K,True,False,False,,7.0,,Daniel Carlson,K,,380.p.31137,31137,NO,yahoo_fantasy_api
2018,1,,1,api,Dillon Panthers,Ginger FC 🏆🏆,2018-W01-04,4,122.46,127.62,Drew Brees,QB,QB,True,False,False,,37.56,,Drew Brees,QB,,380.p.5479,5479,NO,yahoo_fantasy_api
2018,1,,4,api,Dillon Panthers,Ginger FC 🏆🏆,2018-W01-04,4,122.46,127.62,Alex Collins,RB,RB,True,False,False,,5.9,,Alex Collins,RB,,380.p.29405,29405,Sea,yahoo_fantasy_api
2018,1,,5,api,Dillon Panthers,Ginger FC 🏆🏆,2018-W01-04,4,122.46,127.62,Carlos Hyde,RB,RB,True,False,False,,12.5,,Carlos Hyde,RB,,380.p.27585,27585,Jax,yahoo_fantasy_api
2018,1,,6,api,Dillon Panthers,Ginger FC 🏆🏆,2018-W01-04,4,122.46,127.62,Trey Burton,TE,TE,True,False,False,,1.5,,Trey Burton,TE,,380.p.27789,27789,Ind,yahoo_fantasy_api
2018,1,,7,api,Dillon Panthers,Ginger FC 🏆🏆,2018-W01-04,4,122.46,127.62,Emmanuel Sanders,WR,W/R/T,True,False,False,,19.5,,Emmanuel Sanders,WR,,380.p.24057,24057,Buf,yahoo_fantasy_api
2018,1,,2,api,Dillon Panthers,Ginger FC 🏆🏆,2018-W01-04,4,122.46,127.62,Antonio Brown,WR,WR,True,False,False,,15.3,,Antonio Brown,WR,,380.p.24171,24171,TB,yahoo_fantasy_api
2018,1,,3,api,Dillon Panthers,Ginger FC 🏆🏆,2018-W01-04,4,122.46,127.62,A.J. Green,WR,WR,True,False,False,,13.2,,A.J. Green,WR,,380.p.24791,24791,Ari,yahoo_fantasy_api
2018,1,,8,api,Ginger FC 🏆🏆,Dillon Panthers,2018-W01-04,4,127.62,122.46,Carson Wentz,QB,BN,False,True,False,,0.0,,Carson Wentz,QB,,380.p.29236,29236,Min,yahoo_fantasy_api
2018,1,,9,api,Ginger FC 🏆🏆,Dillon Panthers,2018-W01-04,4,127.62,122.46,Pierre Garcon,WR,BN,False,True,False,,2.1,,Pierre Garcon,WR,,380.p.8982,8982,SF,yahoo_fantasy_api
2018,1,,10,api,Ginger FC 🏆🏆,Dillon Panthers,2018-W01-04,4,127.62,122.46,Rishard Matthews,WR,BN,False,True,False,,0.0,,Rishard Matthews,WR,,380.p.25937,25937,NYJ,yahoo_fantasy_api
2018,1,,11,api,Ginger FC 🏆🏆,Dillon Panthers,2018-W01-04,4,127.62,122.46,DJ Moore,WR,BN,False,True,False,,0.3,,DJ Moore,WR,,380.p.30994,30994,Buf,yahoo_fantasy_api
