year,week,team_1,team_1_record,team_1_score,team_1_projected,team_2,team_2_record,team_2_score,team_2_projected,winner,loser,margin,is_playoffs
2022,9,Voldemort,10-4-0 | 3rd,153.1,126.07,Ginger FC,8-6-0 | 5th,97.5,118.21,Voldemort,Ginger FC,55.6,False
2022,10,Ginger FC,8-6-0 | 5th,74.78,112.61,Big Sack Jack,10-4-0 | 4th,102.12,105.11,Big Sack Jack,Ginger FC,27.34,False
2022,10,Joe Mantegna,8-6-0 | 10th,103.74,106.13,ThreatLevelMidnight,8-6-0 | 6th,108.0,111.11,ThreatLevelMidnight,Joe Mantegna,4.26,False
2022,10,Malle ❤️ 🐸,4-10-0 | 8th,91.7,101.29,malle_dips_pouches,8-6-0 | 1st,110.36,113.59,malle_dips_pouches,Malle ❤️ 🐸,18.66,False
2022,10,The Big Gronkowski,9-5-0 | 2nd,98.18,111.16,Patty Primetimes,3-11-0 | 11th,88.04,109.8,The Big Gronkowski,Patty Primetimes,10.14,False
2022,10,Uncle Rico,5-9-0 | 7th,126.04,112.8,Pop Lockett Drop it,4-10-0 | 12th,135.88,90.87,Pop Lockett Drop it,Uncle Rico,9.84,False
2022,10,Voldemort,10-4-0 | 3rd,98.4,115.28,Post Mahomes,7-7-0 | 9th,131.1,116.16,Post Mahomes,Voldemort,32.7,False
2022,11,Joe Mantegna,8-6-0 | 10th,120.5,101.44,Ginger FC,8-6-0 | 5th,126.34,107.9,Ginger FC,Joe Mantegna,5.84,False
2022,11,Malle ❤️ 🐸,4-10-0 | 8th,90.2,96.29,Patty Primetimes,3-11-0 | 11th,84.96,96.25,Malle ❤️ 🐸,Patty Primetimes,5.24,False
2022,11,Post Mahomes,7-7-0 | 9th,77.48,111.33,Big Sack Jack,10-4-0 | 4th,89.8,97.04,Big Sack Jack,Post Mahomes,12.32,False
2022,11,ThreatLevelMidnight,8-6-0 | 6th,102.24,113.42,malle_dips_pouches,8-6-0 | 1st,122.26,116.53,malle_dips_pouches,ThreatLevelMidnight,20.02,False
2022,11,Uncle Rico,5-9-0 | 7th,101.76,110.11,The Big Gronkowski,9-5-0 | 2nd,156.2,108.79,The Big Gronkowski,Uncle Rico,54.44,False
2022,11,Voldemort,10-4-0 | 3rd,114.38,109.91,Pop Lockett Drop it,4-10-0 | 12th,76.72,93.26,Voldemort,Pop Lockett Drop it,37.66,False
2022,12,Joe Mantegna,8-6-0 | 10th,108.76,102.58,Post Mahomes,7-7-0 | 9th,92.06,119.43,Joe Mantegna,Post Mahomes,16.7,False
2022,12,Pop Lockett Drop it,4-10-0 | 12th,112.84,105.64,Big Sack Jack,10-4-0 | 4th,118.6,96.65,Big Sack Jack,Pop Lockett Drop it,5.76,False
2022,12,The Big Gronkowski,9-5-0 | 2nd,112.46,117.4,Voldemort,10-4-0 | 3rd,144.76,122.82,Voldemort,The Big Gronkowski,32.3,False
2022,12,ThreatLevelMidnight,8-6-0 | 6th,131.64,119.79,Ginger FC,8-6-0 | 5th,94.84,112.43,ThreatLevelMidnight,Ginger FC,36.8,False
2022,12,Uncle Rico,5-9-0 | 7th,86.9,111.84,Malle ❤️ 🐸,4-10-0 | 8th,129.12,107.56,Malle ❤️ 🐸,Uncle Rico,42.22,False
2022,12,malle_dips_pouches,8-6-0 | 1st,142.66,124.98,Patty Primetimes,3-11-0 | 11th,72.0,106.18,malle_dips_pouches,Patty Primetimes,70.66,False
