trade_id,year,date,player,source_team,destination_team,position,position_source,attribution_status,first_week_with_acquiring_team,last_week_with_acquiring_team,roster_weeks,starts,bench_weeks,ir_weeks,fantasy_points,started_points,bench_points,projected_points,points_per_roster_week,points_per_start,replacement_p25,replacement_p40,expected_replacement_started_points,raw_starter_value,starter_value,expected_replacement_bench_points,raw_bench_value,bench_value,trade_value,start_value_per_start,starter_points_vs_replacement_pct
2019-187,2019,2019-10-31T03:28:36-04:00,Tyler Boyd,Uncle Rico,malle_dips_pouches,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,9.0,13.0,5,3,2,0,33.2,19.1,14.1,30.7,6.64,6.37,4.1,6.1,18.3,0.8,0.8,8.2,5.9,1.48,2.28,0.27,4.37
2019-187,2019,2019-10-31T03:28:36-04:00,DJ Moore,malle_dips_pouches,Uncle Rico,WR,historical_fixed_slot,matched_post_trade_roster_stint,9.0,13.0,5,4,1,0,70.2,58.2,12.0,36.21,14.04,14.55,4.1,6.1,24.4,33.8,33.8,4.1,7.9,1.98,35.78,8.45,138.52
2019-187,2019,2019-10-31T03:28:36-04:00,LeSean McCoy,malle_dips_pouches,Uncle Rico,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,9.0,13.0,5,2,3,0,21.6,9.9,11.7,15.23,4.32,4.95,6.18,8.24,16.48,-6.58,0.0,18.52,-6.82,0.0,0.0,-3.29,-39.93
2020-39,2020,2020-09-19T03:39:38-04:00,Odell Beckham Jr.,Big Sack Jack,The Big Gronkowski,WR,historical_fixed_slot,matched_post_trade_roster_stint,2.0,7.0,6,4,2,0,71.62,48.32,23.3,78.22,11.94,12.08,7.1,10.2,40.8,7.52,7.52,14.2,9.1,2.28,9.8,1.88,18.43
2020-39,2020,2020-09-19T03:39:38-04:00,Keenan Allen,The Big Gronkowski,Big Sack Jack,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,2.0,13.0,12,11,1,0,171.6,171.6,0.0,157.09,14.3,15.6,7.1,10.2,112.2,59.4,59.4,7.1,-7.1,0.0,59.4,5.4,52.94
2020-110,2020,2020-10-11T03:22:46-04:00,Justin Jefferson,Pop Lockett Drop it,Voldemort,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,5.0,13.0,9,5,4,0,129.8,70.7,59.1,99.79,14.42,14.14,7.1,10.2,51.0,19.7,19.7,28.4,30.7,7.68,27.38,3.94,38.63
2020-110,2020,2020-10-11T03:22:46-04:00,Darrell Henderson Jr.,Voldemort,Pop Lockett Drop it,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,5.0,9.0,5,3,2,0,44.4,24.1,20.3,42.16,8.88,8.03,6.08,8.98,26.94,-2.84,0.0,12.15,8.15,2.04,2.04,-0.95,-10.54
2020-172,2020,2020-10-23T03:25:12-04:00,Mark Andrews,Patty Primetimes,Post Mahomes,TE,acquired_stint_fixed_slot,matched_post_trade_roster_stint,7.0,13.0,7,4,2,1,36.1,36.1,0.0,41.9,5.16,9.03,3.7,5.3,21.2,14.9,14.9,7.4,-7.4,0.0,14.9,3.73,70.28
2020-172,2020,2020-10-23T03:25:12-04:00,T.Y. Hilton,Patty Primetimes,Post Mahomes,WR,historical_fixed_slot,matched_post_trade_roster_stint,7.0,7.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,10.2,0.0,0.0,0.0,7.1,-7.1,0.0,0.0,0.0,0.0
2020-172,2020,2020-10-23T03:25:12-04:00,DJ Moore,Post Mahomes,Patty Primetimes,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,7.0,13.0,7,6,1,0,76.6,76.6,0.0,60.99,10.94,12.77,7.1,10.2,61.2,15.4,15.4,7.1,-7.1,0.0,15.4,2.57,25.16
