team,opponent,games,wins,losses,ties,points_for,points_against,win_pct,point_diff
Uncle Rico,Malle ❤️ 🐸,11,2,9,0,1134.72,1282.3600000000001,0.18181818181818182,-147.6400000000001
Uncle Rico,Patty Primetimes,10,3,7,0,967.12,1068.84,0.3,-101.71999999999991
Uncle Rico,Pop Lockett Drop it,11,3,8,0,1145.32,1235.6,0.2727272727272727,-90.27999999999997
Uncle Rico,Post Mahomes,8,2,6,0,874.8,1000.42,0.25,-125.62
Uncle Rico,The Big Gronkowski,8,3,5,0,828.04,872.94,0.375,-44.90000000000009
Uncle Rico,ThreatLevelMidnight,10,3,7,0,1092.84,1175.2,0.3,-82.36000000000013
Uncle Rico,Voldemort,11,4,7,0,1218.8400000000001,1270.32,0.36363636363636365,-51.47999999999979
Uncle Rico,malle_dips_pouches,10,1,9,0,857.52,1032.48,0.1,-174.96000000000004
Voldemort,Big Sack Jack,6,4,2,0,671.1800000000001,526.02,0.6666666666666666,145.16000000000008
Voldemort,Buttermilk Puuump,3,2,1,0,248.70000000000002,233.92000000000002,0.6666666666666666,14.780000000000001
Voldemort,Dillon Panthers,1,0,1,0,95.7,106.52,0.0,-10.819999999999993
Voldemort,Ginger FC,8,6,2,0,961.06,744.26,0.75,216.79999999999995
Voldemort,Joe Mantegna,10,5,5,0,1100.94,1086.28,0.5,14.660000000000082
Voldemort,Malle ❤️ 🐸,11,5,6,0,1219.74,1179.7,0.45454545454545453,40.039999999999964
Voldemort,Patty Primetimes,7,6,1,0,805.52,660.5,0.8571428571428571,145.01999999999998
Voldemort,Pop Lockett Drop it,8,5,3,0,893.3199999999999,847.56,0.625,45.75999999999999
Voldemort,Post Mahomes,10,5,5,0,1079.66,1119.48,0.5,-39.819999999999936
Voldemort,The Big Gronkowski,14,8,6,0,1536.84,1467.82,0.5714285714285714,69.01999999999998
Voldemort,ThreatLevelMidnight,9,4,5,0,1059.52,1060.5,0.4444444444444444,-0.9800000000000182
Voldemort,Uncle Rico,11,7,4,0,1270.32,1218.8400000000001,0.6363636363636364,51.47999999999979
Voldemort,malle_dips_pouches,11,7,4,0,1209.1,1097.96,0.6363636363636364,111.13999999999987
malle_dips_pouches,Big Sack Jack,5,1,4,0,495.76,543.0,0.2,-47.24000000000001
malle_dips_pouches,Buttermilk Puuump,4,2,2,0,368.18,431.78,0.5,-63.599999999999966
malle_dips_pouches,Dillon Panthers,1,1,0,0,111.4,94.8,1.0,16.60000000000001
malle_dips_pouches,Ginger FC,9,2,7,0,856.56,967.02,0.2222222222222222,-110.46000000000004
malle_dips_pouches,Joe Mantegna,12,5,7,0,1143.6,1230.92,0.4166666666666667,-87.32000000000016
malle_dips_pouches,Malle ❤️ 🐸,9,5,4,0,839.52,876.14,0.5555555555555556,-36.620000000000005
malle_dips_pouches,Patty Primetimes,9,6,3,0,1021.0999999999999,976.26,0.6666666666666666,44.83999999999992
malle_dips_pouches,Pop Lockett Drop it,11,6,5,0,1219.58,1209.56,0.5454545454545454,10.019999999999982
malle_dips_pouches,Post Mahomes,9,3,6,0,912.42,1004.96,0.3333333333333333,-92.54000000000008
malle_dips_pouches,The Big Gronkowski,8,3,5,0,777.5,838.82,0.375,-61.32000000000005
malle_dips_pouches,ThreatLevelMidnight,11,7,4,0,1278.78,1279.16,0.6363636363636364,-0.38000000000010914
malle_dips_pouches,Uncle Rico,10,9,1,0,1032.48,857.52,0.9,174.96000000000004
malle_dips_pouches,Voldemort,11,4,7,0,1097.96,1209.1,0.36363636363636365,-111.13999999999987
