year,week,team,opponent,points_for,points_against,result,margin
2019,2,malle_dips_pouches,Joe Mantegna,89.66,76.74,W,12.920000000000002
2019,3,Big Sack Jack,ThreatLevelMidnight,85.64,93.12,L,-7.480000000000004
2019,3,Ginger FC,Pop Lockett Drop it,93.1,117.34,L,-24.24000000000001
2019,3,Joe Mantegna,The Big Gronkowski,102.96,135.98,L,-33.019999999999996
2019,3,Malle ❤️ 🐸,Voldemort,77.84,132.06,L,-54.22
2019,3,Patty Primetimes,malle_dips_pouches,106.18,103.2,W,2.980000000000004
2019,3,Pop Lockett Drop it,Ginger FC,117.34,93.1,W,24.24000000000001
2019,3,Post Mahomes,Uncle Rico,139.34,101.02,W,38.32000000000001
2019,3,The Big Gronkowski,Joe Mantegna,135.98,102.96,W,33.019999999999996
2019,3,ThreatLevelMidnight,Big Sack Jack,93.12,85.64,W,7.480000000000004
2019,3,Uncle Rico,Post Mahomes,101.02,139.34,L,-38.32000000000001
2019,3,Voldemort,Malle ❤️ 🐸,132.06,77.84,W,54.22
2019,3,malle_dips_pouches,Patty Primetimes,103.2,106.18,L,-2.980000000000004
2019,4,Big Sack Jack,Pop Lockett Drop it,107.7,110.4,L,-2.700000000000003
2019,4,Ginger FC,Post Mahomes,62.54,81.4,L,-18.860000000000007
2019,4,Joe Mantegna,Malle ❤️ 🐸,87.9,73.12,W,14.780000000000001
2019,4,Malle ❤️ 🐸,Joe Mantegna,73.12,87.9,L,-14.780000000000001
2019,4,Patty Primetimes,The Big Gronkowski,130.98,89.2,W,41.77999999999999
2019,4,Pop Lockett Drop it,Big Sack Jack,110.4,107.7,W,2.700000000000003
2019,4,Post Mahomes,Ginger FC,81.4,62.54,W,18.860000000000007
2019,4,The Big Gronkowski,Patty Primetimes,89.2,130.98,L,-41.77999999999999
2019,4,ThreatLevelMidnight,malle_dips_pouches,104.1,93.68,W,10.419999999999987
2019,4,Uncle Rico,Voldemort,81.42,93.6,L,-12.179999999999993
2019,4,Voldemort,Uncle Rico,93.6,81.42,W,12.179999999999993
2019,4,malle_dips_pouches,ThreatLevelMidnight,93.68,104.1,L,-10.419999999999987
2019,5,Big Sack Jack,Post Mahomes,134.12,153.04,L,-18.919999999999987
2019,5,Ginger FC,Uncle Rico,115.46,90.36,W,25.099999999999994
2019,5,Joe Mantegna,Voldemort,64.86,105.44,L,-40.58
2019,5,Malle ❤️ 🐸,Patty Primetimes,130.52,105.54,W,24.980000000000004
2019,5,Patty Primetimes,Malle ❤️ 🐸,105.54,130.52,L,-24.980000000000004
2019,5,Pop Lockett Drop it,malle_dips_pouches,131.92,68.32,W,63.599999999999994
2019,5,Post Mahomes,Big Sack Jack,153.04,134.12,W,18.919999999999987
2019,5,The Big Gronkowski,ThreatLevelMidnight,86.56,120.44,L,-33.879999999999995
2019,5,ThreatLevelMidnight,The Big Gronkowski,120.44,86.56,W,33.879999999999995
2019,5,Uncle Rico,Ginger FC,90.36,115.46,L,-25.099999999999994
2019,5,Voldemort,Joe Mantegna,105.44,64.86,W,40.58
2019,5,malle_dips_pouches,Pop Lockett Drop it,68.32,131.92,L,-63.599999999999994
2019,6,Big Sack Jack,Ginger FC,92.36,87.2,W,5.159999999999997
2019,6,Ginger FC,Big Sack Jack,87.2,92.36,L,-5.159999999999997
2019,6,Joe Mantegna,Uncle Rico,109.14,61.2,W,47.94
2019,6,Malle ❤️ 🐸,ThreatLevelMidnight,83.62,81.62,W,2.0
2019,6,Patty Primetimes,Voldemort,106.44,114.12,L,-7.680000000000007
2019,6,Pop Lockett Drop it,The Big Gronkowski,100.0,55.0,W,45.0
2019,6,Post Mahomes,malle_dips_pouches,112.8,103.32,W,9.480000000000004
2019,6,The Big Gronkowski,Pop Lockett Drop it,55.0,100.0,L,-45.0
2019,6,ThreatLevelMidnight,Malle ❤️ 🐸,81.62,83.62,L,-2.0
2019,6,Uncle Rico,Joe Mantegna,61.2,109.14,L,-47.94
2019,6,Voldemort,Patty Primetimes,114.12,106.44,W,7.680000000000007
2019,6,malle_dips_pouches,Post Mahomes,103.32,112.8,L,-9.480000000000004
2019,7,Big Sack Jack,Uncle Rico,97.46,78.68,W,18.779999999999987
2019,7,Ginger FC,malle_dips_pouches,109.32,104.96,W,4.359999999999999
2019,7,Joe Mantegna,Patty Primetimes,78.94,118.52,L,-39.58
2019,7,Malle ❤️ 🐸,Pop Lockett Drop it,63.46,90.24,L,-26.779999999999994
2019,7,Patty Primetimes,Joe Mantegna,118.52,78.94,W,39.58
2019,7,Pop Lockett Drop it,Malle ❤️ 🐸,90.24,63.46,W,26.779999999999994
2019,7,Post Mahomes,The Big Gronkowski,96.62,64.44,W,32.18000000000001
2019,7,The Big Gronkowski,Post Mahomes,64.44,96.62,L,-32.18000000000001
2019,7,ThreatLevelMidnight,Voldemort,113.42,68.04,W,45.379999999999995
2019,7,Uncle Rico,Big Sack Jack,78.68,97.46,L,-18.779999999999987
2019,7,Voldemort,ThreatLevelMidnight,68.04,113.42,L,-45.379999999999995
2019,7,malle_dips_pouches,Ginger FC,104.96,109.32,L,-4.359999999999999
2019,8,Big Sack Jack,malle_dips_pouches,110.26,94.9,W,15.36
2019,8,Ginger FC,The Big Gronkowski,71.7,83.3,L,-11.599999999999994
2019,8,Joe Mantegna,ThreatLevelMidnight,121.78,138.08,L,-16.30000000000001
2019,8,Malle ❤️ 🐸,Post Mahomes,94.02,101.16,L,-7.140000000000001
2019,8,Patty Primetimes,Uncle Rico,94.16,69.9,W,24.25999999999999
2019,8,Pop Lockett Drop it,Voldemort,99.68,122.58,L,-22.89999999999999
2019,8,Post Mahomes,Malle ❤️ 🐸,101.16,94.02,W,7.140000000000001
2019,8,The Big Gronkowski,Ginger FC,83.3,71.7,W,11.599999999999994
2019,8,ThreatLevelMidnight,Joe Mantegna,138.08,121.78,W,16.30000000000001
2019,8,Uncle Rico,Patty Primetimes,69.9,94.16,L,-24.25999999999999
2019,8,Voldemort,Pop Lockett Drop it,122.58,99.68,W,22.89999999999999
2019,8,malle_dips_pouches,Big Sack Jack,94.9,110.26,L,-15.36
2019,9,Big Sack Jack,The Big Gronkowski,129.3,91.78,W,37.52000000000001
2019,9,Ginger FC,Malle ❤️ 🐸,115.7,58.04,W,57.660000000000004
2019,9,Joe Mantegna,Pop Lockett Drop it,103.64,154.32,L,-50.67999999999999
2019,9,Malle ❤️ 🐸,Ginger FC,58.04,115.7,L,-57.660000000000004
2019,9,Patty Primetimes,ThreatLevelMidnight,129.22,76.36,W,52.86
2019,9,Pop Lockett Drop it,Joe Mantegna,154.32,103.64,W,50.67999999999999
2019,9,Post Mahomes,Voldemort,78.14,96.2,L,-18.060000000000002
2019,9,The Big Gronkowski,Big Sack Jack,91.78,129.3,L,-37.52000000000001
2019,9,ThreatLevelMidnight,Patty Primetimes,76.36,129.22,L,-52.86
2019,9,Uncle Rico,malle_dips_pouches,73.2,75.54,L,-2.3400000000000034
2019,9,Voldemort,Post Mahomes,96.2,78.14,W,18.060000000000002
2019,9,malle_dips_pouches,Uncle Rico,75.54,73.2,W,2.3400000000000034
2019,10,Big Sack Jack,Malle ❤️ 🐸,112.42,92.78,W,19.64
2019,10,Ginger FC,Voldemort,67.08,136.34,L,-69.26
