player,championships,championship_seasons,champion_franchises,championship_rank
DeVonta Smith,1,2022,malle_dips_pouches,17
Ed Dickson,1,2017,Ginger FC,17
Golden Tate,1,2018,Pop Lockett Drop it,17
Greg Zuerlein,1,2021,Voldemort,17
Hunter Henry,1,2019,Voldemort,17
Isiah Pacheco,1,2024,Post Mahomes,17
Jaguars - DEF,1,2023,Joe Mantegna,17
Jahmyr Gibbs,1,2024,Post Mahomes,17
Jake Elliott,1,2018,Pop Lockett Drop it,17
Jalen Hurts,1,2025,Ginger FC,17
James Conner,1,2022,malle_dips_pouches,17
James Cook III,1,2023,Joe Mantegna,17
Jason Sanders,1,2023,Joe Mantegna,17
Jay Ajayi,1,2017,Ginger FC,17
Jayden Reed,1,2025,Ginger FC,17
Jaylen Waddle,1,2022,malle_dips_pouches,17
Jeff Heuerman,1,2018,Pop Lockett Drop it,17
Jeff Wilson Jr.,1,2021,Voldemort,17
Jimmy Graham,1,2018,Pop Lockett Drop it,17
Jordan Howard,1,2020,Malle ❤️ 🐸,17
Jordan Matthews,1,2017,Ginger FC,17
Josh Downs,1,2025,Ginger FC,17
Josh Jacobs,1,2022,malle_dips_pouches,17
Justin Jefferson,1,2021,Voldemort,17
Justin Tucker,1,2020,Malle ❤️ 🐸,17
Ka'imi Fairbairn,1,2024,Post Mahomes,17
Kendrick Bourne,1,2021,Voldemort,17
Kirk Cousins,1,2018,Pop Lockett Drop it,17
Kyle Pitts Sr.,1,2023,Joe Mantegna,17
Kyler Murray,1,2023,Joe Mantegna,17
Kyren Williams,1,2024,Post Mahomes,17
Larry Fitzgerald,1,2017,Ginger FC,17
Latavius Murray,1,2020,Malle ❤️ 🐸,17
Marcus Mariota,1,2017,Ginger FC,17
Mark Andrews,1,2022,malle_dips_pouches,17
Marqise Lee,1,2017,Ginger FC,17
Marquise Goodwin,1,2018,Pop Lockett Drop it,17
Michael Carter,1,2022,malle_dips_pouches,17
Michael Pittman Jr.,1,2024,Post Mahomes,17
Mike Evans,1,2025,Ginger FC,17
Mike Gesicki,1,2020,Malle ❤️ 🐸,17
Nelson Agholor,1,2018,Pop Lockett Drop it,17
Nick Chubb,1,2021,Voldemort,17
Nick Folk,1,2021,Voldemort,17
Nico Collins,1,2023,Joe Mantegna,17
Odell Beckham Jr.,1,2018,Pop Lockett Drop it,17
Pat Freiermuth,1,2022,malle_dips_pouches,17
Patrick Mahomes,1,2019,Voldemort,17
Preston Williams,1,2020,Malle ❤️ 🐸,17
Rachaad White,1,2025,Ginger FC,17
Ravens - DEF,1,2025,Ginger FC,17
Rhamondre Stevenson,1,2023,Joe Mantegna,17
Royce Freeman,1,2019,Voldemort,17
Russell Wilson,1,2024,Post Mahomes,17
Saints - DEF,1,2020,Malle ❤️ 🐸,17
Sam Howell,1,2023,Joe Mantegna,17
Steelers - DEF,1,2022,malle_dips_pouches,17
Stefon Diggs,1,2025,Ginger FC,17
Stephen Gostkowski,1,2017,Ginger FC,17
T.J. Hockenson,1,2024,Post Mahomes,17
Taylor Gabriel,1,2017,Ginger FC,17
Tee Higgins,1,2024,Post Mahomes,17
Terry McLaurin,1,2019,Voldemort,17
Tevin Coleman,1,2019,Voldemort,17
Texans - DEF,1,2018,Pop Lockett Drop it,17
Theo Riddick,1,2018,Pop Lockett Drop it,17
Titans - DEF,1,2017,Ginger FC,17
Travis Kelce,1,2020,Malle ❤️ 🐸,17
Tyler Bass,1,2024,Post Mahomes,17
Tyler Boyd,1,2022,malle_dips_pouches,17
Tyler Higbee,1,2021,Voldemort,17
Tyreek Hill,1,2023,Joe Mantegna,17
Tyrone Tracy Jr.,1,2025,Ginger FC,17
Will Fuller V,1,2019,Voldemort,17
Zane Gonzalez,1,2019,Voldemort,17
