year,week,team_1,team_1_record,team_1_score,team_1_projected,team_2,team_2_record,team_2_score,team_2_projected,winner,loser,result,margin,is_playoffs
2018,14,The Big Gronkowski,7-6-0 | 5th,91.5,109.35,Big Sack Jack,8-5-0 | 3rd,115.2,107.41,Big Sack Jack,The Big Gronkowski,team_2,23.7,False
2018,14,Voldemort,7-6-0 | 2nd,88.68,99.66,PickUpYourBratsMalle,7-6-0 | 6th,63.98,95.14,Voldemort,PickUpYourBratsMalle,team_1,24.7,False
2018,14,Uncle Rico,6-7-0 | 8th,88.04,107.24,Ginger FC,4-9-0 | 11th,52.38,93.53,Uncle Rico,Ginger FC,team_1,35.66,False
2018,14,Malle ❤️ 🐸,4-9-0 | 12th,88.18,108.34,Joe Mantegna,4-9-0 | 9th,153.88,108.91,Joe Mantegna,Malle ❤️ 🐸,team_2,65.7,False
2019,1,Uncle Rico,2-11-0 | 11th,92.76,107.03,Pop Lockett Drop it,10-3-0 | 5th,115.3,110.89,Pop Lockett Drop it,Uncle Rico,team_2,22.54,False
2019,1,The Big Gronkowski,6-7-0 | 9th,128.42,108.27,Malle ❤️ 🐸,4-9-0 | 8th,108.76,100.89,The Big Gronkowski,Malle ❤️ 🐸,team_1,19.66,False
2019,1,Voldemort,12-1-0 | 1st,130.52,114.18,malle_dips_pouches,4-9-0 | 12th,70.6,102.69,Voldemort,malle_dips_pouches,team_1,59.92,False
2019,1,Joe Mantegna,4-9-0 | 10th,105.82,98.42,Big Sack Jack,7-6-0 | 6th,79.54,100.29,Joe Mantegna,Big Sack Jack,team_1,26.28,False
2019,1,Patty Primetimes,10-3-0 | 2nd,117.1,112.35,Ginger FC,4-9-0 | 7th,98.8,105.88,Patty Primetimes,Ginger FC,team_1,18.3,False
2019,1,ThreatLevelMidnight,7-6-0 | 3rd,78.14,108.81,Post Mahomes,8-5-0 | 4th,123.82,106.52,Post Mahomes,ThreatLevelMidnight,team_2,45.68,False
2019,2,Uncle Rico,2-11-0 | 11th,84.12,106.91,Malle ❤️ 🐸,4-9-0 | 8th,96.4,103.37,Malle ❤️ 🐸,Uncle Rico,team_2,12.28,False
2019,2,The Big Gronkowski,6-7-0 | 9th,72.32,109.26,Voldemort,12-1-0 | 1st,96.92,115.4,Voldemort,The Big Gronkowski,team_2,24.6,False
2019,2,Joe Mantegna,4-9-0 | 10th,76.74,103.46,malle_dips_pouches,4-9-0 | 12th,89.66,104.38,malle_dips_pouches,Joe Mantegna,team_2,12.92,False
2019,2,Patty Primetimes,10-3-0 | 2nd,122.38,114.57,Big Sack Jack,7-6-0 | 6th,115.66,97.65,Patty Primetimes,Big Sack Jack,team_1,6.72,False
2019,2,ThreatLevelMidnight,7-6-0 | 3rd,106.22,104.85,Ginger FC,4-9-0 | 7th,74.8,102.55,ThreatLevelMidnight,Ginger FC,team_1,31.42,False
2019,2,Pop Lockett Drop it,10-3-0 | 5th,117.5,110.17,Post Mahomes,8-5-0 | 4th,76.06,104.21,Pop Lockett Drop it,Post Mahomes,team_1,41.44,False
2019,3,Uncle Rico,2-11-0 | 11th,101.02,103.99,Post Mahomes,8-5-0 | 4th,139.34,113.28,Post Mahomes,Uncle Rico,team_2,38.32,False
