year,week,player,player_position,match_player,nfl_name,nfl_team,nfl_position,gsis_id,yahoo_id,match_method
2025,9,Rachaad White,,rachaad white,Rachaad White,TB,RB,00-0037256,34047,inferred_between_same_team
2025,9,Rashee Rice,WR,rashee rice,Rashee Rice,KC,WR,00-0039067,40084,exact_week_normalized
2025,9,Rashid Shaheed,WR,rashid shaheed,Rashid Shaheed,NO,WR,00-0037545,34659,exact_week_normalized
2025,9,Rhamondre Stevenson,,rhamondre stevenson,Rhamondre Stevenson,NE,RB,00-0036875,33508,exact_week_normalized
2025,9,Ricky Pearsall,,ricky pearsall,Ricky Pearsall,SF,WR,00-0039916,40892,exact_week_normalized
2025,9,Rico Dowdle,,rico dowdle,Rico Dowdle,CAR,RB,00-0036139,33100,exact_week_normalized
2025,9,Rome Odunze,,rome odunze,Rome Odunze,CHI,WR,00-0039919,40901,exact_week_normalized
2025,9,Romeo Doubs,WR,romeo doubs,Romeo Doubs,GB,WR,00-0037816,34088,exact_week_normalized
2025,9,Sam Darnold,QB,sam darnold,Sam Darnold,SEA,QB,00-0034869,30973,exact_week_normalized
2025,9,Sam LaPorta,TE,sam laporta,Sam LaPorta,DET,TE,00-0039065,40064,exact_week_normalized
2025,9,Samaje Perine,RB,samaje perine,Samaje Perine,CIN,RB,00-0033526,30227,exact_week_normalized
2025,9,Saquon Barkley,,saquon barkley,Saquon Barkley,PHI,RB,00-0034844,30972,inferred_between_same_team
2025,9,Stefon Diggs,WR,stefon diggs,Stefon Diggs,NE,WR,00-0031588,28534,exact_week_normalized
2025,9,T.J. Hockenson,,t j hockenson,T.J. Hockenson,MIN,TE,00-0035229,31840,exact_week_normalized
2025,9,Tank Bigsby,,tank bigsby,Tank Bigsby,PHI,RB,00-0038555,40095,inferred_between_same_team
2025,9,Tee Higgins,WR,tee higgins,Tee Higgins,CIN,WR,00-0036410,32703,exact_week_normalized
2025,9,Terry McLaurin,,terry mclaurin,Terry McLaurin,WAS,WR,00-0035659,31908,exact_week_normalized
2025,9,Tetairoa McMillan,WR,tetairoa mcmillan,Tetairoa McMillan,CAR,WR,00-0040124,,exact_week_normalized
2025,9,Tony Pollard,,tony pollard,Tony Pollard,TEN,RB,00-0035261,31960,exact_week_normalized
2025,9,Travis Etienne Jr.,,travis etienne,Travis Etienne,JAX,RB,00-0036973,33413,exact_week_normalized
2025,9,Travis Hunter,,travis hunter,Travis Hunter,JAX,WR,00-0040718,,exact_week_normalized
2025,9,Travis Kelce,TE,travis kelce,Travis Kelce,KC,TE,00-0030506,26686,exact_week_normalized
2025,9,Tre Tucker,,tre tucker,Tre Tucker,LV,WR,00-0038563,40114,exact_week_normalized
2025,9,TreVeyon Henderson,RB,treveyon henderson,TreVeyon Henderson,NE,RB,00-0040734,,exact_week_normalized
2025,9,Trey Benson,,trey benson,Trey Benson,ARI,RB,00-0039921,40958,exact_week_normalized
2025,9,Trey McBride,TE,trey mcbride,Trey McBride,ARI,TE,00-0037744,34010,exact_week_normalized
2025,9,Troy Franklin,,troy franklin,Troy Franklin,DEN,WR,00-0039868,41009,exact_week_normalized
2025,9,Tucker Kraft,,tucker kraft,Tucker Kraft,GB,TE,00-0038996,40102,exact_week_normalized
2025,9,Tyjae Spears,,tyjae spears,Tyjae Spears,TEN,RB,00-0039032,40119,exact_week_normalized
2025,9,Tyler Loop,,tyler loop,Tyler Loop,BAL,K,00-0040074,,exact_week_normalized
2025,9,Tyler Warren,TE,tyler warren,Tyler Warren,IND,TE,00-0040128,,exact_week_normalized
2025,9,Tyreek Hill,,tyreek hill,Tyreek Hill,MIA,WR,00-0033040,29399,exact_week_normalized
2025,9,Tyrone Tracy Jr.,RB,tyrone tracy,Tyrone Tracy Jr.,NYG,RB,00-0039384,41048,exact_week_normalized
2025,9,Wan'Dale Robinson,WR,wan dale robinson,Wan'Dale Robinson,NYG,WR,00-0038117,33998,exact_week_normalized
2025,9,Wil Lutz,K,wil lutz,Wil Lutz,DEN,K,00-0032569,29754,exact_week_normalized
2025,9,Will Reichard,K,will reichard,Will Reichard,MIN,K,00-0039404,41093,exact_week_normalized
2025,9,Woody Marks,RB,woody marks,Woody Marks,HOU,RB,00-0040583,,exact_week_normalized
2025,9,Xavier Legette,,xavier legette,Xavier Legette,CAR,WR,00-0039342,40890,exact_week_normalized
2025,9,Xavier Worthy,,xavier worthy,Xavier Worthy,KC,WR,00-0039894,40877,exact_week_normalized
2025,9,Zach Charbonnet,,zach charbonnet,Zach Charbonnet,SEA,RB,00-0039165,40075,exact_week_normalized
2025,9,Zach Ertz,,zach ertz,Zach Ertz,WAS,TE,00-0030061,26658,exact_week_normalized
2025,9,Zay Flowers,,zay flowers,Zay Flowers,BAL,WR,00-0039064,40039,exact_week_normalized
2025,10,A.J. Brown,,a j brown,A.J. Brown,PHI,WR,00-0035676,31883,exact_week_normalized
2025,10,Aaron Jones Sr.,,aaron jones,Aaron Jones,MIN,RB,00-0033293,30295,exact_week_normalized
2025,10,Aaron Rodgers,,aaron rodgers,Aaron Rodgers,PIT,QB,00-0023459,7200,exact_week_normalized
2025,10,Alec Pierce,,alec pierce,Alec Pierce,IND,WR,00-0037664,34008,exact_week_normalized
2025,10,Alvin Kamara,,alvin kamara,Alvin Kamara,NO,RB,00-0033906,30180,exact_week_normalized
2025,10,Amon-Ra St. Brown,WR,amon ra st brown,Amon-Ra St. Brown,DET,WR,00-0036963,33500,exact_week_normalized
2025,10,Ashton Jeanty,RB,ashton jeanty,Ashton Jeanty,LV,RB,00-0040122,,exact_week_normalized
2025,10,Baker Mayfield,QB,baker mayfield,Baker Mayfield,TB,QB,00-0034855,30971,exact_week_normalized
2025,10,Bam Knight,,bam knight,Bam Knight,ARI,RB,00-0037157,34357,exact_week_normalized
2025,10,Bhayshul Tuten,RB,bhayshul tuten,Bhayshul Tuten,JAX,RB,00-0040719,,exact_week_normalized
2025,10,Bijan Robinson,RB,bijan robinson,Bijan Robinson,ATL,RB,00-0038542,40055,exact_week_normalized
2025,10,Bo Nix,QB,bo nix,Bo Nix,DEN,QB,00-0039732,40875,exact_week_normalized
2025,10,Brandon Aubrey,,brandon aubrey,Brandon Aubrey,DAL,K,00-0037692,40819,inferred_between_same_team
2025,10,Brashard Smith,,brashard smith,Brashard Smith,KC,RB,00-0040078,,inferred_between_same_team
2025,10,Breece Hall,RB,breece hall,Breece Hall,NYJ,RB,00-0038120,33991,exact_week_normalized
2025,10,Brian Thomas Jr.,,brian thomas,Brian Thomas Jr.,JAX,WR,00-0039893,40883,exact_week_normalized
2025,10,Brock Bowers,TE,brock bowers,Brock Bowers,LV,TE,00-0039338,40878,exact_week_normalized
2025,10,Bucky Irving,,bucky irving,Bucky Irving,TB,RB,00-0039361,40993,exact_week_normalized
2025,10,Cade Otton,,cade otton,Cade Otton,TB,TE,00-0038129,34062,exact_week_normalized
2025,10,Cairo Santos,K,cairo santos,Cairo Santos,CHI,K,00-0031203,28227,exact_week_normalized
2025,10,Caleb Williams,,caleb williams,Caleb Williams,CHI,QB,00-0039918,40900,exact_week_normalized
2025,10,Calvin Ridley,,calvin ridley,Calvin Ridley,TEN,WR,00-0034837,30996,inferred_between_same_team
2025,10,Cam Skattebo,,cam skattebo,Cam Skattebo,NYG,RB,00-0040715,,exact_week_normalized
2025,10,Cameron Dicker,K,cameron dicker,Cameron Dicker,LAC,K,00-0037224,34344,exact_week_normalized
2025,10,CeeDee Lamb,,ceedee lamb,CeeDee Lamb,DAL,WR,00-0036358,32687,inferred_between_same_team
2025,10,Chase Brown,,chase brown,Chase Brown,CIN,RB,00-0038597,40196,inferred_between_same_team
2025,10,Chase McLaughlin,K,chase mclaughlin,Chase McLaughlin,TB,K,00-0035358,32417,exact_week_normalized
2025,10,Chris Boswell,K,chris boswell,Chris Boswell,PIT,K,00-0031136,28188,exact_week_normalized
2025,10,Chris Godwin Jr.,,chris godwin,Chris Godwin Jr.,TB,WR,00-0033921,30197,exact_week_normalized
2025,10,Chris Olave,WR,chris olave,Chris Olave,NO,WR,00-0037239,33966,exact_week_normalized
2025,10,Christian Kirk,,christian kirk,Christian Kirk,HOU,WR,00-0034775,31017,exact_week_normalized
2025,10,Christian McCaffrey,RB,christian mccaffrey,Christian McCaffrey,SF,RB,00-0033280,30121,exact_week_normalized
2025,10,Christian Watson,WR,christian watson,Christian Watson,GB,WR,00-0038124,33989,exact_week_normalized
2025,10,Chuba Hubbard,,chuba hubbard,Chuba Hubbard,CAR,RB,00-0036555,33514,exact_week_normalized
2025,10,Colston Loveland,TE,colston loveland,Colston Loveland,CHI,TE,00-0040126,,exact_week_normalized
2025,10,Cooper Kupp,,cooper kupp,Cooper Kupp,SEA,WR,00-0033908,30182,exact_week_normalized
2025,10,Courtland Sutton,,courtland sutton,Courtland Sutton,DEN,WR,00-0034348,31010,exact_week_normalized
2025,10,D'Andre Swift,RB,d andre swift,D'Andre Swift,CHI,RB,00-0036275,32705,exact_week_normalized
2025,10,DJ Moore,WR,d j moore,DJ Moore,CHI,WR,00-0034827,30994,exact_week_normalized
2025,10,DK Metcalf,WR,dk metcalf,DK Metcalf,PIT,WR,00-0035640,31896,exact_week_normalized
2025,10,Dak Prescott,,dak prescott,Dak Prescott,DAL,QB,00-0033077,29369,inferred_between_same_team
2025,10,Dallas Goedert,,dallas goedert,Dallas Goedert,PHI,TE,00-0034351,31019,exact_week_normalized
2025,10,Dalton Kincaid,TE,dalton kincaid,Dalton Kincaid,BUF,TE,00-0038933,40048,exact_week_normalized
2025,10,Dalton Schultz,,dalton schultz,Dalton Schultz,HOU,TE,00-0034383,31107,exact_week_normalized
2025,10,Daniel Jones,QB,daniel jones,Daniel Jones,IND,QB,00-0035710,31838,exact_week_normalized
2025,10,Darius Slayton,,darius slayton,Darius Slayton,NYG,WR,00-0035535,32003,exact_week_normalized
2025,10,Darnell Mooney,,darnell mooney,Darnell Mooney,ATL,WR,00-0036309,32843,exact_week_normalized
2025,10,Davante Adams,WR,davante adams,Davante Adams,LA,WR,00-0031381,27581,exact_week_normalized
2025,10,David Montgomery,RB,david montgomery,David Montgomery,DET,RB,00-0035685,31905,exact_week_normalized
2025,10,David Njoku,TE,david njoku,David Njoku,CLE,TE,00-0033885,30142,exact_week_normalized
2025,10,De'Von Achane,RB,de von achane,De'Von Achane,MIA,RB,00-0039040,40118,exact_week_normalized
2025,10,DeVonta Smith,,devonta smith,DeVonta Smith,PHI,WR,00-0036912,33398,exact_week_normalized
2025,10,Deebo Samuel Sr.,WR,deebo samuel,Deebo Samuel Sr.,WAS,WR,00-0035719,31868,exact_week_normalized
